**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,anchor,sigma_rank_q,sub_motif_shape,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
below,high,1,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,36,31,5,0.6061,0.4369,0.763,3.14,1,0.8571,0.5407,0.9958,80.7
below,high,1,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,28,26,2,0.6429,0.4604,0.806,16.39,-1,,,,
below,high,1,STEEP_LINEAR_DOWN,FLATLINE,10,10,0,0.1667,0.0228,0.4128,-45.3,-1,,,,
below,high,1,STEEP_LINEAR_DOWN,NOISE,22,18,4,0.4,0.2025,0.6164,-30.31,-1,,,,
below,high,1,STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,17,14,3,0.125,0.0166,0.3195,-40.25,-1,,,,
below,high,1,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,36,28,8,0.3667,0.2069,0.5433,-21.67,0,0.6,0.2993,0.863,29.41
below,high,1,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,77,71,6,0.3562,0.2512,0.4686,-33.82,0,0.5,0.1841,0.8159,14.96
below,high,1,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,11,11,0,0.6923,0.4281,0.9008,20.84,-1,,,,
below,high,1,STEEP_LINEAR_UP,STEEP_LINEAR_UP,10,9,1,0.5455,0.2624,0.8129,9.08,-1,,,,
below,high,2,FLATLINE,NOISE,14,12,2,0.5,0.2513,0.7487,-9.19,-1,,,,
below,high,2,FLATLINE,STEEP_LINEAR_DOWN,12,8,4,0.2,0.0281,0.4825,-60.25,-1,,,,
below,high,2,NOISE,NOISE,11,9,2,0.6364,0.3475,0.8784,-6.53,-1,,,,
below,high,2,STEEP_CONCAVE_UP,NOISE,10,10,0,0.5833,0.3079,0.8325,-19.18,-1,,,,
below,high,2,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,14,10,4,0.4167,0.1675,0.6921,-27.98,-1,,,,
below,high,2,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,11,9,2,0.4545,0.1871,0.7376,-17.11,-1,,,,
below,high,2,STEEP_CONVEX_DOWN,FLATLINE,10,8,2,0.7,0.3999,0.9251,7.06,-1,,,,
below,high,2,STEEP_CONVEX_DOWN,NOISE,10,9,1,0.3636,0.1216,0.6525,-19.86,-1,,,,
below,high,2,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,19,14,5,0.4375,0.2127,0.6771,-4.41,1,0.4286,0.1181,0.7772,-13.7
below,high,2,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,19,13,6,0.4667,0.2304,0.7114,-1.56,0,0.625,0.2904,0.901,32.88
below,high,2,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,15,14,1,0.375,0.1634,0.6162,-1.41,-1,,,,
below,high,2,STEEP_LINEAR_DOWN,FLATLINE,12,10,2,0.25,0.0602,0.5178,-74.83,-1,,,,
below,high,2,STEEP_LINEAR_DOWN,NOISE,25,23,2,0.28,0.1262,0.4671,-33.52,-1,,,,
below,high,2,STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,10,8,2,0.2,0.0281,0.4825,-52.88,-1,,,,
below,high,2,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,40,26,14,0.5357,0.3533,0.7133,5.02,0,0.375,0.1634,0.6162,-2.62
below,high,2,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,80,68,12,0.3429,0.2371,0.4571,-24.43,1,0.4286,0.1922,0.6842,7.31
below,high,2,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,14,9,5,0.5455,0.2624,0.8129,9.97,1,0.5714,0.2228,0.8819,3.55
below,high,2,STEEP_LINEAR_UP,STEEP_LINEAR_UP,11,9,2,0.5455,0.2624,0.8129,0.28,-1,,,,
below,high,3,FLATLINE,STEEP_LINEAR_DOWN,10,9,1,0.3636,0.1216,0.6525,-17.08,-1,,,,
below,high,3,STEEP_CONCAVE_UP,NOISE,10,10,0,0.5,0.2338,0.7662,-11.43,-1,,,,
below,high,3,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,15,12,3,0.3571,0.1386,0.6143,-33.1,-1,,,,
below,high,3,STEEP_CONVEX_DOWN,NOISE,13,12,1,0.5714,0.3158,0.8078,-15.73,-1,,,,
below,high,3,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,18,17,1,0.5263,0.3076,0.7398,-0.09,-1,,,,
below,high,3,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,16,12,4,0.5714,0.3158,0.8078,26.42,-1,,,,
below,high,3,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,24,20,4,0.4545,0.2571,0.6598,-13.99,-1,,,,
below,high,3,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,10,9,1,0.5455,0.2624,0.8129,-36.28,-1,,,,
below,high,3,STEEP_LINEAR_DOWN,NOISE,16,14,2,0.25,0.0779,0.4809,-9.25,-1,,,,
below,high,3,STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,14,11,3,0.4615,0.2109,0.7233,-15.14,-1,,,,
