**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

motif_shape,sub_motif_shape,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
STEEP_CONVEX_DOWN,FLATLINE,STEEP_LINEAR_DOWN,10,8,2,0.6,0.2993,0.863,10.81,-1,,,,
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,FLATLINE,12,9,3,0.3636,0.1216,0.6525,-9.19,-1,,,,
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,NOISE,13,13,0,0.3333,0.1276,0.581,-46.15,-1,,,,
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,21,17,4,0.4211,0.2153,0.6425,-11.19,-1,,,,
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,15,14,1,0.5625,0.3229,0.7873,-15.7,-1,,,,
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,12,12,0,0.4286,0.1922,0.6842,-67.33,-1,,,,
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,11,10,1,0.3333,0.1093,0.6097,-16.05,-1,,,,
STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,FLATLINE,18,13,5,0.6,0.3514,0.8234,42.02,1,0.7143,0.3588,0.9567,19.85
STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,NOISE,16,11,5,0.6923,0.4281,0.9008,20.2,1,0.7143,0.3588,0.9567,44.8
STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,29,22,7,0.5,0.3059,0.6941,9.26,0,0.2222,0.0319,0.5265,-29.11
STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,42,29,13,0.5806,0.406,0.7454,30.31,1,0.6667,0.419,0.8724,19.83
STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,42,32,10,0.4412,0.2811,0.6078,-10.34,0,0.5,0.2338,0.7662,2.02
