side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s_long,entry_slope_15s_short,entry_slope_15m,entry_sig_above_1h_low
LONG,1751927640,2025-07-07 22:34:00,22837.0,1751934840,2025-07-08 00:34:00,22879.0,time_stop,120.0,84.0,184.0,-14.0,-0.766,-2.637,-0.695,0.874,1.863,0.19,-0.92
LONG,1751937420,2025-07-08 01:17:00,22916.5,1751938920,2025-07-08 01:42:00,22899.5,hard_stop,25.0,-34.0,22.0,-68.0,0.779,-0.149,1.755,0.364,1.142,0.401,1.242
LONG,1751941080,2025-07-08 02:18:00,22899.0,1751948280,2025-07-08 04:18:00,22918.0,time_stop,120.0,38.0,150.0,0.0,0.668,-0.457,0.526,0.391,1.021,0.193,1.254
LONG,1751969940,2025-07-08 10:19:00,22926.0,1751977140,2025-07-08 12:19:00,22954.0,time_stop,120.0,56.0,121.0,-29.0,0.71,-0.095,-1.238,0.428,0.692,-0.056,0.728
LONG,1751979360,2025-07-08 12:56:00,22934.0,1751981460,2025-07-08 13:31:00,22918.75,hard_stop,35.0,-30.5,81.0,-61.0,0.561,-0.569,-0.312,0.674,0.525,-0.093,0.977
LONG,1751983980,2025-07-08 14:13:00,22883.25,1751984640,2025-07-08 14:24:00,22859.5,hard_stop,11.0,-47.5,46.0,-95.0,-0.814,-5.182,-2.362,-1.349,0.721,-0.353,-2.014
LONG,1751987040,2025-07-08 15:04:00,22898.0,1751988000,2025-07-08 15:20:00,22880.75,hard_stop,16.0,-34.5,65.0,-69.0,-0.198,-4.153,-0.681,1.042,7.529,-0.251,-0.346
LONG,1751989800,2025-07-08 15:50:00,22899.0,1751995080,2025-07-08 17:18:00,22881.25,hard_stop,88.0,-35.5,236.0,-71.0,-0.37,-4.074,-0.165,0.572,1.737,-0.222,-0.645
LONG,1751996940,2025-07-08 17:49:00,22906.75,1752001500,2025-07-08 19:05:00,22883.75,hard_stop,76.0,-46.0,134.0,-92.0,0.041,-2.995,0.011,0.459,1.104,-0.147,0.07
LONG,1752003300,2025-07-08 19:35:00,22889.75,1752003720,2025-07-08 19:42:00,22874.25,hard_stop,7.0,-31.0,6.0,-62.0,-0.117,-4.128,-1.171,0.333,0.888,-0.318,-0.223
