**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s,entry_slope_15m,entry_sig_above_1h_low
LONG,1757436000,2025-09-09 16:40:00,23818.5,1757436300,2025-09-09 16:45:00,23810.5,slope_rolled_over,5.0,-16.0,13.0,-32.0,0.123,-2.045,0.679,0.37,-0.096,0.132
LONG,1757436660,2025-09-09 16:51:00,23812.5,1757436900,2025-09-09 16:55:00,23822.0,slope_rolled_over,4.0,19.0,38.0,-9.0,0.096,-2.405,0.625,0.367,-0.169,0.103
LONG,1757437200,2025-09-09 17:00:00,23828.0,1757438400,2025-09-09 17:20:00,23846.0,slope_rolled_over,20.0,36.0,99.0,0.0,0.328,-1.39,1.157,2.095,0.035,0.377
LONG,1757439720,2025-09-09 17:42:00,23834.75,1757440920,2025-09-09 18:02:00,23839.5,slope_rolled_over,20.0,9.5,40.0,-6.0,0.622,-0.998,1.161,0.197,0.174,0.715
LONG,1757441880,2025-09-09 18:18:00,23842.25,1757442420,2025-09-09 18:27:00,23834.75,slope_rolled_over,9.0,-15.0,8.0,-38.0,0.71,-0.633,0.966,0.55,0.371,0.823
LONG,1757443380,2025-09-09 18:43:00,23829.75,1757444460,2025-09-09 19:01:00,23842.25,slope_rolled_over,18.0,25.0,73.0,-3.0,0.462,-1.369,0.367,0.132,0.274,0.535
SHORT,1757447700,2025-09-09 19:55:00,23885.5,1757462100,2025-09-09 23:55:00,23886.5,time_stop,240.0,-2.0,123.0,-114.0,1.331,1.945,5.224,3.385,0.19,1.561
SHORT,1757462880,2025-09-10 00:08:00,23888.0,1757465700,2025-09-10 00:55:00,23882.5,crossed_15m_mean,47.0,11.0,22.0,-39.0,1.433,0.708,-0.434,0.625,0.103,1.507
SHORT,1757467980,2025-09-10 01:33:00,23902.0,1757482380,2025-09-10 05:33:00,23914.75,time_stop,240.0,-25.5,30.0,-88.0,1.627,0.993,1.719,2.262,-0.001,1.526
SHORT,1757485200,2025-09-10 06:20:00,23932.0,1757491740,2025-09-10 08:09:00,23918.75,crossed_15m_mean,109.0,26.5,53.0,-74.0,1.875,1.18,3.789,1.132,0.067,1.504
LONG,1757493720,2025-09-10 08:42:00,23895.0,1757493960,2025-09-10 08:46:00,23890.5,slope_rolled_over,4.0,-9.0,0.0,-18.0,0.213,-1.167,-2.924,0.06,-0.056,0.198
LONG,1757494260,2025-09-10 08:51:00,23896.25,1757494620,2025-09-10 08:57:00,23893.75,slope_rolled_over,6.0,-5.0,3.0,-15.0,0.176,-1.104,-2.02,0.397,-0.138,0.163
LONG,1757494920,2025-09-10 09:02:00,23890.25,1757495100,2025-09-10 09:05:00,23895.25,slope_rolled_over,3.0,10.0,20.0,-3.0,0.017,-1.77,-1.963,0.122,-0.128,0.02
LONG,1757495640,2025-09-10 09:14:00,23894.0,1757495940,2025-09-10 09:19:00,23884.25,slope_rolled_over,5.0,-19.5,0.0,-39.0,-0.163,-1.563,-1.774,0.055,-0.128,-0.188
LONG,1757496360,2025-09-10 09:26:00,23892.75,1757496840,2025-09-10 09:34:00,23889.0,slope_rolled_over,8.0,-7.5,4.0,-24.0,-0.266,-1.632,-1.512,0.388,-0.181,-0.307
LONG,1757497140,2025-09-10 09:39:00,23894.0,1757498760,2025-09-10 10:06:00,23908.0,slope_rolled_over,27.0,28.0,61.0,-5.0,-0.088,-1.563,-1.161,0.507,-0.265,-0.102
LONG,1757499060,2025-09-10 10:11:00,23914.5,1757499540,2025-09-10 10:19:00,23912.25,slope_rolled_over,8.0,-4.5,1.0,-32.0,0.47,-0.389,-0.055,0.45,-0.194,0.588
LONG,1757499840,2025-09-10 10:24:00,23916.5,1757501460,2025-09-10 10:51:00,23925.25,slope_rolled_over,27.0,17.5,36.0,0.0,0.566,-0.28,0.189,0.29,-0.203,0.707
SHORT,1757503200,2025-09-10 11:20:00,23934.75,1757511720,2025-09-10 13:42:00,23922.0,crossed_15m_mean,142.0,25.5,51.0,-345.0,1.191,0.649,1.868,0.1,-0.001,1.51
SHORT,1757513100,2025-09-10 14:05:00,23968.75,1757517480,2025-09-10 15:18:00,23941.75,crossed_15m_mean,73.0,54.0,108.0,-63.0,1.098,0.497,0.252,5.345,0.035,2.684
LONG,1757518140,2025-09-10 15:29:00,23942.5,1757518500,2025-09-10 15:35:00,23930.5,slope_rolled_over,6.0,-24.0,0.0,-72.0,0.563,-0.307,-1.042,0.482,0.114,1.499
LONG,1757518800,2025-09-10 15:40:00,23949.5,1757520000,2025-09-10 16:00:00,23945.0,slope_rolled_over,20.0,-9.0,74.0,-18.0,0.617,-0.134,-0.773,1.115,-0.015,1.643
LONG,1757520780,2025-09-10 16:13:00,23939.75,1757521200,2025-09-10 16:20:00,23919.0,slope_rolled_over,7.0,-41.5,0.0,-83.0,0.436,-0.51,-0.987,0.038,-0.304,1.247
LONG,1757521740,2025-09-10 16:29:00,23917.25,1757522400,2025-09-10 16:40:00,23908.0,slope_rolled_over,11.0,-18.5,30.0,-37.0,0.148,-1.081,-1.907,0.247,-0.367,0.422
LONG,1757523180,2025-09-10 16:53:00,23912.75,1757524200,2025-09-10 17:10:00,23930.5,slope_rolled_over,17.0,35.5,84.0,-7.0,-0.089,-1.195,-1.517,0.415,-0.158,-0.254
LONG,1757524500,2025-09-10 17:15:00,23923.0,1757524620,2025-09-10 17:17:00,23923.0,slope_rolled_over,2.0,0.0,0.0,-13.0,0.338,-1.028,-0.879,0.05,-0.189,1.02
LONG,1757525700,2025-09-10 17:35:00,23897.0,1757526600,2025-09-10 17:50:00,23904.25,slope_rolled_over,15.0,14.5,38.0,-29.0,-0.448,-1.712,-1.422,0.377,-0.446,-1.352
