**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

mode,low_thr,high_thr,low_mult,high_mult,mean,median,min,pos_days,days_over_200,total
linear,-200,100,0.0,1.5,1326.029393695649,970.489560491343,-848.1014331718748,26,24,41106.91120456512
linear,-100,100,0.5,1.5,1326.029393695649,970.4895604913431,-848.1014331718748,26,24,41106.91120456512
linear,-100,100,0.3,1.5,1313.0428919313654,932.3648304737432,-838.3850720613075,26,24,40704.32964987233
linear,-200,200,0.7,1.5,1265.9674302606434,932.9289749197305,-726.3036855068774,26,24,39244.990338079944
linear,-200,200,0.5,1.5,1234.7188121965376,877.4666007052837,-683.7087972024192,26,24,38276.283178092664
linear,-100,200,0.7,1.5,1224.3026061751686,858.5568267136797,-669.5105011009329,26,24,37953.38079143023
linear,-200,200,0.3,1.5,1203.4701941324313,820.7372787304715,-641.1139088979617,26,24,37307.57601810537
linear,-200,300,0.7,1.5,1175.5273681555925,838.6894070283514,-676.716364037612,26,24,36441.34841282337
linear,-200,300,0.5,1.5,1121.6687345652242,779.3808279361834,-621.7246453658377,26,24,34771.73077152195
linear,-100,300,0.7,1.5,1121.6687345652242,779.3808279361832,-621.7246453658378,26,24,34771.73077152195
linear,-200,100,0.7,1.0,914.3214332470944,659.164183417289,-588.0724647059063,26,24,28343.964430659926
linear,0,100,0.7,2.0,1678.1505548278822,1069.2530452137796,-1067.9298739582841,26,23,52022.66719966435
linear,-100,200,0.3,2.0,1500.4648652962223,905.2186317245902,-712.8355841824208,26,23,46514.410824182894
linear,-200,300,0.0,2.0,1316.0295341190701,784.6861821528048,-645.6604649152026,26,23,40796.91555769117
linear,-100,300,0.3,2.0,1282.3678881250896,736.9696343224099,-611.2906407453437,26,23,39753.40453187778
linear,0,300,0.7,2.0,1268.600408707367,726.2143928134661,-599.3890049429601,26,23,39326.61266992838
linear,-100,200,0.5,1.5,1182.6377820896942,782.9177307472639,-612.717316694989,26,23,36661.77124478052
linear,-100,300,0.5,1.5,1054.3454425772632,683.9477322753933,-552.9849970261199,26,23,32684.70871989516
linear,0,300,0.7,1.5,1030.3370032460582,655.3061000404764,-529.7979176847183,26,23,31940.447100627807
linear,-100,100,0.7,1.0,907.8281823649525,675.324263973524,-583.2142841506229,26,23,28142.673653313526
linear,-200,100,0.5,1.0,905.6637654042386,680.7109574922691,-581.5948906321951,26,23,28075.576727531396
linear,-200,100,0.3,1.0,897.0060975613827,685.1177703451616,-575.1173165584837,26,23,27807.189024402865
linear,-100,100,0.5,1.0,894.841680600669,678.7636486755619,-573.497923040056,26,23,27740.09209862074
linear,-200,200,0.7,1.0,880.4350079152192,626.2432803391443,-533.896493359786,26,23,27293.485245371794
