**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

realistic_pnl_usd,size_flat,size_gbm_ev,size_gbm_quantile,size_hand_aggressive
39.5,1.0,1.7113859496226582,1.5,2.0
-43.5,1.0,1.555231091042848,1.5,2.0
-27.0,1.0,1.5398274788699444,1.5,1.2
-21.5,1.0,1.1119748869118666,0.8,1.2
53.0,1.0,1.31869896208726,1.5,1.2
-37.0,1.0,0.9951868190982385,0.8,2.0
126.0,1.0,1.1379603518677222,0.8,1.2
-14.0,1.0,1.214032164797532,1.5,1.2
-39.0,1.0,1.4184611798106816,1.5,1.2
-57.0,1.0,1.113309031248297,0.8,1.2
-33.0,1.0,1.0594388371188401,0.8,0.8
-42.5,1.0,1.3566709914381843,1.5,2.0
-56.0,1.0,1.0427896756615223,0.8,1.2
-37.5,1.0,1.0673564434328093,0.8,1.2
12.0,1.0,1.1118673702343504,0.8,0.8
-47.5,1.0,1.171371794303612,0.8,2.0
59.5,1.0,1.2895126941329047,1.5,0.8
-41.0,1.0,1.4571262927590691,1.5,1.2
305.5,1.0,2.1049806494642436,2.0,2.0
34.0,1.0,2.438888497797631,2.0,1.2
-43.5,1.0,2.008806823833644,2.0,1.2
45.0,1.0,2.5917508013730512,2.0,2.0
46.0,1.0,1.2563843311044978,1.5,0.8
-18.5,1.0,1.166033274938811,0.8,2.0
-54.5,1.0,1.0336053574874606,0.8,1.2
-14.0,1.0,1.0503370434632098,0.8,0.8
-45.5,1.0,1.046876918126475,0.8,0.8
-11.5,1.0,1.180725885384808,1.5,1.2
-52.0,1.0,1.1039440967327234,0.8,0.8
-57.0,1.0,0.9902467815508826,0.8,0.0
-28.5,1.0,0.935591792297751,0.8,0.0
12.5,1.0,0.8894230330410273,0.5,0.0
84.5,1.0,0.9966033650183581,0.8,0.0
46.0,1.0,1.0841093501441703,0.8,0.0
-34.0,1.0,0.9304562341868321,0.8,0.8
-38.0,1.0,0.8395231898879723,0.5,0.8
-39.5,1.0,0.9739907578099956,0.8,0.0
157.5,1.0,0.8452313042814579,0.5,0.0
12.5,1.0,0.9228752426860398,0.5,1.2
-26.0,1.0,0.8027898917493106,0.5,0.8
-46.5,1.0,0.8505862992756397,0.5,0.0
-60.0,1.0,0.8028217262942658,0.5,0.8
225.0,1.0,0.8766418036597958,0.5,0.8
