**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

skip_zones,b6_thr,p_early_min,n_total,n_kept,n_skipped,keep_rate,mean_pnl_kept,mean_pnl_skipped,total_pnl_kept,total_pnl_skipped,per_day_kept,pos_pct_kept,delta_per_leg,delta_per_day,pct_capture
CLEAR|WATCH,0.7,0.0,1827,320,1507,0.17515051997810618,87.803125,66.29407210794072,28097.0,99905.16666666667,878.03125,0.98125,17.741731093778498,-3122.0364583333335,0.21950409693585915
CLEAR|WATCH,0.7,0.2,1827,290,1537,0.15873015873015872,87.72241379310344,66.72912600303621,25439.5,102562.66666666667,794.984375,0.9827586206896551,17.661019886881945,-3205.0833333333335,0.1987427296152539
CLEAR,0.0,0.4,1827,393,1434,0.21510673234811165,86.90839694656489,65.44432821943282,34155.0,93847.16666666667,1067.34375,0.9745547073791349,16.847003040343395,-2932.7239583333335,0.26683142082230377
CLEAR,0.7,0.2,1827,322,1505,0.17624521072796934,86.50155279503106,66.54396456256922,27853.5,100148.66666666667,870.421875,0.984472049689441,16.440158888809563,-3129.6458333333335,0.21760178538644528
CLEAR,0.7,0.0,1827,356,1471,0.19485495347564313,86.26544943820225,66.13981418536143,30710.5,97291.66666666667,959.703125,0.9831460674157303,16.204055531980757,-3040.3645833333335,0.2399217200750508
none,0.7,0.2,1827,330,1497,0.180623973727422,85.32121212121213,66.69750612335783,28156.0,99846.16666666667,879.875,0.9848484848484849,15.25981821499063,-3120.1927083333335,0.21996502663366374
none,0.7,0.0,1827,368,1459,0.2014230979748221,84.85326086956522,66.33047749600183,31226.0,96776.16666666667,975.8125,0.9836956521739131,14.791866963343722,-3024.2552083333335,0.24394899565502146
CLEAR,0.3,0.4,1827,372,1455,0.20361247947454844,84.77284946236558,66.30011454753723,31535.5,96466.66666666667,985.484375,0.9731182795698925,14.711455556144088,-3014.5833333333335,0.24636692347655573
CLEAR,0.4,0.4,1827,339,1488,0.18555008210180624,84.76401179941003,66.71180555555556,28735.0,99267.16666666667,897.96875,0.9734513274336283,14.702617893188531,-3102.0989583333335,0.22448838756635628
CLEAR|WATCH,0.0,0.3,1827,678,1149,0.37110016420361247,84.56710914454277,61.501885697708154,57336.5,70665.66666666667,1791.765625,0.9823008849557522,14.505715238321272,-2208.3020833333335,0.4479338240368327
CLEAR,0.6,0.4,1827,185,1642,0.10125889436234264,84.51081081081081,68.43341453511978,15634.5,112367.66666666667,488.578125,0.9567567567567568,14.449416904589313,-3511.4895833333335,0.12214246373433782
CLEAR|WATCH,0.4,0.3,1827,604,1223,0.33059660645867545,83.61837748344371,63.36603979285909,50505.5,77496.66666666667,1578.296875,0.9834437086092715,13.556983577222212,-2421.7708333333335,0.3945675398723719
CLEAR|WATCH,0.3,0.3,1827,648,1179,0.35467980295566504,83.57098765432099,62.63627367825841,54154.0,73848.16666666667,1692.3125,0.9814814814814815,13.50959374809949,-2307.7552083333335,0.4230709636425425
CLEAR|WATCH,0.6,0.3,1827,388,1439,0.21237000547345375,83.2590206185567,66.50289552930276,32304.5,95697.66666666667,1009.515625,0.979381443298969,13.197626712335207,-2990.5520833333335,0.25237463428353424
CLEAR,0.5,0.4,1827,272,1555,0.14887794198139026,83.2408088235294,67.75605573419078,22641.5,105360.66666666667,707.546875,0.9669117647058824,13.17941491730791,-3292.5208333333335,0.17688372462445295
none,0.0,0.4,1827,464,1363,0.25396825396825395,83.21336206896552,65.58412814869162,38611.0,89391.16666666667,1206.59375,0.9762931034482759,13.151968162744026,-2793.4739583333335,0.30164333155818973
