**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,c1,c2,regime_2d,n,pearson
1m,body,z_se_w,DOWN_SMOOTH,4662,0.4586610026882366
1m,body,z_se_w,DOWN_CHOPPY,2988,0.5344509080606578
1m,body,z_se_w,FLAT_SMOOTH,9890,0.5101392540611573
1m,body,z_se_w,FLAT_CHOPPY,18315,0.48141119238331015
1m,body,hurst_w,UP_SMOOTH,7146,-0.0021040909256636693
1m,body,hurst_w,UP_CHOPPY,3924,-0.0142737220102687
1m,body,hurst_w,DOWN_SMOOTH,4662,0.016159965355092197
1m,body,hurst_w,DOWN_CHOPPY,2988,0.0011252172613631553
1m,body,hurst_w,FLAT_SMOOTH,9893,0.003227524084859929
1m,body,hurst_w,FLAT_CHOPPY,18315,0.006512720965678824
1m,body,reversion_prob_w,UP_SMOOTH,7146,-0.10622277078004423
1m,body,reversion_prob_w,UP_CHOPPY,3924,-0.011542706866757157
1m,body,reversion_prob_w,DOWN_SMOOTH,4662,0.1434592268151005
1m,body,reversion_prob_w,DOWN_CHOPPY,2988,0.08004997031297685
1m,body,reversion_prob_w,FLAT_SMOOTH,9890,0.07454402371416965
1m,body,reversion_prob_w,FLAT_CHOPPY,18315,0.06329192088352567
1m,vwap_w,vol_velocity_w,UP_SMOOTH,7146,-0.006117908608644394
1m,vwap_w,vol_velocity_w,UP_CHOPPY,3924,-0.0037355991119796842
1m,vwap_w,vol_velocity_w,DOWN_SMOOTH,4662,0.008372568957839641
1m,vwap_w,vol_velocity_w,DOWN_CHOPPY,2988,0.002282112576350982
1m,vwap_w,vol_velocity_w,FLAT_SMOOTH,9890,0.0012839307154803008
1m,vwap_w,vol_velocity_w,FLAT_CHOPPY,18315,0.0013887257347289866
1m,vwap_w,vol_mean_w,UP_SMOOTH,7146,-0.19356284885041874
1m,vwap_w,vol_mean_w,UP_CHOPPY,3924,-0.23541263787775815
1m,vwap_w,vol_mean_w,DOWN_SMOOTH,4662,-0.12417949196595018
1m,vwap_w,vol_mean_w,DOWN_CHOPPY,2988,-0.08011981982271824
1m,vwap_w,vol_mean_w,FLAT_SMOOTH,9890,-0.21705764003947037
1m,vwap_w,vol_mean_w,FLAT_CHOPPY,18315,-0.2023979768227069
1m,vwap_w,z_se_w,UP_SMOOTH,7146,-0.0021757563071389324
1m,vwap_w,z_se_w,UP_CHOPPY,3924,-0.025171294393971845
1m,vwap_w,z_se_w,DOWN_SMOOTH,4662,-0.008226739109041625
1m,vwap_w,z_se_w,DOWN_CHOPPY,2988,0.0020397497629688005
1m,vwap_w,z_se_w,FLAT_SMOOTH,9890,0.0065395442786964795
1m,vwap_w,z_se_w,FLAT_CHOPPY,18315,-0.001712969045498139
1m,vwap_w,hurst_w,UP_SMOOTH,7146,-0.06352717371600566
1m,vwap_w,hurst_w,UP_CHOPPY,3924,-0.007815508483674835
