tf,X,Y,Z,r_min,r_max,lift,sign_flip
5s,bar_range,vol_mean_w,vol_velocity_w,0.44912174255667026,0.6250863448907935,0.17596460233412325,False
15m,body,z_se_w,vol_velocity_w,0.4568643496186377,0.6317853839796639,0.17492103436102618,False
5m,bar_range,body,reversion_prob_w,-0.07068961035089526,0.10397730933713709,0.17466691968803233,True
5s,bar_range,vol_mean_w,body,0.49127576243059584,0.6634443841658879,0.17216862173529207,False
1h,vwap_w,hurst_w,bar_range,-0.21585031048296252,-0.043729845732488073,0.17212046475047443,False
5s,bar_range,reversion_prob_w,body,-0.08782622103755107,0.08394748945816514,0.17177371049571621,True
1h,body,vol_mean_w,reversion_prob_w,-0.10781709916866702,0.06392565488705561,0.17174275405572265,True
1h,vwap_w,reversion_prob_w,bar_range,-0.25811433208352663,-0.08637928521903918,0.17173504686448746,False
1h,vol_mean_w,z_se_w,bar_range,-0.0679268412075864,0.10302797877859671,0.17095481998618312,True
5s,body,z_se_w,vol_mean_w,0.41494592059043944,0.5842096443187916,0.1692637237283522,False
5m,vol_mean_w,reversion_prob_w,bar_range,0.0632673969761609,0.23157178181389887,0.16830438483773796,False
5s,bar_range,vol_velocity_w,body,0.12738583132753709,0.29528135043025217,0.16789551910271508,False
1h,bar_range,hurst_w,vol_mean_w,0.029611123861305662,0.19695076513033102,0.16733964126902537,False
1m,vol_mean_w,reversion_prob_w,bar_range,0.02476530922068747,0.19141737167281206,0.16665206245212458,False
5s,bar_range,vwap_w,body,-0.3413512996050533,-0.17493251933820145,0.16641878026685183,False
1h,body,reversion_prob_w,bar_range,-0.033229404494881584,0.131735002122886,0.16496440661776757,False
1h,bar_range,vwap_w,hurst_w,-0.4781978501323104,-0.31344176123928436,0.16475608889302606,False
5m,vol_mean_w,reversion_prob_w,vol_velocity_w,-0.03473216468673049,0.1295668071156747,0.16429897180240519,False
1h,vol_velocity_w,z_se_w,reversion_prob_w,-0.07798144389693144,0.08571263296584758,0.16369407686277904,True
1m,bar_range,reversion_prob_w,vol_mean_w,-0.41468110626279814,-0.2513072791083028,0.16337382715449533,False
5s,body,vol_velocity_w,vwap_w,-0.10304171816467692,0.059314581709269364,0.16235629987394629,True
5m,vol_velocity_w,reversion_prob_w,body,-0.18354432813515664,-0.021263341173228315,0.16228098696192833,False
1m,vol_velocity_w,reversion_prob_w,bar_range,-0.20789223416491898,-0.04589218642413356,0.1620000477407854,False
1h,bar_range,z_se_w,vol_velocity_w,-0.08934166802149252,0.07238166851663481,0.16172333653812732,True
1m,bar_range,reversion_prob_w,body,-0.11408784965964604,0.04561285596493522,0.15970070562458127,False
5m,bar_range,vol_velocity_w,vwap_w,0.3006219880099772,0.4603049461827123,0.1596829581727351,False
1m,vol_mean_w,reversion_prob_w,vol_velocity_w,-0.02676353212584855,0.13290730186832472,0.15967083399417328,False
1h,vol_velocity_w,reversion_prob_w,bar_range,-0.16945288237564737,-0.010239637852687724,0.15921324452295965,False
1h,vol_velocity_w,hurst_w,vwap_w,-0.0799248530051896,0.07927990806790314,0.15920476107309273,True
5m,vwap_w,vol_velocity_w,bar_range,0.015406040151817043,0.1731993902553454,0.15779335010352835,False
15m,vol_velocity_w,vol_mean_w,z_se_w,0.013399315601336333,0.1708615490568415,0.15746223345550517,False
1h,bar_range,z_se_w,hurst_w,-0.13557540870703727,0.02173308088469485,0.15730848959173213,False
1m,vol_velocity_w,reversion_prob_w,body,-0.21317773050542171,-0.0559721852843052,0.15720554522111652,False
1m,bar_range,body,reversion_prob_w,-0.12401872845529438,0.0328253633731781,0.15684409182847248,False
15m,bar_range,reversion_prob_w,vol_velocity_w,-0.2925302729698192,-0.13602710564076928,0.15650316732904992,False
15m,bar_range,vol_velocity_w,z_se_w,0.29084283825583007,0.4470635190343208,0.15622068077849072,False
1h,body,reversion_prob_w,vwap_w,0.05676280691610941,0.2129514179717481,0.1561886110556387,False
5m,bar_range,body,vol_mean_w,-0.11930802176574061,0.036505774733430134,0.15581379649917074,False
15m,bar_range,vol_mean_w,z_se_w,0.4570491930560003,0.6126987903241297,0.15564959726812938,False
1h,vol_mean_w,reversion_prob_w,vol_velocity_w,0.11813947068090162,0.27369932394997504,0.1555598532690734,False
15m,vol_mean_w,reversion_prob_w,body,0.038103873859188196,0.19346187780829635,0.15535800394910815,False
15m,bar_range,vol_velocity_w,reversion_prob_w,0.28107971485242444,0.4361592783125366,0.15507956346011215,False
1h,vol_mean_w,z_se_w,vwap_w,-0.09162812325597611,0.0632991770842724,0.1549273003402485,True
1m,bar_range,vol_mean_w,body,0.5236445586248961,0.6774251097643158,0.15378055113941969,False
1h,vwap_w,z_se_w,vol_mean_w,-0.057851084301263005,0.09549652343312456,0.15334760773438758,True
1h,vol_mean_w,hurst_w,vol_velocity_w,0.0007200281820522722,0.1536726607542391,0.15295263257218683,False
1m,bar_range,vol_mean_w,reversion_prob_w,0.5410636584229946,0.6937350651613624,0.15267140673836777,False
5m,bar_range,reversion_prob_w,vol_mean_w,-0.40115708450721155,-0.25007004105907976,0.15108704344813179,False
1h,bar_range,reversion_prob_w,vol_velocity_w,-0.33690134635338514,-0.18638930751090108,0.15051203884248407,False
1h,bar_range,reversion_prob_w,hurst_w,-0.4803987349921997,-0.3315966593912727,0.148802075600927,False
1h,vwap_w,reversion_prob_w,vol_velocity_w,-0.08993002929391444,0.05855355014027582,0.14848357943419027,True
15m,vwap_w,hurst_w,vol_mean_w,-0.09840482272160304,0.050000688878506255,0.14840551160010929,True
5s,vol_mean_w,reversion_prob_w,bar_range,0.051979410243541246,0.20028741387955667,0.14830800363601543,False
1m,bar_range,vol_velocity_w,vol_mean_w,0.2861417907384722,0.4340394913548958,0.1478977006164236,False
1m,bar_range,vol_velocity_w,hurst_w,0.17006975932208668,0.3177838231490352,0.14771406382694852,False
1m,bar_range,vol_mean_w,z_se_w,0.5525753008219608,0.7001970647956974,0.1476217639737366,False
1h,z_se_w,hurst_w,vol_mean_w,-0.07983508062862248,0.06713486069960896,0.14696994132823143,True
1m,body,hurst_w,z_se_w,-0.06183445698027458,0.08424682112027469,0.14608127810054927,True
5m,vol_velocity_w,reversion_prob_w,bar_range,-0.21410782383114715,-0.06825411198013641,0.14585371185101076,False
1h,bar_range,vwap_w,vol_mean_w,-0.42747014388256693,-0.2817113657533835,0.14575877812918342,False
1h,vol_velocity_w,z_se_w,hurst_w,-0.08710700167978035,0.05828337565208949,0.14539037733186982,True
5s,bar_range,vwap_w,vol_velocity_w,-0.4019069327845615,-0.2567233313539277,0.1451836014306338,False
15m,vwap_w,reversion_prob_w,body,-0.16695010996898968,-0.021925160033492114,0.14502494993549755,False
1m,bar_range,vol_mean_w,vwap_w,0.5863923900309924,0.7312864847835518,0.14489409475255943,False
5s,body,hurst_w,z_se_w,-0.07142586533764679,0.07331641165053153,0.14474227698817832,True
