**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

======================================================================
  STANDALONE RESEARCH
  Data: DATA/ATLAS
  Base TF: 1m
  Context: 21d warmup, 0d analysis
  Mode: PRICE I-MR (default)
======================================================================

--- STEP 1: Loading base TF data (1m) ---
  1m: 391,514 bars loaded

--- STEP 2: Price I-MR Chart ---
  Price I-MR: 391514 bars, warmup=20010, analysis=371504
  Center=21383.93, MR_bar=4.28, UCL_MR=13.99, UCL_I=21395.32, LCL_I=21372.54
    R254:   19 bars, price=21591.4, vol=4.00, dir=LONG, chg=+46.5
    R255:    8 bars, price=21646.1, vol=6.75, dir=SHORT, chg=-1.5
    R256:   80 bars, price=21670.4, vol=3.26, dir=LONG, chg=+20.2
    R257:  580 bars, price=21695.1, vol=1.90, dir=LONG, chg=+49.5
    R258:  215 bars, price=21747.5, vol=2.72, dir=LONG, chg=+40.2
    R259:   14 bars, price=21782.1, vol=9.21, dir=LONG, chg=+24.5
    R260:   13 bars, price=21782.7, vol=9.21, dir=LONG, chg=+44.5
    R261:   20 bars, price=21836.2, vol=5.39, dir=LONG, chg=+41.8
    R262:   84 bars, price=21864.9, vol=4.48, dir=SHORT, chg=-4.2
    R263:  134 bars, price=21855.8, vol=2.91, dir=LONG, chg=+39.5
    R264:  180 bars, price=21853.0, vol=2.60, dir=SHORT, chg=-23.8
    R265:  197 bars, price=21798.2, vol=2.17, dir=SHORT, chg=-37.0
    R266:  341 bars, price=21775.4, vol=1.67, dir=SHORT, chg=-4.5
    R267:   19 bars, price=21737.7, vol=3.20, dir=LONG, chg=+15.0
    R268:  376 bars, price=21744.5, vol=2.76, dir=SHORT, chg=-16.2
    R269:   28 bars, price=21784.1, vol=6.62, dir=LONG, chg=+28.2
    R270:    8 bars, price=21791.5, vol=9.56, dir=SHORT, chg=-33.8
    R271:   19 bars, price=21803.8, vol=5.84, dir=LONG, chg=+25.5
    R272:  100 bars, price=21828.7, vol=3.95, dir=SHORT, chg=-103.2
    R273:   63 bars, price=21765.8, vol=4.63, dir=LONG, chg=+45.5
    R274:  229 bars, price=21801.5, vol=2.90, dir=LONG, chg=+40.2
    R275:  607 bars, price=21798.4, vol=1.73, dir=SHORT, chg=-32.5
    R276:  270 bars, price=21783.3, vol=3.57, dir=SHORT, chg=-213.2
    R277:   12 bars, price=21555.6, vol=9.08, dir=LONG, chg=+54.0
    R278:   12 bars, price=21553.6, vol=6.52, dir=SHORT, chg=-32.8
    R279:   33 bars, price=21540.9, vol=6.80, dir=LONG, chg=+62.8
    R280:   15 bars, price=21629.9, vol=8.92, dir=LONG, chg=+69.5
    R281:   11 bars, price=21678.8, vol=7.73, dir=LONG, chg=+1.2
    R282:   16 bars, price=21616.7, vol=10.94, dir=SHORT, chg=-33.5
    R283:   22 bars, price=21696.9, vol=8.62, dir=LONG, chg=+88.0
    R284:   33 bars, price=21717.7, vol=6.71, dir=SHORT, chg=-43.2
    R285:   11 bars, price=21676.7, vol=6.66, dir=SHORT, chg=-7.5
