tf,X,Y,Z,r_min,r_max,lift,n_bins,sign_flip
5m,body,SE_low_w,z_se_w,-0.6831305441882043,0.42180406793551145,1.1049346121237158,5,True
1h,bar_range,body,price_velocity_w,-0.48603481964429796,0.6174337891795524,1.1034686088238503,5,True
1h,price_accel_1b,bar_range,price_velocity_1b,-0.5391470233872377,0.5630802634957238,1.1022272868829615,5,True
1h,body,reversion_prob_w,z_se_w,-0.45976112642699807,0.6411037098621338,1.1008648362891318,5,True
5s,vol_velocity_1b,vol_velocity_w,vol_accel_w,-0.12250218616603391,0.9736560262015855,1.0961582123676195,5,True
1h,price_velocity_1b,bar_range,z_low_w,-0.5766324523900799,0.5176242685002821,1.094256720890362,5,True
1h,bar_range,body,z_low_w,-0.569990475945607,0.5185102746910475,1.0885007506366544,5,True
1h,bar_range,price_accel_w,body,-0.4880390570726158,0.597287876330657,1.085326933403273,5,True
1h,body,reversion_prob_w,z_high_w,-0.3816479552056177,0.7003737818509332,1.082021737056551,5,True
5s,vol_accel_1b,vol_mean_w,vol_accel_w,-0.26289334046683827,0.8168232094960088,1.0797165499628472,5,True
15m,body,reversion_prob_w,z_low_w,-0.5378825358022672,0.541691689143955,1.0795742249462221,5,True
5m,bar_range,body,z_low_w,-0.5469908294091362,0.5323916607225953,1.0793824901317315,5,True
5m,z_high_w,reversion_prob_w,price_accel_1b,-0.6248341373534869,0.4543287302447578,1.0791628675982448,5,True
1m,bar_range,price_accel_w,price_velocity_1b,-0.5419364440079173,0.5348476649150218,1.076784108922939,5,True
1h,body,vol_velocity_w,price_accel_w,-0.5865097547817814,0.4881612251627863,1.0746709799445677,5,True
5m,z_low_w,reversion_prob_w,price_accel_1b,-0.4293105494400495,0.643736807681363,1.0730473571214125,5,True
1m,bar_range,price_accel_w,body,-0.5405162140114885,0.532310177558533,1.0728263915700216,5,True
15m,bar_range,price_accel_w,body,-0.545851429210872,0.5269339802765679,1.07278540948744,5,True
5s,price_velocity_1b,bar_range,price_accel_w,-0.5956975032327204,0.47464430157892357,1.070341804811644,5,True
5s,vol_accel_1b,vol_velocity_w,vol_velocity_1b,-0.16876079081730297,0.9004447374595044,1.0692055282768074,5,True
15m,price_accel_1b,bar_range,body,-0.5380803773755889,0.5310129425167854,1.0690933198923744,5,True
15m,z_se_w,reversion_prob_w,price_accel_1b,-0.5191751715403566,0.5492708899217792,1.0684460614621358,5,True
1h,price_velocity_1b,bar_range,price_velocity_w,-0.500047403774591,0.5625225449841368,1.062569948758728,5,True
5s,vol_accel_w,vol_mean_w,vol_velocity_w,-0.23897246453364585,0.8230355320251876,1.0620079965588336,5,True
5m,price_accel_1b,bar_range,z_se_w,-0.5577414149038609,0.5008788379939624,1.0586202528978232,5,True
5s,z_low_w,reversion_prob_w,price_accel_1b,-0.4251503380957597,0.6326626057358341,1.0578129438315937,5,True
15m,price_accel_1b,bar_range,price_velocity_1b,-0.5521464293287879,0.503667044112491,1.0558134734412787,5,True
15m,bar_range,price_accel_w,price_velocity_1b,-0.5571531319204083,0.4983128642452081,1.0554659961656163,5,True
1h,price_velocity_1b,reversion_prob_w,price_accel_w,-0.4827255465122805,0.5714597511871857,1.0541852976994663,5,True
5m,z_low_w,reversion_prob_w,price_accel_w,-0.3938599776840883,0.6590734169806745,1.0529333946647628,5,True
1m,body,swing_noise_w,price_velocity_1b,-0.5305080480240619,0.5218988607812173,1.0524069088052792,5,True
5m,body,price_sigma_w,price_velocity_1b,-0.5209542257043833,0.528408248147787,1.0493624738521703,5,True
5s,price_velocity_1b,SE_low_w,z_se_w,-0.6167322588061399,0.4313676618769532,1.048099920683093,5,True
1h,price_velocity_w,SE_low_w,vol_sigma_w,-0.33831523780967765,0.7091292563194883,1.047444494129166,5,True
1m,price_velocity_1b,swing_noise_w,body,-0.5287332878452916,0.5184554172345587,1.0471887050798503,5,True
5s,price_velocity_1b,reversion_prob_w,z_low_w,-0.5521685519236524,0.49458759939478547,1.046756151318438,5,True
5s,price_velocity_1b,reversion_prob_w,z_high_w,-0.47933387820975526,0.5650301059223118,1.044363984132067,5,True
1h,z_low_w,reversion_prob_w,price_accel_w,-0.36117800894665736,0.679743850558636,1.0409218595052934,5,True
1h,bar_range,price_accel_w,price_accel_1b,-0.518718800206755,0.5211090639496055,1.0398278641563605,5,True
5s,z_low_w,reversion_prob_w,price_accel_w,-0.4032256813216049,0.6360697109000495,1.0392953922216543,5,True
5s,price_velocity_1b,SE_high_w,z_se_w,-0.45358599698653007,0.585274618778005,1.038860615764535,5,True
5s,z_high_w,reversion_prob_w,price_accel_1b,-0.5851320516342958,0.4533518221276212,1.038483873761917,5,True
15m,z_low_w,reversion_prob_w,price_accel_w,-0.38573292467887005,0.651507288393405,1.037240213072275,5,True
5m,vol_velocity_1b,vol_velocity_w,vol_accel_w,-0.3306898098957591,0.7057091822036573,1.0363989920994163,5,True
15m,vol_accel_1b,vol_velocity_w,vol_accel_w,-0.397369422536206,0.635886783605313,1.0332562061415191,5,True
5m,z_high_w,reversion_prob_w,price_accel_w,-0.6165386451169668,0.416498234344206,1.0330368794611728,5,True
1h,price_velocity_1b,reversion_prob_w,body,-0.5421463867639109,0.49088024576931794,1.033026632533229,5,True
5m,body,swing_noise_w,z_se_w,-0.5141141030370142,0.5182242868372908,1.032338389874305,5,True
1h,bar_range,price_accel_w,price_velocity_1b,-0.48379420769225256,0.5480685385624126,1.031862746254665,5,True
1h,price_accel_w,reversion_prob_w,z_low_w,-0.5327643650017919,0.4986076412760462,1.031372006277838,5,True
5s,bar_range,price_accel_w,z_se_w,-0.5145206827231444,0.5158062249431501,1.0303269076662946,5,True
5m,price_velocity_1b,bar_range,z_low_w,-0.5654938938975642,0.46413492572451537,1.0296288196220795,5,True
5s,body,swing_noise_w,z_se_w,-0.48130862705478883,0.5481728820706762,1.029481509125465,5,True
5s,vol_accel_w,vol_sigma_w,bar_range,-0.27563387420471336,0.7524753097167046,1.028109183921418,5,True
5s,bar_range,body,z_low_w,-0.5411515829754622,0.4853295883248119,1.026481171300274,5,True
5s,price_velocity_1b,swing_noise_w,z_se_w,-0.5003145295933766,0.5255053474447899,1.0258198770381666,5,True
5m,bar_range,price_accel_w,price_velocity_1b,-0.5210377592785896,0.5027711981786368,1.0238089574572264,5,True
15m,z_high_w,reversion_prob_w,price_accel_w,-0.6134564275347719,0.40983459623790885,1.0232910237726807,5,True
5m,price_velocity_1b,price_sigma_w,body,-0.5021397360192477,0.5206740051489303,1.022813741168178,5,True
1h,body,z_high_w,reversion_prob_w,-0.45087952152136973,0.5659178161995496,1.0167973377209194,5,True
1m,body,SE_high_w,price_velocity_1b,-0.4987334008260748,0.516678424890666,1.0154118257167408,5,True
1h,body,z_low_w,reversion_prob_w,-0.4246084721615798,0.5882855063977861,1.012893978559366,5,True
5s,body,swing_noise_w,price_velocity_1b,-0.46776977280592946,0.5450155542254904,1.0127853270314198,5,True
5s,z_high_w,reversion_prob_w,price_accel_w,-0.594973282737126,0.4169677165628868,1.0119409993000128,5,True
5m,body,reversion_prob_w,z_high_w,-0.4484605701963766,0.5632924814047782,1.0117530516011548,5,True
1m,price_velocity_1b,SE_high_w,body,-0.4972861558580682,0.5143581459771533,1.0116443018352215,5,True
15m,bar_range,body,z_high_w,-0.5832565039437009,0.42531952907842474,1.0085760330221256,5,True
1h,price_velocity_1b,z_high_w,reversion_prob_w,-0.4478491999646895,0.5579480649569801,1.0057972649216698,5,True
5s,body,SE_low_w,z_se_w,-0.5795380789132228,0.425669530303486,1.0052076092167088,5,True
5m,bar_range,price_accel_w,body,-0.5110919383312357,0.4940133703358874,1.005105308667123,5,True
1h,price_velocity_1b,z_low_w,reversion_prob_w,-0.42204482869219806,0.5825382228665118,1.00458305155871,5,True
