day,entry_tier,dir,entry_price,pnl,peak,held,exit_reason,timestamp
2025_04_09,FADE_MOMENTUM,long,17461.5,-7.0,0.0,60,mean_reached,1744207500.0
2025_04_09,FADE_MOMENTUM,short,17382.75,41.5,41.5,72,mean_reached,1744213620.0
2025_04_09,FADE_MOMENTUM,short,17659.0,127.0,127.0,60,z_reversal,1744218120.0
2025_04_09,FADE_MOMENTUM,long,18807.25,200.0,200.0,48,mean_reached,1744222020.0
2025_04_09,FADE_MOMENTUM,long,18916.75,-205.5,2.0,36,hard_stop,1744224120.0
2025_04_09,FADE_MOMENTUM,long,18814.0,132.5,132.5,12,mean_reached,1744224300.0
2025_04_09,FADE_MOMENTUM,short,19335.5,12.0,28.5,48,mean_reached,1744228200.0
2025_04_09,FADE_MOMENTUM,long,19267.25,-6.5,25.0,72,mean_reached,1744236000.0
2025_04_10,FADE_MOMENTUM,long,18845.25,54.5,54.5,24,mean_reached,1744273440.0
2025_04_10,FADE_MOMENTUM,short,18938.0,42.5,42.5,47,mean_reached,1744288200.0
2025_04_10,FADE_MOMENTUM,short,18107.75,-243.5,0.0,84,hard_stop,1744302600.0
2025_04_10,FADE_MOMENTUM,long,18158.5,249.0,249.0,48,z_reversal,1744303500.0
2025_04_10,FADE_MOMENTUM,short,18431.25,158.5,199.5,24,mean_reached,1744304520.0
2025_04_10,FADE_MOMENTUM,short,18217.5,-106.0,0.0,72,mean_reached,1744305900.0
2025_04_10,FADE_MOMENTUM,long,18443.5,-187.0,0.0,60,hard_stop,1744308480.0
2025_04_10,FADE_MOMENTUM,long,18392.25,-37.5,40.0,24,giveback,1744308540.0
2025_04_10,FADE_MOMENTUM,short,18544.0,-102.5,21.5,72,mean_reached,1744309320.0
2025_04_10,FADE_MOMENTUM,short,18602.25,1.0,1.0,60,mean_reached,1744311600.0
2025_04_10,FADE_MOMENTUM,long,18489.25,-2.5,24.0,72,mean_reached,1744312080.0
2025_04_10,FADE_MOMENTUM,long,18438.5,60.5,60.5,36,mean_reached,1744313280.0
2025_04_10,FADE_MOMENTUM,long,18386.0,165.5,165.5,24,mean_reached,1744313340.0
2025_04_10,FADE_MOMENTUM,short,18427.25,-180.0,0.0,48,hard_stop,1744314600.0
2025_04_11,FADE_MOMENTUM,long,18177.75,-39.5,0.0,60,mean_reached,1744332180.0
2025_04_11,FADE_MOMENTUM,short,18647.5,72.0,72.0,60,mean_reached,1744355580.0
2025_04_11,FADE_MOMENTUM,short,18516.5,64.5,64.5,24,mean_reached,1744364100.0
2025_04_11,FADE_MOMENTUM,short,18642.0,45.0,47.0,36,mean_reached,1744374840.0
2025_04_11,FADE_MOMENTUM,short,18430.5,-7.0,22.5,84,mean_reached,1744381980.0
2025_04_11,FADE_MOMENTUM,long,18464.0,11.0,14.0,84,mean_reached,1744383000.0
2025_04_14,FADE_MOMENTUM,long,18743.0,108.0,108.0,24,mean_reached,1744647060.0
2025_04_14,FADE_MOMENTUM,short,18849.5,71.5,71.5,36,mean_reached,1744650000.0
2025_04_15,FADE_MOMENTUM,short,19040.25,-15.5,39.5,60,giveback,1744732320.0
2025_04_16,FADE_MOMENTUM,short,18338.0,-97.0,0.0,48,z_reversal,1744833000.0
2025_04_17,FADE_MOMENTUM,short,18389.0,-41.5,7.5,84,mean_reached,1744902360.0
2025_04_17,FADE_MOMENTUM,short,18416.75,35.0,73.5,24,giveback,1744904220.0
2025_04_17,FADE_MOMENTUM,short,18382.25,-33.0,18.5,24,z_reversal,1744905900.0
2025_04_22,FADE_MOMENTUM,long,18415.0,-149.5,0.0,60,z_reversal,1745341800.0
2025_04_23,FADE_MOMENTUM,long,18957.75,34.5,34.5,24,mean_reached,1745421780.0
2025_04_23,FADE_MOMENTUM,long,18788.75,-9.0,11.5,60,mean_reached,1745445600.0
2025_04_24,FADE_MOMENTUM,short,19370.25,9.5,9.5,36,mean_reached,1745524860.0
2025_04_25,FADE_MOMENTUM,short,19316.5,33.0,33.0,48,mean_reached,1745589600.0
2025_04_25,FADE_MOMENTUM,long,19472.0,10.0,10.0,36,mean_reached,1745602680.0
2025_04_30,FADE_MOMENTUM,long,19237.0,80.5,80.5,36,mean_reached,1746019800.0
2025_04_30,FADE_MOMENTUM,short,19528.75,-34.0,41.5,36,giveback,1746036420.0
2025_05_07,FADE_MOMENTUM,long,19737.75,-24.0,0.0,48,mean_reached,1746641160.0
