day,entry_tier,dir,entry_price,pnl,peak,held,exit_reason,timestamp
2025_07_13,EXHAUSTION_BAR,long,22830.25,21.0,37.0,60,exhaust_mean,1752444060.0
2025_07_14,EXHAUSTION_BAR,long,22868.25,-29.0,0.0,12,exhaust_no_conviction,1752500580.0
2025_07_16,EXHAUSTION_BAR,long,22936.0,-52.5,0.0,12,exhaust_no_conviction,1752679200.0
2025_07_23,EXHAUSTION_BAR,short,23265.5,-31.5,0.0,12,exhaust_no_conviction,1753286100.0
2025_07_30,EXHAUSTION_BAR,short,23588.25,-48.0,36.5,24,giveback,1753905780.0
2025_07_31,EXHAUSTION_BAR,long,23661.5,-21.0,34.5,36,giveback,1753968720.0
2025_08_07,EXHAUSTION_BAR,long,23578.0,45.5,45.5,36,exhaust_mean,1754574360.0
2025_08_12,EXHAUSTION_BAR,long,23616.25,48.0,65.0,158,exhaust_mean,1754974980.0
2025_08_12,EXHAUSTION_BAR,long,23699.5,-47.0,0.0,12,exhaust_no_conviction,1755006540.0
2025_08_13,EXHAUSTION_BAR,long,24009.75,15.0,44.0,36,giveback,1755093360.0
2025_08_15,EXHAUSTION_BAR,long,23853.0,25.0,27.5,48,exhaust_mean,1755264660.0
2025_08_20,EXHAUSTION_BAR,long,23380.0,-27.0,0.0,12,exhaust_no_conviction,1755696660.0
2025_08_20,EXHAUSTION_BAR,long,23212.75,7.5,21.0,24,exhaust_mean,1755712980.0
2025_08_22,EXHAUSTION_BAR,long,23253.0,523.0,549.0,108,exhaust_mean,1755871080.0
2025_08_22,EXHAUSTION_BAR,short,23480.25,-68.5,0.0,72,exhaust_mean,1755871260.0
2025_08_26,EXHAUSTION_BAR,short,23499.5,-14.0,0.0,12,exhaust_no_conviction,1756215120.0
2025_08_28,EXHAUSTION_BAR,short,23721.25,32.0,54.5,60,exhaust_mean,1756387860.0
2025_08_28,EXHAUSTION_BAR,long,23607.5,16.5,26.0,36,exhaust_mean,1756389060.0
2025_09_02,EXHAUSTION_BAR,long,23041.75,81.5,92.5,36,exhaust_mean,1756819860.0
2025_09_11,EXHAUSTION_BAR,long,23882.75,45.0,52.0,48,exhaust_mean,1757594040.0
2025_09_18,EXHAUSTION_BAR,long,24394.25,-28.0,12.5,72,exhaust_mean,1758202860.0
2025_10_01,EXHAUSTION_BAR,long,24758.75,15.5,18.0,24,exhaust_mean,1759320960.0
2025_10_10,EXHAUSTION_BAR,long,25220.0,-52.0,0.0,12,exhaust_no_conviction,1760108280.0
2025_10_10,EXHAUSTION_BAR,long,25077.0,-109.5,0.0,12,exhaust_no_conviction,1760108460.0
2025_10_10,EXHAUSTION_BAR,long,24418.75,-59.5,0.0,12,exhaust_no_conviction,1760126100.0
2025_10_10,EXHAUSTION_BAR,long,24229.0,2.0,66.5,24,giveback,1760129460.0
2025_10_13,EXHAUSTION_BAR,long,24773.25,-41.0,4.5,72,exhaust_mean,1760353560.0
2025_10_13,EXHAUSTION_BAR,short,24859.0,18.5,41.5,288,giveback,1760360460.0
2025_10_16,EXHAUSTION_BAR,long,24784.75,-26.5,0.0,12,exhaust_no_conviction,1760637900.0
2025_10_17,EXHAUSTION_BAR,short,24716.25,15.0,68.0,120,giveback,1760699640.0
2025_10_22,EXHAUSTION_BAR,long,24924.0,-88.5,0.0,12,exhaust_no_conviction,1761150660.0
2025_10_30,EXHAUSTION_BAR,long,25971.5,-40.0,0.0,48,exhaust_mean,1761831420.0
2025_11_05,EXHAUSTION_BAR,short,25612.25,-130.0,7.5,96,exhaust_mean,1762354080.0
2025_11_07,EXHAUSTION_BAR,long,24950.25,-49.5,0.0,12,exhaust_no_conviction,1762526280.0
2025_11_12,EXHAUSTION_BAR,long,25743.75,24.0,24.0,24,exhaust_mean,1762947000.0
