timestamp,direction,entry_price,target_price,stop_price,z_score,band_touched,regime_bars,osc_coherence,term_pid,pid_class,tension_reason,oracle_label,oracle_label_name,oracle_mfe,oracle_mae,would_have_hit_target,would_have_hit_stop,theoretical_pnl
1770253125.0,LONG,25113.0,25119.542041276185,25110.238006844247,-1.184297155580796,1sig,9,0.8120379565416465,-1.6009653073918144,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770253140.0,LONG,25111.25,25118.270253463194,25108.488006844247,-1.270867280856844,1sig,10,0.8662204692692089,-1.6527476654836315,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770253185.0,LONG,25107.25,25114.170411651732,25104.488006844247,-1.252793048621192,1sig,13,0.8558218309217902,-1.681391543332502,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770253200.0,LONG,25105.25,25112.049868338905,25102.488006844247,-1.2309712507326462,1sig,14,0.8515546801503244,-1.611121265788614,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770253215.0,LONG,25101.0,25109.680418645774,25098.238006844247,-1.5714048073747124,1sig,15,0.7905699122198624,-1.8537891150157693,TENSION,outer_roche,0,NOISE,0.0,0.0,True,False,17.36
1770254985.0,LONG,25127.0,25133.993345719755,25124.238006844247,-1.2659962073382334,1sig,3,0.5776387087585771,-1.603726449217411,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,13.99
1770255015.0,LONG,25122.75,25132.284366694457,25119.988006844247,-1.7259939030982991,1sig,5,0.591533654690399,-2.1581248935780426,TENSION,outer_roche,0,NOISE,0.0,0.0,True,False,19.07
1770255330.0,LONG,25125.5,25132.56066157873,25122.738006844247,-1.2781823090372053,1sig,8,0.6547847956470086,-1.8410738584588873,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,14.12
1770255585.0,LONG,25145.5,25151.15653146229,25142.738006844247,-1.0239944748789493,1sig,8,0.6654125963745036,-1.763709268869444,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770255600.0,LONG,25145.0,25151.84048132018,25142.238006844247,-1.2383233654891068,1sig,9,0.5948599216274718,-1.6620274608665848,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770255690.0,LONG,25132.5,25139.82812102263,25129.738006844247,-1.3266001415259945,1sig,3,0.6524361967142565,-1.7158575667025584,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,14.66
1770255705.0,LONG,25132.25,25138.014856564027,25129.488006844247,-1.0436044260319288,1sig,4,0.7260324635776478,-1.4652030699171514,TENSION,maxed_force,0,NOISE,0.0,0.0,True,False,11.53
1770255855.0,SHORT,25148.25,25142.48410325262,25151.011993155753,1.0437927290602727,1sig,3,0.5802414261277934,-0.5103703669135662,STABLE,,0,NOISE,0.0,0.0,True,False,11.53
1770255990.0,LONG,25146.0,25153.879827904246,25143.238006844247,-1.426474915014377,1sig,12,0.5498053914848904,-1.9168742733070143,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770256005.0,LONG,25146.5,25152.864495779206,25143.738006844247,-1.1521563270257915,1sig,13,0.5258508636317581,-1.5212144459151786,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
1770256020.0,LONG,25142.75,25151.77719864165,25139.988006844247,-1.6341819353981888,1sig,14,0.5486328116923873,-1.913496089373574,TENSION,outer_roche,0,NOISE,0.0,0.0,False,True,-5.52
1770256035.0,LONG,25144.25,25150.141697349205,25141.488006844247,-1.0665662470836559,1sig,15,0.6823071100785494,-1.4197599858789212,TENSION,maxed_force,0,NOISE,0.0,0.0,False,True,-5.52
