feature,regime_2d,n,mean,std,median,p10,p90
L1_1h_price_accel_1b,FLAT_CHOPPY,18315,0.2555692055692056,92.86245181580445,-0.5,-85.5,94.75
L1_1h_price_accel_1b,FLAT_SMOOTH,9858,-0.561396835057821,83.18056317307885,0.25,-62.75,65.0
L1_1h_price_accel_1b,UP_CHOPPY,3924,0.28606014271151886,98.69821363678773,2.5,-67.5,66.25
L1_1h_price_accel_1b,UP_SMOOTH,7146,1.1401483347327177,116.43707601962696,0.25,-65.0,76.25
L1_1h_vol_velocity_1b,DOWN_CHOPPY,2988,2052.1074297188757,54562.445406402505,-496.0,-57508.0,45372.0
L1_1h_vol_velocity_1b,DOWN_SMOOTH,4662,-916.5905190905191,67987.04393352447,-1080.0,-64616.0,50029.0
L1_1h_vol_velocity_1b,FLAT_CHOPPY,18315,586.9081081081081,55591.03752792008,-118.0,-48955.0,41781.0
L1_1h_vol_velocity_1b,FLAT_SMOOTH,9870,-1374.156129685917,44306.853103493864,-1062.0,-38788.0,21953.0
L1_1h_vol_velocity_1b,UP_CHOPPY,3924,744.6121304791029,58510.923590511266,-775.0,-51352.0,38599.0
L1_1h_vol_velocity_1b,UP_SMOOTH,7146,-393.258326336412,52968.45751331746,-942.0,-50960.0,36504.0
L1_1h_vol_accel_1b,DOWN_CHOPPY,2988,164.67302543507364,68845.39408877364,3734.0,-88864.0,78256.0
L1_1h_vol_accel_1b,DOWN_SMOOTH,4662,-577.5482625482625,94689.9431328354,3073.0,-95590.0,107702.40000000154
L1_1h_vol_accel_1b,FLAT_CHOPPY,18315,-41.62080262080262,74715.99655688426,2119.0,-78039.0,72527.0
L1_1h_vol_accel_1b,FLAT_SMOOTH,9858,82.86640292148509,61115.90745828068,2658.0,-66391.0,55915.0
L1_1h_vol_accel_1b,UP_CHOPPY,3924,-187.2125382262997,78618.7021730235,4078.0,-89656.0,69525.0
L1_1h_vol_accel_1b,UP_SMOOTH,7146,152.48992443324937,72824.68404151223,3224.0,-73997.0,62566.0
L1_1h_bar_range,DOWN_CHOPPY,2988,80.16173025435073,55.08595759285534,64.75,27.424999999999997,157.25
L1_1h_bar_range,DOWN_SMOOTH,4662,89.62591162591163,80.72593406039947,63.5,29.0,188.0
L1_1h_bar_range,FLAT_CHOPPY,18315,81.03565383565383,72.4521047423831,56.0,23.5,172.5
L1_1h_bar_range,FLAT_SMOOTH,9882,59.545866221412666,46.0093424646832,46.75,21.25,110.5
L1_1h_bar_range,UP_CHOPPY,3924,80.07734454638124,102.28684653579168,51.25,22.0,159.5
L1_1h_bar_range,UP_SMOOTH,7146,70.70794850265882,88.0363922845749,46.0,21.25,138.5
L1_1h_body,DOWN_CHOPPY,2988,-10.653112449799197,57.25799336485233,-5.25,-80.5,47.0
L1_1h_body,DOWN_SMOOTH,4662,-20.40674603174603,68.999572103834,-8.0,-98.0,38.0
