**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

feature,regime_a,regime_b,pair,cohen_d,abs_d
L1_4h_price_velocity_1b,DOWN_SMOOTH,UP_SMOOTH,DOWN_SMOOTH__vs__UP_SMOOTH,-0.8976865974243564,0.8976865974243564
L1_4h_price_velocity_1b,FLAT_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY__vs__FLAT_SMOOTH,-0.023201985200941324,0.023201985200941324
L1_4h_price_velocity_1b,FLAT_CHOPPY,UP_CHOPPY,FLAT_CHOPPY__vs__UP_CHOPPY,-0.41274226343766385,0.41274226343766385
L1_4h_price_velocity_1b,FLAT_CHOPPY,UP_SMOOTH,FLAT_CHOPPY__vs__UP_SMOOTH,-0.49727552891209637,0.49727552891209637
L1_4h_price_velocity_1b,FLAT_SMOOTH,UP_CHOPPY,FLAT_SMOOTH__vs__UP_CHOPPY,-0.4546473511294465,0.4546473511294465
L1_4h_price_velocity_1b,FLAT_SMOOTH,UP_SMOOTH,FLAT_SMOOTH__vs__UP_SMOOTH,-0.47896305060810057,0.47896305060810057
L1_4h_price_velocity_1b,UP_CHOPPY,UP_SMOOTH,UP_CHOPPY__vs__UP_SMOOTH,-0.13689108551312915,0.13689108551312915
L1_4h_price_accel_1b,DOWN_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY__vs__DOWN_SMOOTH,0.09267005753530591,0.09267005753530591
L1_4h_price_accel_1b,DOWN_CHOPPY,FLAT_CHOPPY,DOWN_CHOPPY__vs__FLAT_CHOPPY,-0.03666984703065865,0.03666984703065865
L1_4h_price_accel_1b,DOWN_CHOPPY,FLAT_SMOOTH,DOWN_CHOPPY__vs__FLAT_SMOOTH,-0.044166132580432116,0.044166132580432116
L1_4h_price_accel_1b,DOWN_CHOPPY,UP_CHOPPY,DOWN_CHOPPY__vs__UP_CHOPPY,-0.1180547785346803,0.1180547785346803
L1_4h_price_accel_1b,DOWN_CHOPPY,UP_SMOOTH,DOWN_CHOPPY__vs__UP_SMOOTH,-0.08324360907968159,0.08324360907968159
L1_4h_price_accel_1b,DOWN_SMOOTH,FLAT_CHOPPY,DOWN_SMOOTH__vs__FLAT_CHOPPY,-0.12652314086533467,0.12652314086533467
L1_4h_price_accel_1b,DOWN_SMOOTH,FLAT_SMOOTH,DOWN_SMOOTH__vs__FLAT_SMOOTH,-0.15665232469231338,0.15665232469231338
L1_4h_price_accel_1b,DOWN_SMOOTH,UP_CHOPPY,DOWN_SMOOTH__vs__UP_CHOPPY,-0.21373667497757,0.21373667497757
L1_4h_price_accel_1b,DOWN_SMOOTH,UP_SMOOTH,DOWN_SMOOTH__vs__UP_SMOOTH,-0.15788551291664077,0.15788551291664077
L1_4h_price_accel_1b,FLAT_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY__vs__FLAT_SMOOTH,0.003871784701904181,0.003871784701904181
L1_4h_price_accel_1b,FLAT_CHOPPY,UP_CHOPPY,FLAT_CHOPPY__vs__UP_CHOPPY,-0.06854670956114799,0.06854670956114799
L1_4h_price_accel_1b,FLAT_CHOPPY,UP_SMOOTH,FLAT_CHOPPY__vs__UP_SMOOTH,-0.06179436061541925,0.06179436061541925
L1_4h_price_accel_1b,FLAT_SMOOTH,UP_CHOPPY,FLAT_SMOOTH__vs__UP_CHOPPY,-0.09825163169211802,0.09825163169211802
