
STRATEGY PERFORMANCE REPORT
ID         | Tier | Trades | Win%  | Sharpe | PnL        | MaxDD      | Risk 
553        | 4    | 50     |  40.0 |  -0.02 | $-15.50    | $117.00    | 0.58
570        | 4    | 117    |  35.0 |  -0.03 | $-140.50   | $805.50    | 0.67
141        | 4    | 127    |  40.2 |  -0.03 | $-113.00   | $277.00    | 0.59
552        | 4    | 222    |  31.1 |  -0.03 | $-118.50   | $258.50    | 0.56
1620       | 4    | 64     |  35.9 |  -0.04 | $-64.00    | $310.50    | 0.71
352        | 4    | 10     |  20.0 |  -0.04 | $-7.00     | $67.00     | 0.68
161        | 4    | 58     |  46.6 |  -0.05 | $-107.00   | $379.50    | 0.70
1201       | 4    | 43     |  32.6 |  -0.05 | $-46.00    | $183.50    | 0.67
480        | 4    | 23     |  26.1 |  -0.06 | $-15.00    | $56.50     | 0.60
140        | 4    | 172    |  34.9 |  -0.06 | $-252.50   | $482.00    | 0.63
340        | 4    | 20     |  25.0 |  -0.06 | $-26.50    | $116.50    | 0.65
110        | 4    | 22     |  40.9 |  -0.06 | $-34.50    | $65.50     | 0.55
500        | 4    | 25     |  36.0 |  -0.06 | $-30.00    | $102.50    | 0.69
453        | 4    | 52     |  34.6 |  -0.09 | $-102.50   | $158.00    | 0.61
122        | 4    | 117    |  32.5 |  -0.09 | $-224.00   | $476.50    | 0.70
421        | 4    | 20     |  45.0 |  -0.09 | $-21.00    | $66.50     | 0.66
350        | 4    | 27     |  44.4 |  -0.09 | $-57.50    | $98.00     | 0.66
551        | 4    | 110    |  37.3 |  -0.09 | $-598.50   | $720.50    | 0.64
881        | 4    | 43     |  25.6 |  -0.10 | $-129.50   | $351.50    | 0.72
531        | 4    | 11     |  36.4 |  -0.11 | $-17.00    | $34.50     | 0.59
681        | 4    | 48     |  31.2 |  -0.11 | $-210.50   | $249.00    | 0.64
693        | 4    | 88     |  27.3 |  -0.12 | $-289.00   | $390.00    | 0.66
902        | 4    | 10     |  30.0 |  -0.13 | $-17.00    | $36.00     | 0.62
240        | 4    | 50     |  30.0 |  -0.13 | $-214.00   | $273.50    | 0.74
550        | 4    | 128    |  36.7 |  -0.13 | $-897.00   | $1284.50   | 0.80
33         | 4    | 15     |  26.7 |  -0.14 | $-44.00    | $103.50    | 0.75
152        | 4    | 82     |  28.0 |  -0.14 | $-169.00   | $249.00    | 0.74
752        | 4    | 47     |  25.5 |  -0.16 | $-186.50   | $318.00    | 0.73
