p10,p25,p50,p75,p90,predicted_dir,actual_dir,actual_signed_mfe,consensus,ci_width,mean_dist
-226.725,-107.75,-25.75,59.125,173.00000000000006,SHORT,SHORT,-224.25,0.56,166.875,26.09972430555541
-249.7,-118.25,1.75,85.375,149.22500000000002,LONG,SHORT,-367.25,0.5,203.625,26.141092270310214
-203.4,-73.6875,12.625,118.8125,239.15,LONG,SHORT,-421.75,0.54,192.5,27.727135228481416
-171.2,-70.25,7.875,67.4375,124.47500000000001,LONG,SHORT,-401.25,0.52,137.6875,19.200760040986367
-131.75,-54.5625,12.25,67.125,186.82500000000002,LONG,SHORT,-357.75,0.56,121.6875,39.153926295752896
-112.19999999999999,-70.125,4.625,87.125,166.95000000000007,LONG,SHORT,-326.5,0.54,157.25,37.16692258597073
-232.79999999999998,-64.625,11.25,88.9375,168.70000000000005,LONG,SHORT,-406.5,0.56,153.5625,36.748764668036266
-107.49999999999997,-36.8125,7.375,40.875,93.60000000000002,LONG,SHORT,-336.5,0.58,77.6875,14.009868667054057
-175.04999999999998,-87.25,-8.75,41.8125,91.825,SHORT,SHORT,-516.5,0.54,129.0625,16.59650148572719
-110.3,-69.6875,-9.625,29.3125,76.25,SHORT,SHORT,-505.0,0.54,99.0,16.10902650945069
-160.95,-111.375,0.125,42.0,68.575,LONG,SHORT,-449.5,0.5,153.375,17.390673390829978
-156.025,-55.8125,3.25,45.8125,113.32500000000002,LONG,SHORT,-466.0,0.52,101.625,15.268494655698467
-261.025,-117.6875,-21.625,55.125,93.30000000000001,SHORT,SHORT,-424.0,0.56,172.8125,16.929115733888107
-198.77499999999998,-61.125,-3.75,35.8125,78.85000000000004,SHORT,SHORT,-331.5,0.5,96.9375,16.070511607740666
-110.075,-42.8125,5.875,43.4375,113.9,LONG,SHORT,-224.0,0.56,86.25,16.110085773014326
-192.325,-68.5625,3.25,47.75,74.75,LONG,SHORT,-187.5,0.52,116.3125,13.321674722167534
-186.19999999999996,-79.625,-7.0,39.875,63.80000000000001,SHORT,SHORT,-97.5,0.56,119.5,16.344548552210217
-117.625,-49.125,-0.875,29.5,50.75000000000001,SHORT,SHORT,-101.25,0.5,78.625,15.891986802564748
-83.0,-32.25,13.625,40.9375,75.70000000000002,LONG,LONG,189.0,0.58,73.1875,16.651524102979884
-110.3,-51.125,5.0,41.3125,69.25,LONG,LONG,123.0,0.52,92.4375,15.545915831408927
-200.525,-86.6875,-13.75,34.25,131.05,SHORT,LONG,119.5,0.5800000000000001,120.9375,22.495169906344866
-120.94999999999999,-54.4375,-18.0,17.875,66.40000000000005,SHORT,LONG,173.5,0.6599999999999999,72.3125,22.734391741844146
-82.125,-38.5625,2.25,43.5625,102.075,LONG,LONG,1021.5,0.52,82.125,22.00215849829764
-86.325,-43.125,-3.5,52.25,113.00000000000001,SHORT,LONG,134.75,0.54,95.375,16.17404297562206
