trade_id,side,qty,entry_dt,exit_dt,entry_px,exit_px,entry_name,exit_name,pnl_usd,commission
822,Short,1,2026-04-13 16:56:59+00:00,2026-04-13 17:19:59+00:00,25393.0,25432.25,ShortAtHighPivot,PivotExitShort,-80.4,1.9
823,Long,1,2026-04-13 17:19:59+00:00,2026-04-13 17:51:59+00:00,25432.25,25399.25,LongAtLowPivot,PivotExitLong,-67.9,1.9
824,Short,1,2026-04-13 17:51:59+00:00,2026-04-13 18:46:59+00:00,25399.25,25435.75,ShortAtHighPivot,PivotExitShort,-74.9,1.9
825,Long,1,2026-04-13 18:46:59+00:00,2026-04-13 20:55:59+00:00,25435.75,25576.5,LongAtLowPivot,EodExitLong,279.6,1.9
826,Short,1,2026-04-14 06:17:59+00:00,2026-04-14 07:03:59+00:00,25567.0,25597.5,ShortAtHighPivot,PivotExitShort,-62.9,1.9
827,Long,1,2026-04-14 07:03:59+00:00,2026-04-14 07:54:59+00:00,25597.5,25610.0,LongAtLowPivot,PivotExitLong,23.1,1.9
828,Short,1,2026-04-14 07:54:59+00:00,2026-04-14 08:28:59+00:00,25610.0,25641.25,ShortAtHighPivot,PivotExitShort,-64.4,1.9
829,Long,1,2026-04-14 08:28:59+00:00,2026-04-14 09:36:59+00:00,25641.25,25641.75,LongAtLowPivot,PivotExitLong,-0.8999999999999999,1.9
830,Short,1,2026-04-14 09:36:59+00:00,2026-04-14 11:25:59+00:00,25641.75,25654.75,ShortAtHighPivot,PivotExitShort,-27.9,1.9
831,Long,1,2026-04-14 11:25:59+00:00,2026-04-14 12:37:59+00:00,25654.75,25669.25,LongAtLowPivot,PivotExitLong,27.1,1.9
832,Short,1,2026-04-14 12:37:59+00:00,2026-04-14 13:31:59+00:00,25669.25,25689.0,ShortAtHighPivot,PivotExitShort,-41.4,1.9
833,Long,1,2026-04-14 13:31:59+00:00,2026-04-14 13:40:59+00:00,25689.0,25708.25,LongAtLowPivot,PivotExitLong,36.6,1.9
834,Short,1,2026-04-14 13:40:59+00:00,2026-04-14 13:43:59+00:00,25708.25,25739.25,ShortAtHighPivot,PivotExitShort,-63.9,1.9
835,Long,1,2026-04-14 13:43:59+00:00,2026-04-14 13:58:59+00:00,25739.25,25728.0,LongAtLowPivot,PivotExitLong,-24.4,1.9
836,Short,1,2026-04-14 13:58:59+00:00,2026-04-14 14:10:59+00:00,25728.0,25758.5,ShortAtHighPivot,PivotExitShort,-62.9,1.9
837,Long,1,2026-04-14 14:10:59+00:00,2026-04-14 14:41:59+00:00,25758.5,25783.0,LongAtLowPivot,PivotExitLong,47.1,1.9
838,Short,1,2026-04-14 14:41:59+00:00,2026-04-14 14:55:59+00:00,25783.0,25817.5,ShortAtHighPivot,PivotExitShort,-70.9,1.9
839,Long,1,2026-04-14 14:55:59+00:00,2026-04-14 15:05:59+00:00,25817.5,25783.25,LongAtLowPivot,PivotExitLong,-70.4,1.9
840,Short,1,2026-04-14 15:05:59+00:00,2026-04-14 15:20:59+00:00,25783.25,25810.0,ShortAtHighPivot,PivotExitShort,-55.4,1.9
841,Long,1,2026-04-14 15:20:59+00:00,2026-04-14 18:16:59+00:00,25810.0,25932.5,LongAtLowPivot,PivotExitLong,243.1,1.9
842,Short,1,2026-04-14 18:16:59+00:00,2026-04-14 18:37:59+00:00,25932.5,25925.25,ShortAtHighPivot,PivotExitShort,12.6,1.9
843,Long,1,2026-04-14 18:37:59+00:00,2026-04-14 19:53:59+00:00,25925.25,25960.5,LongAtLowPivot,PivotExitLong,68.6,1.9
844,Short,1,2026-04-14 19:53:59+00:00,2026-04-14 19:59:59+00:00,25960.5,25993.25,ShortAtHighPivot,PivotExitShort,-67.4,1.9
845,Long,1,2026-04-14 19:59:59+00:00,2026-04-14 20:55:59+00:00,25993.25,25995.25,LongAtLowPivot,EodExitLong,2.1,1.9
846,Short,1,2026-04-15 02:31:59+00:00,2026-04-15 03:56:59+00:00,26009.0,26025.25,ShortAtHighPivot,PivotExitShort,-34.4,1.9
847,Long,1,2026-04-15 03:56:59+00:00,2026-04-15 05:23:59+00:00,26025.25,25995.0,LongAtLowPivot,PivotExitLong,-62.4,1.9
848,Short,1,2026-04-15 05:23:59+00:00,2026-04-15 07:11:59+00:00,25995.0,25998.25,ShortAtHighPivot,PivotExitShort,-8.4,1.9
849,Long,1,2026-04-15 07:11:59+00:00,2026-04-15 09:08:59+00:00,25998.25,26004.5,LongAtLowPivot,PivotExitLong,10.6,1.9
850,Short,1,2026-04-15 09:08:59+00:00,2026-04-15 10:43:59+00:00,26004.5,25970.5,ShortAtHighPivot,PivotExitShort,66.1,1.9
851,Long,1,2026-04-15 10:43:59+00:00,2026-04-15 12:13:59+00:00,25970.5,25968.0,LongAtLowPivot,PivotExitLong,-6.9,1.9
852,Short,1,2026-04-15 12:13:59+00:00,2026-04-15 12:39:59+00:00,25968.0,25991.5,ShortAtHighPivot,PivotExitShort,-48.9,1.9
853,Long,1,2026-04-15 12:39:59+00:00,2026-04-15 13:44:59+00:00,25991.5,26019.75,LongAtLowPivot,PivotExitLong,54.6,1.9
854,Short,1,2026-04-15 13:44:59+00:00,2026-04-15 13:48:59+00:00,26019.75,26046.5,ShortAtHighPivot,PivotExitShort,-55.4,1.9
855,Long,1,2026-04-15 13:48:59+00:00,2026-04-15 14:40:59+00:00,26046.5,26111.25,LongAtLowPivot,PivotExitLong,127.6,1.9
856,Short,1,2026-04-15 14:40:59+00:00,2026-04-15 14:44:59+00:00,26111.25,26145.25,ShortAtHighPivot,PivotExitShort,-69.9,1.9
857,Long,1,2026-04-15 14:44:59+00:00,2026-04-15 15:08:59+00:00,26145.25,26141.5,LongAtLowPivot,PivotExitLong,-9.4,1.9
