day,split,n_phrases,n_motifs,phrase_NOISE,phrase_FLATLINE,phrase_LOGARITHMIC_UP,phrase_LINEAR_DOWN,phrase_LINEAR_UP,phrase_LOGARITHMIC_DOWN,phrase_EXPONENTIAL_UP,phrase_EXPONENTIAL_DOWN,phrase_BACK_SKEWED_UP,phrase_BACK_SKEWED_DOWN
2025_11_21,IS,12,23,0.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_11_23,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_11_24,IS,6,12,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_11_25,IS,12,26,0.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_11_26,IS,7,17,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2025_11_27,IS,12,17,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_11_28,IS,2,7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025_11_30,IS,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_12_01,IS,6,16,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2025_12_02,IS,8,16,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_12_03,IS,6,15,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2025_12_04,IS,15,22,1.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_12_05,IS,8,17,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_12_07,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_12_08,IS,6,16,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2025_12_09,IS,6,18,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2025_12_10,IS,7,20,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
2025_12_11,IS,5,16,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2025_12_12,IS,9,13,0.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_12_14,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_12_15,IS,5,13,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_12_16,IS,7,17,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2025_12_17,IS,4,14,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_12_18,IS,7,12,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_12_19,IS,2,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2026_01_01,OOS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_01_02,OOS,4,20,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026_01_04,OOS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_01_05,OOS,3,14,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026_01_06,OOS,4,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026_01_07,OOS,4,12,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2026_01_08,OOS,11,20,1.0,6.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
2026_01_09,OOS,8,16,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026_01_11,OOS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_01_12,OOS,6,11,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026_01_13,OOS,11,19,1.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2026_01_14,OOS,7,17,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2026_01_15,OOS,7,19,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_01_16,OOS,7,15,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_01_18,OOS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_01_19,OOS,9,16,0.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2026_01_20,OOS,5,11,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2026_01_21,OOS,9,18,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_01_22,OOS,9,18,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2026_01_23,OOS,7,17,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2026_01_25,OOS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_01_26,OOS,7,15,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2026_01_27,OOS,8,13,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026_01_28,OOS,8,19,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2026_01_29,OOS,5,20,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026_01_30,OOS,6,15,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2026_02_01,OOS,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_02_02,OOS,5,16,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2026_02_03,OOS,8,12,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2026_02_04,OOS,8,15,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2026_02_05,OOS,7,17,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
2026_02_06,OOS,7,14,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026_02_08,OOS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_02_09,OOS,6,17,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2026_02_10,OOS,11,17,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2026_02_11,OOS,7,18,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_02_12,OOS,7,23,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2026_02_13,OOS,11,21,0.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2026_02_15,OOS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_02_16,OOS,7,16,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_02_17,OOS,11,23,0.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2026_02_18,OOS,6,19,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2026_02_19,OOS,8,19,0.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2026_02_20,OOS,14,26,1.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_02_22,OOS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_02_23,OOS,7,20,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2026_02_24,OOS,8,18,0.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2026_02_25,OOS,4,14,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026_02_26,OOS,14,30,1.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2026_02_27,OOS,11,20,0.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2026_03_01,OOS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_03_02,OOS,7,17,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_03_03,OOS,6,14,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026_03_04,OOS,4,13,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026_03_05,OOS,13,23,0.0,8.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
2026_03_06,OOS,6,16,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2026_03_08,OOS,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_03_09,OOS,5,14,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026_03_10,OOS,7,19,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2026_03_11,OOS,9,19,0.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2026_03_12,OOS,7,16,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2026_03_13,OOS,7,16,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2026_03_15,OOS,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_03_16,OOS,10,20,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2026_03_17,OOS,12,22,0.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2026_03_18,OOS,6,15,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_03_19,OOS,9,14,0.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
2026_03_20,OOS,3,7,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
