**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,seg_idx,shape,skew,r,mean_sigma,start_ts,end_ts,length_min,parent_phrase_idx,shape_class
2025_01_10,IS,0,NOISE,NONE,-2.0,15.262468737917647,1736467200,1736471130,65.5,0,NOISE
2025_01_10,IS,0,GENTLE_CONCAVE_UP,BACK_SKEWED,0.9733251100568548,7.428066541894592,1736473020,1736490360,289.0,1,GENTLE_CONCAVE_UP
2025_01_10,IS,1,STEEP_LINEAR_DOWN,NONE,0.9888918009298856,11.46895614443246,1736490360,1736492330,32.8,1,STEEP_LINEAR_DOWN
2025_01_10,IS,0,NOISE,NONE,0.8121627354353873,11.53550167959555,1736492330,1736500840,141.8,2,NOISE
2025_01_10,IS,1,FLATLINE,NONE,0.0,8.776172355689594,1736500840,1736503200,39.3,2,FLATLINE
2025_01_10,IS,0,GENTLE_LINEAR_UP,NONE,0.8949743644285687,12.91815394113066,1736503200,1736511465,137.8,3,GENTLE_LINEAR_UP
2025_01_10,IS,1,NOISE,NONE,0.3785160127984267,15.48475752312592,1736511465,1736516100,77.2,3,NOISE
2025_01_10,IS,2,STEEP_LINEAR_DOWN,NONE,0.8729171784128646,86.7665161083527,1736516100,1736516700,10.0,3,STEEP_LINEAR_DOWN
2025_01_10,IS,0,STEEP_LINEAR_DOWN,NONE,0.9145629331324564,61.72698524422055,1736516700,1736526000,155.0,4,STEEP_LINEAR_DOWN
2025_01_10,IS,1,FLATLINE,NONE,0.0,64.44794447486916,1736526000,1736526300,5.0,4,FLATLINE
2025_01_10,IS,2,GENTLE_CONVEX_DOWN,BACK_SKEWED,0.8512256929937173,31.11293926388208,1736526300,1736531400,85.0,4,GENTLE_CONVEX_DOWN
2025_01_10,IS,3,STEEP_LINEAR_UP,NONE,0.9927912528575032,36.538868434150544,1736531400,1736533800,40.0,4,STEEP_LINEAR_UP
2025_01_10,IS,0,NOISE,NONE,0.5811522417880849,33.75990456461729,1736533800,1736538300,75.0,5,NOISE
2025_01_10,IS,1,STEEP_LINEAR_DOWN,NONE,0.9595659439097076,20.510691755113832,1736538300,1736543700,90.0,5,STEEP_LINEAR_DOWN
