date,n_bigpos,n_bigneg,n_total,regime_2d,tf,actual,pred
2025-03-18,12,12,276,DOWN_CHOPPY,1h,DOWN,ABSTAIN
2025-03-19,36,12,276,UP_SMOOTH,1h,UP,UP
2025-03-20,24,49,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-03-21,0,6,78,DOWN_SMOOTH,1h,DOWN,DOWN
2025-03-31,0,12,84,FLAT_SMOOTH,1h,FLAT,DOWN
2025-04-01,24,48,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-04-02,85,47,276,FLAT_CHOPPY,1h,FLAT,UP
2025-04-03,36,72,276,DOWN_CHOPPY,1h,DOWN,DOWN
2025-04-04,48,72,168,DOWN_SMOOTH,1h,DOWN,DOWN
2025-04-06,48,60,108,DOWN_SMOOTH,1h,DOWN,DOWN
2025-04-07,132,84,276,UP_CHOPPY,1h,UP,UP
2025-04-08,84,168,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-04-09,144,96,276,UP_SMOOTH,1h,UP,UP
2025-04-10,120,120,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-04-11,72,96,168,FLAT_CHOPPY,1h,FLAT,DOWN
2025-04-13,12,12,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-04-14,36,72,276,FLAT_SMOOTH,1h,FLAT,DOWN
2025-04-15,24,60,276,DOWN_CHOPPY,1h,DOWN,DOWN
2025-04-16,48,48,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-04-17,24,36,168,FLAT_SMOOTH,1h,FLAT,DOWN
2025-04-20,0,24,108,FLAT_SMOOTH,1h,FLAT,DOWN
2025-04-21,24,36,276,FLAT_SMOOTH,1h,FLAT,DOWN
2025-04-22,72,24,276,UP_SMOOTH,1h,UP,UP
2025-04-23,60,48,276,FLAT_SMOOTH,1h,FLAT,UP
2025-04-24,72,0,276,UP_SMOOTH,1h,UP,UP
2025-04-25,48,24,168,FLAT_SMOOTH,1h,FLAT,UP
2025-04-27,0,0,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-04-28,24,24,276,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-04-29,36,36,276,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-04-30,72,48,276,FLAT_CHOPPY,1h,FLAT,UP
2025-05-01,24,48,276,FLAT_SMOOTH,1h,FLAT,DOWN
2025-05-02,24,12,168,UP_SMOOTH,1h,UP,UP
2025-05-04,0,12,108,DOWN_SMOOTH,1h,DOWN,DOWN
2025-05-05,0,0,276,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-05-06,24,24,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-05-07,36,24,276,FLAT_CHOPPY,1h,FLAT,UP
2025-05-08,12,36,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-05-09,0,24,168,FLAT_SMOOTH,1h,FLAT,DOWN
2025-05-11,0,0,108,UP_SMOOTH,1h,UP,ABSTAIN
2025-05-12,36,24,276,UP_CHOPPY,1h,UP,UP
2025-05-13,36,0,276,UP_SMOOTH,1h,UP,UP
2025-05-14,12,0,276,FLAT_SMOOTH,1h,FLAT,UP
2025-05-15,24,0,276,FLAT_CHOPPY,1h,FLAT,UP
2025-05-16,12,12,168,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-05-18,0,24,108,DOWN_SMOOTH,1h,DOWN,DOWN
2025-05-19,24,0,276,UP_CHOPPY,1h,UP,UP
2025-05-20,12,0,276,DOWN_SMOOTH,1h,DOWN,UP
2025-05-21,12,36,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-05-22,36,48,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-05-23,36,36,168,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-05-25,12,0,108,UP_SMOOTH,1h,UP,UP
2025-05-26,0,0,228,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-05-27,24,0,276,UP_CHOPPY,1h,UP,UP
2025-05-28,36,24,276,UP_SMOOTH,1h,UP,UP
2025-05-29,24,48,276,DOWN_SMOOTH,1h,DOWN,DOWN
2025-05-30,48,36,168,FLAT_CHOPPY,1h,FLAT,UP
2025-06-01,0,0,108,DOWN_SMOOTH,1h,DOWN,ABSTAIN
