**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

date,pick_time_utc,direction,price,snap,mfe_dollars,mae_dollars,rr,is_winner,z_15s,z_1m,z_15m,z_1h_high,z_1h_low,z_1h_close,slope_15s_3m,slope_15s_10m,slope_1m_10m,slope_15m_5m,slope_15m_15m,slope_15m_decel,curv_15m,band_width,band_rank_60,sigma_15m_rank_60,slope_15s_flipped_dn,slope_15s_flipped_up,align_up_count,align_down_count,align_state,crm_stack,dist_15s_1m,dist_1m_15m,dist_15s_15m,fan_width,fan_change_10m,bars_since_15s_x_1m_up,bars_since_15s_x_1m_dn,bars_since_1m_x_15m_up,bars_since_1m_x_15m_dn,bars_since_px_x_15m_up,bars_since_px_x_15m_dn,dist_15s_to_Mh_sigma,near_1h_Mh,above_1h_Mh,dist_15s_to_Ml_sigma,near_1h_Ml,below_1h_Ml,bars_since_15s_x_Mh_up,bars_since_15s_x_Mh_dn,bars_since_15s_x_Ml_up,bars_since_15s_x_Ml_dn,dist_15m_to_Mh_sigma,15m_near_1h_Mh,15m_above_1h_Mh,dist_15m_to_Ml_sigma,15m_near_1h_Ml,15m_below_1h_Ml,bars_since_15m_x_Mh_up,bars_since_15m_x_Mh_dn,bars_since_15m_x_Ml_up,bars_since_15m_x_Ml_dn,bars_since_any_cross_up,bars_since_any_cross_dn,align_matches_dir,align_against_dir,v6_fires_short,v6_fires_long,compression_short,compression_long,structural_short,structural_long
2025-01-06,2025-01-07 14:55:00,SHORT,21770.0,H,714.5,23.5,30.404255319148938,1,-0.278,0.407,0.525,0.433,2.604,1.2,1.171,3.654,1.248,0.0,0.157,-0.157,-0.0157,47.75,0.067,0.567,0,0,3,0,FULL_UP,15s>1m>15m,0.6,0.139,0.708,1.447,0.34,9,19,0,12,4,5,0.605,0,1,2.777,0,0,7,17,428,433,-0.061,1,0,2.107,0,0,1870,1075,370,460,0,5,0,1,0,0,1,0,1,0
2025-01-06,2025-01-07 15:51:00,LONG,21448.5,L,232.0,10.5,22.095238095238095,1,1.949,0.345,-2.301,-12.011,-11.881,-10.634,-1.075,-3.69,-7.498,0.0,-1.66,1.66,0.166,52.71,0.133,0.883,0,0,0,3,FULL_DOWN,15m>1m>15s,-0.699,-2.379,-2.538,5.615,0.158,27,18,56,50,60,55,-13.017,0,0,-13.087,0,1,63,53,484,49,-2.226,0,0,-0.152,1,1,1926,1131,426,6,27,18,0,1,0,0,0,1,0,1
2025-01-06,2025-01-07 15:53:00,LONG,21464.75,L,199.5,15.0,13.3,1,1.16,1.478,-2.203,-11.593,-11.38,-10.231,5.963,0.341,-5.473,0.0,-1.66,1.66,0.166,52.71,0.1,0.85,0,0,1,2,DIVERGENT,15m>15s>1m,0.176,-2.421,-2.395,4.992,0.341,0,20,58,52,62,57,-12.41,0,0,-12.36,0,1,65,55,486,51,-2.226,0,0,-0.152,1,1,1928,1133,428,8,0,20,0,1,0,0,0,1,0,1
2025-01-06,2025-01-07 18:29:00,SHORT,21503.0,L,156.5,4.5,34.77777777777778,1,-0.022,0.961,0.4,-2.172,-0.896,-1.329,2.325,1.985,1.955,0.0,-0.485,0.485,0.0485,87.27,0.5,0.0,0,0,2,1,DIVERGENT,15s>1m>15m,0.973,0.228,0.402,1.603,0.093,31,48,6,208,12,213,-2.171,0,0,-0.895,0,1,221,211,642,207,-2.392,0,0,-1.05,0,1,2084,1289,149,134,6,48,0,1,0,0,0,0,0,1
2025-01-06,2025-01-07 18:37:00,SHORT,21476.5,H,91.0,1.5,60.666666666666664,1,-5.739,-2.756,-0.391,-2.636,-1.221,-1.694,-2.633,-1.81,0.147,0.0,-0.385,0.385,0.0385,87.27,0.367,0.0,0,0,1,2,DIVERGENT,1m>15s>15m,-0.827,0.346,0.125,1.298,-0.183,39,4,14,216,20,1,-2.392,0,0,-1.05,0,1,229,219,650,215,-2.451,0,0,-1.091,0,1,2092,1297,157,142,14,1,0,0,0,0,0,0,0,1
2025-01-06,2025-01-07 20:45:00,LONG,21309.0,L,144.0,22.0,6.545454545454546,1,-3.273,-0.272,-1.914,-2.822,-1.731,-2.043,8.708,2.155,-1.37,-1.642,-0.547,-1.094,-0.1094,94.31,0.233,0.983,0,0,1,2,DIVERGENT,15m>15s>1m,0.996,-1.805,-1.405,4.206,0.302,2,49,142,122,148,129,-2.591,0,0,-1.541,0,1,357,347,778,343,-1.954,0,0,-1.016,0,1,2220,1425,285,270,2,49,0,1,0,0,0,1,0,1
2025-01-06,2025-01-08 10:28:00,SHORT,21436.5,H,89.0,26.5,3.358490566037736,1,-0.298,0.671,1.347,0.914,2.706,1.543,1.208,0.334,-0.005,0.0,0.267,-0.267,-0.0267,37.46,0.0,0.767,0,0,2,0,STRONG_UP,15s>1m>15m,0.834,1.255,1.369,3.458,0.138,2,4,103,226,108,126,0.943,0,1,2.729,0,0,30,40,159,162,-0.824,0,0,1.289,0,0,2983,2188,448,1033,2,4,0,1,0,0,1,0,1,0
2025-01-06,2025-01-08 12:33:00,LONG,21238.5,H,326.0,14.5,22.482758620689655,1,-1.562,-1.956,-2.485,-14.793,-4.505,-8.295,-3.812,-3.195,-4.443,-2.829,-0.943,-1.886,-0.1886,45.69,0.433,0.933,0,0,0,3,FULL_DOWN,15m>1m>15s,-0.939,-2.001,-2.233,5.173,0.049,45,29,228,67,76,74,-13.601,0,0,-4.035,0,1,155,72,284,61,-3.037,0,0,0.125,1,0,78,63,573,1158,45,29,0,1,0,0,0,0,0,1
2025-01-06,2025-01-08 12:56:00,LONG,21260.25,H,272.5,18.0,15.13888888888889,1,-1.279,-1.548,-1.712,-12.664,-3.667,-6.98,-1.083,-1.415,0.65,0.0,-0.747,0.747,0.0747,45.69,0.05,0.8,0,0,1,2,DIVERGENT,15m>1m>15s,-0.603,-1.522,-1.596,3.72,-0.137,17,6,251,90,99,97,-12.065,0,0,-3.431,0,1,178,95,307,84,-3.86,0,0,-0.199,1,1,101,86,596,11,17,6,0,1,0,0,0,1,0,1
2025-01-06,2025-01-08 15:02:00,SHORT,21398.0,H,274.5,67.5,4.066666666666666,1,2.758,2.085,1.744,-1.018,0.651,0.092,6.562,-0.65,0.357,-0.333,-0.111,-0.222,-0.0222,69.54,0.95,0.0,0,1,1,2,DIVERGENT,15s>1m>15m,0.06,0.551,0.586,1.197,-0.043,0,7,67,75,7,10,-2.881,0,0,-0.043,1,1,304,221,62,53,-3.822,0,0,-0.393,1,1,227,212,722,137,0,7,0,0,0,0,0,0,0,0
