split,side,anchor,axis,bin,n,threshold_min,p_continue,cilo,cihi,med_duration,mean_duration,p10_duration,p90_duration,mean_max_z
OOS,above,high,slope_q,4,72,30,0.027,0.0033,0.074,3.0,6.5,1.2,15.5,3.03
OOS,above,low,slope_q,1,41,3,0.5581,0.4096,0.7015,3.4,17.5,1.2,60.1,3.62
OOS,above,low,slope_q,1,41,5,0.4186,0.2772,0.5672,3.4,17.5,1.2,60.1,3.62
OOS,above,low,slope_q,1,41,10,0.3256,0.1957,0.4709,3.4,17.5,1.2,60.1,3.62
OOS,above,low,slope_q,1,41,20,0.2326,0.1205,0.3681,3.4,17.5,1.2,60.1,3.62
OOS,above,low,slope_q,1,41,30,0.186,0.086,0.3136,3.4,17.5,1.2,60.1,3.62
OOS,above,low,slope_q,2,104,3,0.5755,0.4807,0.6676,4.5,20.4,1.3,58.3,3.06
OOS,above,low,slope_q,2,104,5,0.4811,0.387,0.5759,4.5,20.4,1.3,58.3,3.06
OOS,above,low,slope_q,2,104,10,0.3585,0.2704,0.4517,4.5,20.4,1.3,58.3,3.06
OOS,above,low,slope_q,2,104,20,0.2453,0.1686,0.3311,4.5,20.4,1.3,58.3,3.06
OOS,above,low,slope_q,2,104,30,0.1981,0.1283,0.2787,4.5,20.4,1.3,58.3,3.06
OOS,above,low,slope_q,3,123,3,0.536,0.4485,0.6224,3.2,15.8,1.2,58.5,3.16
OOS,above,low,slope_q,3,123,5,0.36,0.2785,0.4458,3.2,15.8,1.2,58.5,3.16
OOS,above,low,slope_q,3,123,10,0.28,0.2051,0.3615,3.2,15.8,1.2,58.5,3.16
OOS,above,low,slope_q,3,123,20,0.208,0.1418,0.2831,3.2,15.8,1.2,58.5,3.16
OOS,above,low,slope_q,3,123,30,0.176,0.1147,0.2472,3.2,15.8,1.2,58.5,3.16
OOS,above,low,slope_q,4,210,3,0.6038,0.5372,0.6685,4.2,17.7,1.2,51.7,3.02
OOS,above,low,slope_q,4,210,5,0.4575,0.3911,0.5248,4.2,17.7,1.2,51.7,3.02
OOS,above,low,slope_q,4,210,10,0.3113,0.2509,0.3751,4.2,17.7,1.2,51.7,3.02
OOS,above,low,slope_q,4,210,20,0.2358,0.1813,0.2951,4.2,17.7,1.2,51.7,3.02
OOS,above,low,slope_q,4,210,30,0.1934,0.1432,0.2491,4.2,17.7,1.2,51.7,3.02
OOS,below,high,slope_q,0,184,3,0.6075,0.5365,0.6763,4.6,18.9,1.2,59.1,4.29
OOS,below,high,slope_q,0,184,5,0.4731,0.4019,0.5449,4.6,18.9,1.2,59.1,4.29
OOS,below,high,slope_q,0,184,10,0.3333,0.2676,0.4025,4.6,18.9,1.2,59.1,4.29
OOS,below,high,slope_q,0,184,20,0.2581,0.1979,0.3231,4.6,18.9,1.2,59.1,4.29
OOS,below,high,slope_q,0,184,30,0.2043,0.1496,0.265,4.6,18.9,1.2,59.1,4.29
OOS,below,high,slope_q,1,107,3,0.6789,0.5888,0.7628,6.0,30.2,1.2,101.9,7.41
OOS,below,high,slope_q,1,107,5,0.5321,0.4385,0.6246,6.0,30.2,1.2,101.9,7.41
OOS,below,high,slope_q,1,107,10,0.3945,0.3052,0.4875,6.0,30.2,1.2,101.9,7.41
OOS,below,high,slope_q,1,107,20,0.3028,0.2205,0.3918,6.0,30.2,1.2,101.9,7.41
OOS,below,high,slope_q,1,107,30,0.2477,0.1717,0.3325,6.0,30.2,1.2,101.9,7.41
OOS,below,high,slope_q,2,107,3,0.5596,0.466,0.6512,3.8,20.3,1.1,71.6,5.12
OOS,below,high,slope_q,2,107,5,0.4404,0.3488,0.534,3.8,20.3,1.1,71.6,5.12
OOS,below,high,slope_q,2,107,10,0.2844,0.2041,0.3722,3.8,20.3,1.1,71.6,5.12
OOS,below,high,slope_q,2,107,20,0.2202,0.1479,0.3022,3.8,20.3,1.1,71.6,5.12
OOS,below,high,slope_q,2,107,30,0.1651,0.1019,0.24,3.8,20.3,1.1,71.6,5.12
OOS,below,high,slope_q,3,43,3,0.6667,0.5242,0.7951,6.0,16.6,1.2,49.3,7.36
OOS,below,high,slope_q,3,43,5,0.5556,0.4103,0.6961,6.0,16.6,1.2,49.3,7.36
OOS,below,high,slope_q,3,43,10,0.3111,0.1861,0.452,6.0,16.6,1.2,49.3,7.36
OOS,below,high,slope_q,3,43,20,0.1556,0.0664,0.2735,6.0,16.6,1.2,49.3,7.36
OOS,below,high,slope_q,3,43,30,0.1333,0.0517,0.2456,6.0,16.6,1.2,49.3,7.36
OOS,below,low,slope_q,0,68,3,0.6429,0.5279,0.7501,4.5,9.6,1.5,25.1,4.04
OOS,below,low,slope_q,0,68,5,0.4714,0.3565,0.588,4.5,9.6,1.5,25.1,4.04
OOS,below,low,slope_q,0,68,10,0.2571,0.1625,0.3649,4.5,9.6,1.5,25.1,4.04
OOS,below,low,slope_q,0,68,20,0.1286,0.0614,0.2157,4.5,9.6,1.5,25.1,4.04
OOS,below,low,slope_q,0,68,30,0.0857,0.0326,0.1611,4.5,9.6,1.5,25.1,4.04
OOS,below,low,slope_q,1,26,3,0.5,0.3195,0.6805,2.8,7.9,1.4,13.8,4.14
OOS,below,low,slope_q,1,26,5,0.3571,0.194,0.5396,2.8,7.9,1.4,13.8,4.14
OOS,below,low,slope_q,1,26,10,0.1786,0.063,0.3373,2.8,7.9,1.4,13.8,4.14
OOS,below,low,slope_q,1,26,20,0.0714,0.0091,0.1897,2.8,7.9,1.4,13.8,4.14
OOS,below,low,slope_q,1,26,30,0.0714,0.0091,0.1897,2.8,7.9,1.4,13.8,4.14
IS,above,high,curvature_q,0,31,3,0.6667,0.4999,0.8143,5.2,12.9,1.3,30.0,3.07
IS,above,high,curvature_q,0,31,5,0.5455,0.3766,0.7091,5.2,12.9,1.3,30.0,3.07
IS,above,high,curvature_q,0,31,10,0.4545,0.2909,0.6234,5.2,12.9,1.3,30.0,3.07
IS,above,high,curvature_q,0,31,20,0.2424,0.1146,0.3997,5.2,12.9,1.3,30.0,3.07
IS,above,high,curvature_q,0,31,30,0.1515,0.0528,0.2899,5.2,12.9,1.3,30.0,3.07
IS,above,high,curvature_q,1,138,3,0.6,0.5179,0.6794,3.9,9.8,1.3,25.9,3.07
IS,above,high,curvature_q,1,138,5,0.45,0.3687,0.5327,3.9,9.8,1.3,25.9,3.07
IS,above,high,curvature_q,1,138,10,0.2929,0.2207,0.3706,3.9,9.8,1.3,25.9,3.07
IS,above,high,curvature_q,1,138,20,0.1429,0.0902,0.2052,3.9,9.8,1.3,25.9,3.07
IS,above,high,curvature_q,1,138,30,0.0857,0.0454,0.1372,3.9,9.8,1.3,25.9,3.07
IS,above,high,curvature_q,2,245,3,0.5223,0.46,0.5842,3.2,8.7,1.2,26.0,3.05
IS,above,high,curvature_q,2,245,5,0.4089,0.3485,0.4707,3.2,8.7,1.2,26.0,3.05
IS,above,high,curvature_q,2,245,10,0.2591,0.2065,0.3154,3.2,8.7,1.2,26.0,3.05
IS,above,high,curvature_q,2,245,20,0.1538,0.1117,0.2013,3.2,8.7,1.2,26.0,3.05
IS,above,high,curvature_q,2,245,30,0.0688,0.0408,0.1035,3.2,8.7,1.2,26.0,3.05
IS,above,low,curvature_q,0,315,3,0.6057,0.5514,0.6587,4.2,16.9,1.2,53.5,3.03
IS,above,low,curvature_q,0,315,5,0.4543,0.3998,0.5092,4.2,16.9,1.2,53.5,3.03
IS,above,low,curvature_q,0,315,10,0.306,0.2565,0.3578,4.2,16.9,1.2,53.5,3.03
IS,above,low,curvature_q,0,315,20,0.1924,0.151,0.2375,4.2,16.9,1.2,53.5,3.03
IS,above,low,curvature_q,0,315,30,0.1546,0.117,0.1963,4.2,16.9,1.2,53.5,3.03
IS,above,low,curvature_q,1,710,3,0.5871,0.5507,0.623,4.2,18.7,1.2,57.2,3.04
IS,above,low,curvature_q,1,710,5,0.4607,0.4242,0.4974,4.2,18.7,1.2,57.2,3.04
IS,above,low,curvature_q,1,710,10,0.3244,0.2906,0.3593,4.2,18.7,1.2,57.2,3.04
IS,above,low,curvature_q,1,710,20,0.2205,0.1908,0.2517,4.2,18.7,1.2,57.2,3.04
IS,above,low,curvature_q,1,710,30,0.1699,0.1433,0.1984,4.2,18.7,1.2,57.2,3.04
IS,above,low,curvature_q,2,806,3,0.5891,0.555,0.6228,4.1,18.0,1.2,50.7,3.03
IS,above,low,curvature_q,2,806,5,0.4554,0.4212,0.4899,4.1,18.0,1.2,50.7,3.03
IS,above,low,curvature_q,2,806,10,0.2933,0.2624,0.3252,4.1,18.0,1.2,50.7,3.03
IS,above,low,curvature_q,2,806,20,0.1993,0.1725,0.2275,4.1,18.0,1.2,50.7,3.03
IS,above,low,curvature_q,2,806,30,0.1559,0.1318,0.1817,4.1,18.0,1.2,50.7,3.03
IS,below,high,curvature_q,0,913,3,0.5749,0.5427,0.6067,3.8,15.8,1.2,43.0,4.1
