timestamp,price,z,vr,vel,in_pos,direction,tier,bars_held,pnl,peak,contracts,event
1775800165,25270.25,-0.3299,0.5692,-0.25,1,short,RIDE_AGAINST,2,2.5,3.0,1,
1775800170,25270.75,-0.3299,0.5692,-0.25,1,short,RIDE_AGAINST,2,1.5,3.0,1,
1775800175,25269.75,-0.3299,0.5692,-0.25,1,short,RIDE_AGAINST,2,3.5,3.5,1,
1775800180,25269.50,-0.3299,0.5692,-0.25,1,short,RIDE_AGAINST,2,4.0,4.0,1,
1775800185,25270.75,-0.3299,0.5692,-0.25,1,short,RIDE_AGAINST,2,1.5,4.0,1,
1775800190,25270.25,-0.3299,0.5692,-0.25,1,short,RIDE_AGAINST,2,2.5,4.0,1,
1775800200,25270.50,-0.0135,0.4366,0.25,1,short,RIDE_AGAINST,0,0.0,0.0,1,CHAIN_EXIT_fade_mean_reached
1775800205,25270.75,-0.0135,0.4366,0.25,1,short,RIDE_AGAINST,0,-0.5,0.0,1,
1775800210,25268.75,-0.0135,0.4366,0.25,1,short,RIDE_AGAINST,0,3.5,3.5,1,
1775800215,25271.50,-0.0135,0.4366,0.25,1,short,RIDE_AGAINST,0,-2.0,3.5,1,
1775800220,25270.75,-0.0135,0.4366,0.25,1,short,RIDE_AGAINST,0,-0.5,3.5,1,
1775800225,25270.00,-0.0135,0.4366,0.25,1,short,RIDE_AGAINST,0,1.0,3.5,1,
1775800230,25270.00,-0.0135,0.4366,0.25,1,short,RIDE_AGAINST,0,1.0,3.5,1,
1775800235,25270.25,-0.0135,0.4366,0.25,1,short,RIDE_AGAINST,0,0.5,3.5,1,
1775800240,25270.75,-0.0135,0.4366,0.25,1,short,RIDE_AGAINST,0,-0.5,3.5,1,
1775800245,25270.25,-0.0135,0.4366,0.25,1,short,RIDE_AGAINST,0,0.5,3.5,1,
1775800255,25270.50,-0.0135,0.4366,0.25,1,short,RIDE_AGAINST,0,0.0,3.5,1,
1775800260,25270.75,0.0062,0.2653,-0.50,1,short,RIDE_AGAINST,1,-0.5,3.5,2,CHAIN_ENTRY_FADE_AGAINST
1775800265,25270.75,0.0062,0.2653,-0.50,1,short,RIDE_AGAINST,1,-0.5,3.5,2,
1775800275,25270.75,0.0062,0.2653,-0.50,1,short,RIDE_AGAINST,1,-0.5,3.5,2,
1775800280,25269.25,0.0062,0.2653,-0.50,1,short,RIDE_AGAINST,1,5.5,3.5,2,
1775800285,25269.50,0.0062,0.2653,-0.50,1,short,RIDE_AGAINST,1,4.5,3.5,2,
1775800295,25269.75,0.0062,0.2653,-0.50,1,short,RIDE_AGAINST,1,3.5,3.5,2,
1775800300,25270.50,0.0062,0.2653,-0.50,1,short,RIDE_AGAINST,1,0.5,3.5,2,
1775800305,25271.00,0.0062,0.2653,-0.50,1,short,RIDE_AGAINST,1,-1.5,3.5,2,
1775800310,25270.75,0.0062,0.2653,-0.50,1,short,RIDE_AGAINST,1,-0.5,3.5,2,
1775800315,25271.25,0.0062,0.2653,-0.50,1,short,RIDE_AGAINST,1,-2.5,3.5,2,
1775800320,25270.25,0.1712,0.2572,-0.25,1,short,RIDE_AGAINST,2,1.5,3.5,3,CHAIN_ENTRY_FADE_AGAINST
1775800325,25270.75,0.1712,0.2572,-0.25,1,short,RIDE_AGAINST,2,-1.5,3.5,3,
1775800330,25271.00,0.1712,0.2572,-0.25,1,short,RIDE_AGAINST,2,-3.0,3.5,3,
1775800335,25270.75,0.1712,0.2572,-0.25,1,short,RIDE_AGAINST,2,-1.5,3.5,3,
1775800350,25271.25,0.1712,0.2572,-0.25,1,short,RIDE_AGAINST,2,-4.5,3.5,3,
1775800355,25271.75,0.1712,0.2572,-0.25,1,short,RIDE_AGAINST,2,-7.5,3.5,3,
1775800360,25270.75,0.1712,0.2572,-0.25,1,short,RIDE_AGAINST,2,-1.5,3.5,3,
1775800365,25271.00,0.1712,0.2572,-0.25,1,short,RIDE_AGAINST,2,-3.0,3.5,3,
1775800370,25271.00,0.1712,0.2572,-0.25,1,short,RIDE_AGAINST,2,-3.0,3.5,3,
1775800380,25270.00,-1.8134,0.4813,-5.75,1,short,RIDE_AGAINST,3,3.0,3.5,3,
1775800385,25269.50,-1.8134,0.4813,-5.75,1,short,RIDE_AGAINST,3,6.0,3.5,3,
1775800390,25265.25,-1.8134,0.4813,-5.75,1,short,RIDE_AGAINST,3,31.5,10.5,3,
1775800395,25262.25,-1.8134,0.4813,-5.75,1,short,RIDE_AGAINST,3,49.5,16.5,3,
1775800400,25262.75,-1.8134,0.4813,-5.75,1,short,RIDE_AGAINST,3,46.5,16.5,3,
1775800405,25264.25,-1.8134,0.4813,-5.75,1,short,RIDE_AGAINST,3,37.5,16.5,3,
