timestamp,type,tier,direction,price,pnl,bars_held,exit_reason,is_chain,contracts,daily_pnl
1775652060,CHAIN_EXIT,FADE_CALM,?,25191.75,3.0,3,fade_oscillation_center,1,0,-510.5
1775652180,CHAIN_ENTRY,RIDE_AGAINST,short,25183.25,0.0,0,,1,0,-507.5
1775652240,CHAIN_ENTRY,RIDE_AGAINST,short,25187.75,0.0,0,,1,0,-507.5
1775652300,CHAIN_EXIT,FADE_CALM,?,25189.00,5.5,4,fade_oscillation_center,1,0,-507.5
1775652360,CHAIN_EXIT,RIDE_AGAINST,?,25196.25,-26.0,3,chain_fade_p_center,1,0,-502.0
1775652360,CHAIN_EXIT,RIDE_AGAINST,?,25196.25,-17.0,2,chain_fade_mean_reached,1,0,-502.0
1775652420,CHAIN_EXIT,FADE_CALM,?,25200.00,-22.0,2,fade_mean_reached,1,0,-545.0
1775652600,CHAIN_EXIT,FADE_CALM,?,25199.25,1.5,3,fade_p_center,1,0,-567.0
1775652780,CHAIN_EXIT,FADE_CALM,?,25218.00,-37.5,3,fade_mean_reached,1,0,-565.5
1775652840,CHAIN_ENTRY,RIDE_AGAINST,short,25214.00,0.0,0,,1,0,-603.0
1775652900,CHAIN_ENTRY,RIDE_AGAINST,short,25217.25,0.0,0,,1,0,-603.0
1775652960,CHAIN_ENTRY,RIDE_AGAINST,short,25215.75,0.0,0,,1,0,-603.0
1775653560,CHAIN_EXIT,FADE_CALM,?,25225.50,-15.0,13,fade_oscillation_center,1,0,-603.0
1775653560,CHAIN_EXIT,RIDE_AGAINST,?,25225.50,-23.0,12,chain_fade_oscillation_center,1,0,-603.0
1775653560,CHAIN_EXIT,RIDE_AGAINST,?,25225.50,-16.5,11,chain_fade_oscillation_center,1,0,-603.0
1775653560,CHAIN_EXIT,RIDE_AGAINST,?,25225.50,-19.5,10,chain_fade_oscillation_center,1,0,-603.0
1775653740,CHAIN_EXIT,FADE_CALM,?,25231.00,-11.0,3,fade_mean_reached,1,0,-677.0
1775653920,CHAIN_EXIT,FADE_CALM,?,25228.25,5.5,3,fade_mean_reached,1,0,-688.0
1775654040,CHAIN_ENTRY,RIDE_AGAINST,short,25229.50,0.0,0,,1,0,-682.5
1775654100,CHAIN_ENTRY,RIDE_AGAINST,short,25227.25,0.0,0,,1,0,-682.5
1775654160,CHAIN_ENTRY,RIDE_AGAINST,short,25220.50,0.0,0,,1,0,-682.5
1775655420,CHAIN_EXIT,FADE_CALM,?,25167.00,122.5,25,fade_oscillation_center,1,0,-682.5
1775655420,CHAIN_EXIT,RIDE_AGAINST,?,25167.00,125.0,23,chain_fade_oscillation_center,1,0,-682.5
1775655420,CHAIN_EXIT,RIDE_AGAINST,?,25167.00,120.5,22,chain_fade_oscillation_center,1,0,-682.5
1775655420,CHAIN_EXIT,RIDE_AGAINST,?,25167.00,107.0,21,chain_fade_oscillation_center,1,0,-682.5
1775655480,CHAIN_ENTRY,RIDE_AGAINST,short,25152.75,0.0,0,,1,0,-207.5
1775655540,CHAIN_ENTRY,RIDE_AGAINST,short,25148.25,0.0,0,,1,0,-207.5
1775655600,CHAIN_ENTRY,RIDE_AGAINST,short,25123.00,0.0,0,,1,0,-207.5
1775656380,CHAIN_EXIT,FADE_CALM,?,25095.50,143.0,16,fade_oscillation_center,1,0,-207.5
1775656380,CHAIN_EXIT,RIDE_AGAINST,?,25095.50,114.5,15,chain_fade_oscillation_center,1,0,-207.5
1775656380,CHAIN_EXIT,RIDE_AGAINST,?,25095.50,105.5,14,chain_fade_oscillation_center,1,0,-207.5
1775656380,CHAIN_EXIT,RIDE_AGAINST,?,25095.50,55.0,13,chain_fade_oscillation_center,1,0,-207.5
1775656560,CHAIN_EXIT,RIDE_AGAINST,?,25087.25,16.5,3,fade_p_center,1,0,210.5
1775656740,CHAIN_EXIT,RIDE_AGAINST,?,25084.00,6.5,3,fade_mean_reached,1,0,227.0
1775656860,CHAIN_ENTRY,FADE_CALM,short,25084.25,0.0,0,,1,0,233.5
1775656920,CHAIN_ENTRY,FADE_CALM,short,25084.25,0.0,0,,1,0,233.5
1775656980,CHAIN_ENTRY,FADE_CALM,short,25090.75,0.0,0,,1,0,233.5
1775657520,CHAIN_EXIT,RIDE_AGAINST,?,25083.75,0.5,13,fade_oscillation_center,1,0,233.5
1775657520,CHAIN_EXIT,FADE_CALM,?,25083.75,1.0,11,chain_fade_oscillation_center,1,0,233.5
1775657520,CHAIN_EXIT,FADE_CALM,?,25083.75,1.0,10,chain_fade_oscillation_center,1,0,233.5
1775657520,CHAIN_EXIT,FADE_CALM,?,25083.75,14.0,9,chain_fade_oscillation_center,1,0,233.5
1775657700,CHAIN_EXIT,FADE_CALM,?,25077.50,12.5,3,fade_oscillation_center,1,0,250.0
1775657820,CHAIN_EXIT,KILL_SHOT,?,25085.00,-15.0,2,kill_shot_center,1,0,262.5
1775657940,CHAIN_EXIT,KILL_SHOT,?,25067.25,35.5,2,kill_shot_center,1,0,247.5
1775658060,CHAIN_EXIT,KILL_SHOT,?,25069.50,4.5,2,kill_shot_center,1,0,283.0
1775658360,CHAIN_ENTRY,RIDE_AGAINST,short,25062.00,0.0,0,,1,0,287.5
1775658420,CHAIN_ENTRY,RIDE_AGAINST,short,25071.00,0.0,0,,1,0,287.5
1775658540,CHAIN_EXIT,FADE_CALM,?,25064.00,11.0,8,fade_oscillation_decay,1,0,287.5
1775658540,CHAIN_EXIT,RIDE_AGAINST,?,25064.00,-4.0,3,chain_fade_oscillation_decay,1,0,287.5
1775658540,CHAIN_EXIT,RIDE_AGAINST,?,25064.00,14.0,2,chain_fade_oscillation_decay,1,0,287.5
1775658780,CHAIN_ENTRY,FADE_CALM,short,25039.25,0.0,0,,1,0,308.5
1775658840,CHAIN_ENTRY,FADE_CALM,short,25050.00,0.0,0,,1,0,308.5
1775658900,CHAIN_EXIT,RIDE_AGAINST,?,25050.50,27.0,6,fade_oscillation_decay,1,0,308.5
1775658900,CHAIN_EXIT,FADE_CALM,?,25050.50,-22.5,2,chain_fade_oscillation_decay,1,0,308.5
1775658900,CHAIN_EXIT,FADE_CALM,?,25050.50,-1.0,1,chain_fade_oscillation_decay,1,0,308.5
1775659440,CHAIN_ENTRY,RIDE_AGAINST,short,25041.75,0.0,0,,1,0,312.0
1775659500,CHAIN_ENTRY,RIDE_AGAINST,short,25032.50,0.0,0,,1,0,312.0
1775659560,CHAIN_ENTRY,RIDE_AGAINST,short,25025.50,0.0,0,,1,0,312.0
1775660160,CHAIN_EXIT,FADE_CALM,?,24965.75,169.5,21,fade_oscillation_decay,1,0,312.0
1775660160,CHAIN_EXIT,RIDE_AGAINST,?,24965.75,152.0,12,chain_fade_oscillation_decay,1,0,312.0
1775660160,CHAIN_EXIT,RIDE_AGAINST,?,24965.75,133.5,11,chain_fade_oscillation_decay,1,0,312.0
1775660160,CHAIN_EXIT,RIDE_AGAINST,?,24965.75,119.5,10,chain_fade_oscillation_decay,1,0,312.0
1775660340,CHAIN_EXIT,FADE_CALM,?,24987.00,42.5,3,fade_oscillation_decay,1,0,886.5
