day,regime,total_pnl,n_trades,n_winners,pnl__FADE_AGAINST,pnl__FADE_MOMENTUM,pnl__NMP_FADE_RAW,pnl__NMP_RIDE_RAW,pnl__RIDE_AGAINST,pnl__RIDE_MOMENTUM,pnl__CASCADE,pnl__FADE_CALM,pnl__KILL_SHOT,pnl__RIDE_CALM,pnl__FREIGHT_TRAIN
2025_11_14,FLAT_CHOPPY,-689.5,211,57,19.5,-160.0,-271.5,,-78.5,,-104.0,9.5,-104.5,,
2025_04_15,DOWN_CHOPPY,-710.5,406,91,-33.5,-307.0,-364.0,,144.0,,-70.5,21.5,-101.0,,
2025_06_06,UP_CHOPPY,-747.0,399,85,-42.0,1.0,-79.5,-190.0,-278.5,,56.5,-78.5,-19.0,-117.0,
2025_12_11,FLAT_CHOPPY,-747.5,486,115,51.0,-91.5,-344.0,,-34.0,,14.0,-91.0,-252.0,,
2025_10_07,FLAT_CHOPPY,-750.5,759,172,60.0,-73.0,-175.5,,-35.0,,-121.5,-265.5,-140.0,,
2025_01_14,FLAT_CHOPPY,-752.0,439,120,-25.5,14.5,-109.0,-297.5,-235.0,,-11.5,-25.5,-39.0,-23.5,
2025_08_14,FLAT_CHOPPY,-766.5,700,173,,-127.0,-408.5,,,,-1.0,-125.0,-105.0,,
2025_10_22,FLAT_CHOPPY,-874.0,533,117,-16.0,-317.5,-397.5,-68.0,78.5,51.5,-29.5,-89.0,-86.5,,
2025_02_06,FLAT_SMOOTH,-903.5,556,114,,-95.5,-394.5,,,,-21.5,-134.0,-258.0,,
2025_01_30,FLAT_CHOPPY,-976.5,708,181,4.5,-345.5,-445.0,,-117.5,,-15.5,-57.5,0.0,,
2025_03_13,FLAT_CHOPPY,-990.0,513,142,31.0,-213.5,-618.5,-88.0,291.0,-49.0,-112.5,-97.5,-133.0,,
2025_10_10,DOWN_SMOOTH,-992.5,484,104,,-323.0,-167.0,,,,-3.0,-113.0,-386.5,,
2025_01_07,DOWN_SMOOTH,-1047.0,507,139,4.5,-391.0,-563.5,,65.0,,-30.0,-101.0,-31.0,,
2025_07_09,FLAT_CHOPPY,-1135.0,729,179,-9.0,19.5,-150.5,-302.0,-335.5,-302.0,-3.5,-37.5,-14.5,,
2025_05_07,FLAT_CHOPPY,-1736.0,712,181,52.0,-275.0,-479.0,-122.0,-629.0,,-123.0,-45.5,-114.5,,
