trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,exit_reason,chain_idx,entry_residual,day
45,20:18,1771877880,short,24695.5,24721.25,-51.5,18,21.0,RM_PIVOT_TPSL,INVERSE,0,2.4177258014678955,2026_02_23
0,00:34,1771893240,short,24780.75,24802.25,-43.0,13,9.0,RM_PIVOT_TPSL,INVERSE,0,1.726254940032959,2026_02_24
1,00:59,1771894740,long,24817.0,24810.25,-13.5,10,3.5,RM_PIVOT_TPSL,INVERSE,0,-2.1725854873657227,2026_02_24
2,01:19,1771895940,long,24810.0,24817.25,14.5,2,20.5,RM_PIVOT_TPSL,INVERSE,0,-2.1199440956115723,2026_02_24
3,01:26,1771896360,short,24817.75,24811.25,13.0,5,21.0,RM_PIVOT_TPSL,INVERSE,0,1.6074491739273071,2026_02_24
4,01:35,1771896900,long,24823.0,24823.5,1.0,0,1.0,RM_PIVOT_TPSL,INVERSE,0,-1.7852050065994263,2026_02_24
5,01:45,1771897500,short,24828.5,24822.0,13.0,2,13.0,RM_PIVOT_TPSL,INVERSE,0,1.654841661453247,2026_02_24
6,03:09,1771902540,long,24873.25,24878.75,11.0,9,11.0,RM_PIVOT_TPSL,INVERSE,0,-1.6006187200546265,2026_02_24
7,03:34,1771904047,long,24878.0,24874.0,-8.0,4,0.0,RM_PIVOT_TPSL,INVERSE,0,-1.8194390535354614,2026_02_24
8,03:40,1771904400,long,24876.75,24876.5,-0.5,0,0.0,RM_PIVOT_TPSL,INVERSE,0,-1.5938661098480225,2026_02_24
9,04:13,1771906388,short,24876.25,24876.25,0.0,0,0.0,RM_PIVOT_TPSL,INVERSE,0,1.6646925210952759,2026_02_24
10,04:45,1771908300,short,24871.75,24876.25,-9.0,8,3.0,RM_PIVOT_TPSL,INVERSE,0,2.233334541320801,2026_02_24
11,05:05,1771909500,long,24886.5,24885.25,-2.5,0,0.0,RM_PIVOT_TPSL,INVERSE,0,-2.0505549907684326,2026_02_24
12,06:13,1771913580,short,24839.0,24839.0,0.0,0,0.0,RM_PIVOT_TPSL,INVERSE,0,1.6384037733078003,2026_02_24
13,06:48,1771915680,long,24841.25,24839.5,-3.5,10,5.0,RM_PIVOT_TPSL,INVERSE,0,-1.601840615272522,2026_02_24
14,07:53,1771919580,short,24841.75,24834.0,15.5,6,17.0,RM_PIVOT_TPSL,INVERSE,0,2.2430269718170166,2026_02_24
15,08:19,1771921140,short,24780.0,24806.0,-52.0,14,2.5,RM_PIVOT_TPSL,INVERSE,0,1.7329249382019043,2026_02_24
16,08:38,1771922280,long,24793.75,24797.75,8.0,2,9.5,RM_PIVOT_TPSL,INVERSE,0,-1.923466682434082,2026_02_24
17,09:08,1771924080,long,24808.5,24839.0,61.0,7,61.0,RM_PIVOT_TPSL,INVERSE,0,-2.108325481414795,2026_02_24
18,10:22,1771928520,short,24839.75,24838.0,3.5,6,4.0,RM_PIVOT_TPSL,INVERSE,0,1.9658833742141724,2026_02_24
19,10:38,1771929480,short,24837.25,24830.75,13.0,10,20.0,RM_PIVOT_TPSL,INVERSE,0,2.552730083465576,2026_02_24
