concept,tf,regime_2d,shift_s,n,corr
price_sigma_w,15m,DOWN_CHOPPY,-8,2844,-0.1641465161781305
price_sigma_w,15m,DOWN_CHOPPY,-4,2844,-0.0831897666168473
price_sigma_w,15m,DOWN_CHOPPY,-2,2844,-0.057914760452057415
price_sigma_w,15m,DOWN_CHOPPY,-1,2844,-0.049885350097247275
price_sigma_w,15m,DOWN_CHOPPY,0,2844,-0.045732705117727056
price_sigma_w,15m,DOWN_CHOPPY,1,2844,-0.03878697020090358
price_sigma_w,15m,DOWN_CHOPPY,2,2844,-0.03285056087038538
price_sigma_w,15m,DOWN_CHOPPY,4,2844,-0.017989456592514896
price_sigma_w,15m,DOWN_CHOPPY,8,2844,0.009858071682642439
price_sigma_w,15m,DOWN_CHOPPY,12,2844,0.026806294376099278
price_sigma_w,15m,FLAT_SMOOTH,-12,9258,-0.04790843210491933
price_sigma_w,15m,FLAT_SMOOTH,-8,9254,-0.03165615427449202
price_sigma_w,15m,FLAT_SMOOTH,-4,9250,-0.02546599544834764
price_sigma_w,15m,FLAT_SMOOTH,-2,9248,-0.024902308435064073
price_sigma_w,15m,FLAT_SMOOTH,-1,9247,-0.02574922670449104
price_sigma_w,15m,FLAT_SMOOTH,0,9246,-0.025948502718423187
price_sigma_w,15m,FLAT_SMOOTH,1,9246,-0.026045377944718548
price_sigma_w,15m,FLAT_SMOOTH,2,9246,-0.02452877418276582
price_sigma_w,15m,FLAT_SMOOTH,4,9246,-0.018839344056609267
price_sigma_w,15m,FLAT_SMOOTH,8,9246,-0.0030257267645001397
price_sigma_w,15m,FLAT_SMOOTH,12,9246,0.008954651006431169
price_sigma_w,15m,FLAT_CHOPPY,-12,17463,-0.08670345643552345
price_sigma_w,15m,FLAT_CHOPPY,-8,17463,-0.03010002128618934
price_sigma_w,15m,FLAT_CHOPPY,-4,17463,0.014904633904716297
price_sigma_w,15m,FLAT_CHOPPY,-2,17463,0.028326565724619283
price_sigma_w,15m,FLAT_CHOPPY,-1,17463,0.03192544295899863
price_sigma_w,15m,FLAT_CHOPPY,0,17463,0.03302176569594968
price_sigma_w,15m,FLAT_CHOPPY,1,17462,0.033780285573645714
price_sigma_w,15m,FLAT_CHOPPY,2,17461,0.03431395723381398
price_sigma_w,15m,FLAT_CHOPPY,4,17459,0.032329140695833126
price_sigma_w,15m,FLAT_CHOPPY,8,17455,0.021177918119380724
price_sigma_w,15m,FLAT_CHOPPY,12,17451,0.006570469450755453
price_sigma_w,1h,UP_SMOOTH,-12,6738,0.04634738551919424
price_sigma_w,1h,UP_SMOOTH,-8,6738,0.008210615105148972
price_sigma_w,1h,UP_SMOOTH,-4,6738,-0.009057294971021227
price_sigma_w,1h,UP_SMOOTH,-2,6738,-0.014160583140553103
price_sigma_w,1h,UP_SMOOTH,-1,6738,-0.015688100872561374
price_sigma_w,1h,UP_SMOOTH,0,6738,-0.01597381639062275
price_sigma_w,1h,UP_SMOOTH,1,6738,-0.016819177114260588
price_sigma_w,1h,UP_SMOOTH,2,6738,-0.018015652195553192
price_sigma_w,1h,UP_SMOOTH,4,6738,-0.021438894329563755
price_sigma_w,1h,UP_SMOOTH,8,6738,-0.02587715357212649
price_sigma_w,1h,UP_SMOOTH,12,6738,-0.03458888633104332
price_sigma_w,1h,UP_CHOPPY,-12,3744,0.11763297203032384
price_sigma_w,1h,UP_CHOPPY,-8,3744,0.11095603434822439
price_sigma_w,1h,UP_CHOPPY,-4,3744,0.11346059164266603
price_sigma_w,1h,UP_CHOPPY,-2,3744,0.1168357176418604
price_sigma_w,1h,UP_CHOPPY,-1,3744,0.12031430348619364
price_sigma_w,1h,UP_CHOPPY,0,3744,0.1244884262301099
price_sigma_w,1h,UP_CHOPPY,1,3744,0.12181449971904464
price_sigma_w,1h,UP_CHOPPY,2,3744,0.1217674421462234
price_sigma_w,1h,UP_CHOPPY,4,3744,0.12099554433206411
price_sigma_w,1h,UP_CHOPPY,8,3744,0.10472345389586273
price_sigma_w,1h,UP_CHOPPY,12,3744,0.08837054391679729
price_sigma_w,1h,DOWN_SMOOTH,-12,4362,-0.03868286404346435
price_sigma_w,1h,DOWN_SMOOTH,-8,4362,-0.01117080419895201
price_sigma_w,1h,DOWN_SMOOTH,-4,4362,0.0022940088939564095
price_sigma_w,1h,DOWN_SMOOTH,-2,4362,0.005007184415887017
price_sigma_w,1h,DOWN_SMOOTH,-1,4362,0.004910055260336808
price_sigma_w,1h,DOWN_SMOOTH,0,4362,0.004371343147624114
price_sigma_w,1h,DOWN_SMOOTH,1,4362,0.009022483263669874
price_sigma_w,1h,DOWN_SMOOTH,2,4362,0.011838562355794755
price_sigma_w,1h,DOWN_SMOOTH,4,4362,0.01670992080673041
price_sigma_w,1h,DOWN_SMOOTH,8,4362,0.03201663109222889
price_sigma_w,1h,DOWN_SMOOTH,12,4362,0.044480939963145484
price_sigma_w,1h,DOWN_CHOPPY,-12,2844,0.028256911365893967
price_sigma_w,1h,DOWN_CHOPPY,-8,2844,0.06234522535356711
price_sigma_w,1h,DOWN_CHOPPY,-4,2844,0.07399347714917069
price_sigma_w,1h,DOWN_CHOPPY,-2,2844,0.07105109447548782
price_sigma_w,1h,DOWN_CHOPPY,-1,2844,0.06832137167390455
price_sigma_w,1h,DOWN_CHOPPY,0,2844,0.06354766581641205
price_sigma_w,1h,DOWN_CHOPPY,1,2844,0.05734769049203945
price_sigma_w,1h,DOWN_CHOPPY,2,2844,0.05239071576852993
price_sigma_w,1h,DOWN_CHOPPY,4,2844,0.03629383286233599
price_sigma_w,1h,DOWN_CHOPPY,8,2844,0.016419426429134923
price_sigma_w,1h,DOWN_CHOPPY,12,2844,0.005330201474148312
price_sigma_w,1h,FLAT_SMOOTH,-12,9162,0.020868921082178325
price_sigma_w,1h,FLAT_SMOOTH,-8,9158,0.02814171966473497
price_sigma_w,1h,FLAT_SMOOTH,-4,9154,0.03154936473909528
price_sigma_w,1h,FLAT_SMOOTH,-2,9152,0.03285608977687292
price_sigma_w,1h,FLAT_SMOOTH,-1,9151,0.03349501838116457
price_sigma_w,1h,FLAT_SMOOTH,0,9150,0.03402569476836136
price_sigma_w,1h,FLAT_SMOOTH,1,9150,0.033629037393779544
price_sigma_w,1h,FLAT_SMOOTH,2,9150,0.03311049230447612
price_sigma_w,1h,FLAT_SMOOTH,4,9150,0.032514780573224294
price_sigma_w,1h,FLAT_SMOOTH,8,9150,0.031989395830443815
price_sigma_w,1h,FLAT_SMOOTH,12,9150,0.032600905902589454
price_sigma_w,1h,FLAT_CHOPPY,-12,17463,-0.008543606027033428
price_sigma_w,1h,FLAT_CHOPPY,-8,17463,0.00355190963742251
price_sigma_w,1h,FLAT_CHOPPY,-4,17463,0.008136218050950399
price_sigma_w,1h,FLAT_CHOPPY,-2,17463,0.007433225835853483
price_sigma_w,1h,FLAT_CHOPPY,-1,17463,0.0069968228781858
price_sigma_w,1h,FLAT_CHOPPY,0,17463,0.0061590757362163665
price_sigma_w,1h,FLAT_CHOPPY,1,17462,0.006334282602954988
price_sigma_w,1h,FLAT_CHOPPY,2,17461,0.007061840867083003
price_sigma_w,1h,FLAT_CHOPPY,4,17459,0.008202621324119185
price_sigma_w,1h,FLAT_CHOPPY,8,17455,0.007696259751293701
price_sigma_w,1h,FLAT_CHOPPY,12,17451,0.005373742184843097
bar_range,5s,UP_SMOOTH,-12,6738,0.43532407391091177
bar_range,5s,UP_SMOOTH,-8,6738,0.4058227319703792
bar_range,5s,UP_SMOOTH,-4,6738,0.32762174198012833
bar_range,5s,UP_SMOOTH,-2,6738,0.2663195355210585
bar_range,5s,UP_SMOOTH,-1,6738,0.2523035615640284
bar_range,5s,UP_SMOOTH,0,6738,0.2317059901478299
bar_range,5s,UP_SMOOTH,1,6738,0.22687766531815182
bar_range,5s,UP_SMOOTH,2,6738,0.20836354417743078
bar_range,5s,UP_SMOOTH,4,6738,0.19325772287358706
bar_range,5s,UP_SMOOTH,8,6738,0.18814957938694515
bar_range,5s,UP_SMOOTH,12,6738,0.18934624216373755
bar_range,5s,UP_CHOPPY,-12,3744,0.23486355499008202
bar_range,5s,UP_CHOPPY,-8,3744,0.2986515542639428
bar_range,5s,UP_CHOPPY,-4,3744,0.17246523336213382
bar_range,5s,UP_CHOPPY,-2,3744,0.12303097327096968
bar_range,5s,UP_CHOPPY,-1,3744,0.1198970326312478
bar_range,5s,UP_CHOPPY,0,3744,0.12042583892626926
bar_range,5s,UP_CHOPPY,1,3744,0.12824945004513202
bar_range,5s,UP_CHOPPY,2,3744,0.14884888932080215
bar_range,5s,UP_CHOPPY,4,3744,0.10788408723328465
bar_range,5s,UP_CHOPPY,8,3744,0.0832135541148346
bar_range,5s,UP_CHOPPY,12,3744,0.1409632374679099
bar_range,5s,DOWN_SMOOTH,-12,4362,-0.2927766419580295
bar_range,5s,DOWN_SMOOTH,-8,4362,-0.2610029682906659
bar_range,5s,DOWN_SMOOTH,-4,4362,-0.20059595698240545
bar_range,5s,DOWN_SMOOTH,-2,4362,-0.14611213956157987
bar_range,5s,DOWN_SMOOTH,-1,4362,-0.09996723048880993
bar_range,5s,DOWN_SMOOTH,0,4362,-0.11048465603822934
bar_range,5s,DOWN_SMOOTH,1,4362,-0.0858811433535871
bar_range,5s,DOWN_SMOOTH,2,4362,-0.08151352687096097
bar_range,5s,DOWN_SMOOTH,4,4362,-0.06857445580865622
bar_range,5s,DOWN_SMOOTH,8,4362,-0.02372861908111779
bar_range,5s,DOWN_SMOOTH,12,4362,-0.016621023973759155
bar_range,5s,DOWN_CHOPPY,-12,2844,-0.20613655968039096
bar_range,5s,DOWN_CHOPPY,-8,2844,-0.18450023221807066
bar_range,5s,DOWN_CHOPPY,-4,2844,-0.15337247195570256
bar_range,5s,DOWN_CHOPPY,-2,2844,-0.12149393594308748
bar_range,5s,DOWN_CHOPPY,-1,2844,-0.10279298489956042
bar_range,5s,DOWN_CHOPPY,0,2844,-0.09971390889541383
bar_range,5s,DOWN_CHOPPY,1,2844,-0.11761048777339353
bar_range,5s,DOWN_CHOPPY,2,2844,-0.12521293525125465
bar_range,5s,DOWN_CHOPPY,4,2844,-0.11748538657234643
bar_range,5s,DOWN_CHOPPY,8,2844,-0.09800064842307421
bar_range,5s,DOWN_CHOPPY,12,2844,-0.08938481482904338
bar_range,5s,FLAT_SMOOTH,-12,9282,-0.11491240155479683
bar_range,5s,FLAT_SMOOTH,-8,9282,-0.07762620449329286
bar_range,5s,FLAT_SMOOTH,-4,9282,-0.05591796428025817
