pair,UP_SMOOTH,UP_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY
price_velocity_w__vol_velocity_w,0.08141653331886785,0.042204886281787105,-0.21571282320703045,-0.14821495239425123,-0.08329848100314446,-0.06561195142306084
price_velocity_w__vwap_w,-0.07763430223847169,-0.06562603143739963,0.07657638419556845,0.030824922901569025,0.016237507975008017,0.01769357551402708
price_velocity_w__z_high_w,-0.018310794236891813,-0.01380945270437291,-0.0026210132142409593,-0.01340837145398336,-0.017303810207438975,-0.010023861410855194
price_velocity_w__z_low_w,-0.017981828852849383,-0.016731638039854838,-0.011196288318949721,0.008755857546530264,-0.016767056060090123,-0.011560387609631725
price_velocity_w__z_se_w,-0.021070964466964954,-0.024662840530703035,-0.011173035908947406,-0.00513463007244042,-0.02508117574239304,-0.01975974466230371
reversion_prob_w__swing_noise_w,-0.019367276174755838,-0.006284348543189727,0.0039380153312435955,-0.017455068154114576,0.005489121852779274,-0.009844490076532583
vol_accel_1b__SE_high_w,-0.03609313030056298,0.04312883434542879,-0.00398404514164693,-0.01239097236459327,-0.0030869022964288375,0.017281477845618964
vol_accel_1b__SE_low_w,-0.047544960220027396,0.04212826367169481,6.003989355404633e-05,0.0012702484484344442,-0.005745194955060408,0.019225234675776578
vol_accel_1b__bar_range,0.08673342430189684,0.17740081954870007,0.11950781853655137,0.1588362933947973,0.12231977725481209,0.1524115255601425
vol_accel_1b__body,0.012711249213261945,-0.030558540019849305,-0.06834175120855655,-0.040122287536951344,-0.04307557778914183,-0.023875147603600343
vol_accel_1b__hurst_w,0.004942754456448623,-0.01925666855428423,-0.01938941863844802,0.02602593173355194,-0.005045034362712754,-6.782400104705383e-05
vol_accel_1b__price_accel_w,0.0004832237647079649,-0.023542929879162334,-0.08211290136761622,-0.031238091908526215,-0.012895224731843888,-0.022910459733442357
vol_accel_1b__price_mean_w,0.002189072460589251,-0.022015407668549442,-0.012278239374070224,-0.01598369139258074,0.0038259489722129243,-0.002638725353521325
vol_accel_1b__price_sigma_w,-0.05305542451348662,0.04902972792949078,0.005518388867964021,-0.0016473031055047067,-0.006899109140382444,0.017934074952735062
vol_accel_1b__price_velocity_w,-0.06616195993069789,0.02650884333548672,-0.0004584481230528667,-0.07015802070496914,0.010514278110024085,0.008893269135417593
vol_accel_1b__reversion_prob_w,-0.11559313873961717,-0.1538297907542205,-0.08381271928643436,-0.1475402661274641,-0.10381401900687998,-0.11637312655254596
