**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,vol_feature,var_feature,corner,n,dominant_regime,dominant_pct,mean_fwd,win_rate
15m,L2_15m_vol_accel_w,L2_15m_price_sigma_w,LOW_VOL_HIGH_VAR,7255,FLAT_CHOPPY,0.44176430048242593,0.5856995175740869,0.5339765678842178
15m,L2_15m_vol_accel_w,L2_15m_price_sigma_w,HIGH_VOL_LOW_VAR,4174,FLAT_CHOPPY,0.3497843794920939,0.8540368950646862,0.5270723526593196
15m,L2_15m_vol_accel_w,L2_15m_price_sigma_w,HIGH_VOL_HIGH_VAR,5864,FLAT_CHOPPY,0.4232605729877217,2.007332878581173,0.5172237380627558
15m,L2_15m_vol_accel_w,L3_15m_swing_noise_w,LOW_VOL_LOW_VAR,3449,FLAT_CHOPPY,0.33371991881704843,-0.37387648593795303,0.5189910118875036
15m,L2_15m_vol_accel_w,L3_15m_swing_noise_w,LOW_VOL_HIGH_VAR,6696,FLAT_CHOPPY,0.4392174432497013,0.614247311827957,0.5294205495818399
15m,L2_15m_vol_accel_w,L3_15m_swing_noise_w,HIGH_VOL_LOW_VAR,3835,FLAT_CHOPPY,0.3288135593220339,-0.7776401564537158,0.5342894393741852
15m,L2_15m_vol_accel_w,L3_15m_swing_noise_w,HIGH_VOL_HIGH_VAR,6387,FLAT_CHOPPY,0.4279004227336778,2.3767418193204946,0.5163613590104901
1h,L1_1h_vol_velocity_1b,L1_1h_bar_range,LOW_VOL_LOW_VAR,4698,FLAT_CHOPPY,0.340144742443593,-0.28868667518092805,0.5042571306939123
1h,L1_1h_vol_velocity_1b,L1_1h_bar_range,LOW_VOL_HIGH_VAR,5160,FLAT_CHOPPY,0.4441860465116279,2.3001453488372094,0.5170542635658915
1h,L1_1h_vol_velocity_1b,L1_1h_bar_range,HIGH_VOL_LOW_VAR,1752,FLAT_CHOPPY,0.3493150684931507,4.340753424657534,0.531392694063927
1h,L1_1h_vol_velocity_1b,L1_1h_bar_range,HIGH_VOL_HIGH_VAR,8979,FLAT_CHOPPY,0.4345695511749638,2.917056465085199,0.5375877046441697
1h,L1_1h_vol_velocity_1b,L2_1h_price_sigma_w,LOW_VOL_LOW_VAR,3338,FLAT_SMOOTH,0.35230677052127024,-5.278010784901139,0.49610545236668663
1h,L1_1h_vol_velocity_1b,L2_1h_price_sigma_w,LOW_VOL_HIGH_VAR,7176,FLAT_CHOPPY,0.3828037904124861,4.001916109253066,0.5250836120401338
1h,L1_1h_vol_velocity_1b,L2_1h_price_sigma_w,HIGH_VOL_LOW_VAR,5643,FLAT_CHOPPY,0.3593833067517278,1.8345738082580187,0.5470494417862839
1h,L1_1h_vol_velocity_1b,L2_1h_price_sigma_w,HIGH_VOL_HIGH_VAR,4807,FLAT_CHOPPY,0.3975452465154982,2.4182442271687123,0.5161223216143125
