1m_z_se,1m_variance_ratio,1m_velocity,1m_p_at_center,1m_reversion_prob,1m_bar_range,1m_wick_ratio,5m_z_se,5m_velocity,5m_wick_ratio,15m_z_se,15m_velocity,1h_z_se,bars_held,pnl,actual_pnl,pattern
-0.47887733578681946,0.5357679128646851,2.0,0.7119477987289429,0.985933780670166,42.0,0.9285714030265808,-2.1520273685455322,-18.5,0.21739129722118378,-0.48009195923805237,-16.5,0.8707958459854126,102,183.5,27.0,BASE_NMP.0
0.9234811663627625,0.633248507976532,-7.75,0.5320728421211243,0.9696711897850037,79.0,0.607594907283783,1.7671120166778564,8.25,0.7843137383460999,1.6961685419082642,102.75,1.9230749607086182,56,146.0,67.0,BASE_NMP.0
-2.1648192405700684,0.38706743717193604,-14.75,0.0886838436126709,0.8254226446151733,90.0,0.35555556416511536,-1.1551560163497925,-18.25,0.6269429922103882,0.1122971698641777,13.0,1.9230749607086182,8,142.0,-33.5,BASE_NMP.0
-2.5661773681640625,0.7499884963035583,-36.75,0.04179081693291664,0.6309341192245483,185.0,0.21621622145175934,0.4769127666950226,30.0,0.7053139805793762,-1.3738985061645508,-26.0,1.510816216468811,3,133.5,27.5,BASE_NMP.0
2.4262115955352783,0.3734630346298218,4.75,0.05455304682254791,0.7206199169158936,30.0,0.4000000059604645,0.8207415342330933,6.75,0.6571428775787354,-1.28602135181427,2.0,0.7839372754096985,13,60.5,3.5,BASE_NMP.0
-1.1812517642974854,0.49620795249938965,4.0,0.40821850299835205,0.9569258093833923,22.0,0.4545454680919647,1.0686755180358887,-8.75,0.36538460850715637,-0.873589277267456,-15.5,0.5858134031295776,11,61.5,11.0,BASE_NMP.0
2.592658042907715,0.6217623949050903,22.5,0.039720866829156876,0.610094428062439,288.0,0.6805555820465088,-0.6036678552627563,36.0,0.5548780560493469,-0.7286561131477356,-65.25,-1.0342046022415161,186,865.0,34.0,BASE_NMP.0
0.3250159025192261,0.4559984803199768,21.0,0.7519376873970032,0.990652322769165,114.0,0.2631579041481018,1.3652955293655396,-5.0,0.8850574493408203,-0.7146037817001343,-9.25,-1.477908968925476,89,348.5,78.0,BASE_NMP.0
-0.48663395643234253,0.733527660369873,-0.25,0.7095663547515869,0.9856875538825989,60.0,0.9666666388511658,0.09721369296312332,-0.5,0.9837837815284729,-0.9419536590576172,-66.0,-1.477908968925476,61,283.5,65.0,BASE_NMP.0
1.5273869037628174,1.093355417251587,16.75,0.25788456201553345,0.9321065545082092,168.0,0.5833333134651184,2.2481749057769775,4.75,0.9306122660636902,0.622438371181488,-11.0,-1.575264811515808,128,330.5,207.0,BASE_NMP.0
2.1073532104492188,0.13376164436340332,4.75,0.0984182134270668,0.8413321375846863,31.0,0.4193548262119293,-0.0422174446284771,10.25,0.36666667461395264,1.2392723560333252,0.0,1.2892634868621826,15,86.5,-10.5,BASE_NMP.0
0.7007171511650085,0.6945094466209412,-1.0,0.6317419409751892,0.9784542322158813,16.0,0.9375,0.1897495537996292,42.5,0.729411780834198,1.469744086265564,36.5,1.6241852045059204,44,94.5,18.0,BASE_NMP.0
-2.009981155395508,0.32798323035240173,-3.75,0.11708955466747284,0.8642790913581848,34.0,0.5,1.072148323059082,1.0,0.9680851101875305,-0.46663323044776917,20.75,-0.34344547986984253,20,44.0,-14.5,BASE_NMP.0
-0.9866304397583008,0.960099995136261,-12.0,0.5019003748893738,0.966854989528656,90.0,0.47777777910232544,-0.8981763124465942,-2.25,0.9224137663841248,0.45945635437965393,-43.75,-1.4546858072280884,350,736.5,108.5,BASE_NMP.0
-1.354340672492981,0.39304429292678833,1.25,0.3289119303226471,0.9459659457206726,84.0,0.9642857313156128,0.2061310112476349,2.25,0.9251700639724731,0.733590304851532,11.25,-1.591483473777771,266,483.5,98.5,BASE_NMP.0
2.165431261062622,0.40957605838775635,9.75,0.0885850265622139,0.8252424597740173,66.0,0.42424243688583374,-0.48526960611343384,36.5,0.04458598792552948,-1.453155279159546,-31.5,-0.02630719728767872,10,161.5,-8.5,BASE_NMP.0
0.22327759861946106,0.42372995615005493,18.75,0.7703510522842407,0.9936384558677673,79.0,0.025316456332802773,0.8070130944252014,10.75,0.7839195728302002,0.23960132896900177,1.25,0.7125680446624756,50,198.5,4.5,BASE_NMP.0
1.4613162279129028,0.9234952330589294,9.0,0.2838341295719147,0.9378117918968201,94.0,0.6063829660415649,2.199877977371216,55.0,0.30063292384147644,0.3296881318092346,20.75,-1.283453345298767,68,271.0,-129.5,BASE_NMP.0
-1.5650924444198608,1.7003161907196045,6.5,0.24377495050430298,0.9285848140716553,70.0,0.6285714507102966,-1.155164122581482,-56.25,0.4120734930038452,-0.025264009833335876,-36.25,-1.283453345298767,56,294.5,61.5,BASE_NMP.0
1.434653401374817,0.14921538531780243,0.5,0.2947300374507904,0.9399611949920654,18.0,0.7777777910232544,-0.03974834457039833,3.0,0.6585366129875183,0.03781505301594734,3.5,0.22497671842575073,73,165.5,-25.0,BASE_NMP.0
-2.3784759044647217,0.310091108083725,-6.0,0.05969110131263733,0.7447986602783203,35.0,0.3142857253551483,-0.33081892132759094,-15.5,0.4000000059604645,0.3314199447631836,-2.5,1.0140891075134277,13,36.5,3.0,BASE_NMP.0
-2.207979679107666,0.21614894270896912,-2.25,0.08195279538631439,0.8121053576469421,18.0,0.3888888955116272,0.15491710603237152,1.5,0.8333333134651184,-0.07381770759820938,-0.5,-0.8300912976264954,1,23.0,9.0,BASE_NMP.0
2.391468048095703,0.3004170358181,7.0,0.058249421417713165,0.7384896874427795,29.0,0.1034482792019844,0.6906898617744446,2.25,0.7878788113594055,0.04912072420120239,-6.5,-0.8300912976264954,4,27.0,16.5,BASE_NMP.0
1.4124085903167725,0.3728034198284149,1.0,0.30399835109710693,0.941692590713501,15.0,0.7333333492279053,-1.2927151918411255,-3.0,0.807692289352417,-3.0468192100524902,-24.25,-0.1472274214029312,307,831.0,112.5,BASE_NMP.0
1.936977505683899,0.3831309676170349,4.75,0.13303497433662415,0.8787541389465332,26.0,0.23076923191547394,-0.10914938896894455,11.0,0.4266666769981384,-0.5943582653999329,-19.0,-0.9142536520957947,158,686.0,-1.5,BASE_NMP.0
1.4669841527938843,0.4242762327194214,-2.0,0.2815485894680023,0.9373440146446228,43.0,0.9767441749572754,0.7504268288612366,29.25,0.3921568691730499,0.1626358926296234,38.5,0.2599039673805237,30,186.0,50.0,BASE_NMP.0
1.2714598178863525,0.953757107257843,-6.0,0.36607688665390015,0.9515146613121033,60.0,0.5666666626930237,0.7504268288612366,29.25,0.3921568691730499,0.1626358926296234,38.5,0.2599039673805237,25,136.0,35.5,BASE_NMP.0
1.3498809337615967,1.712581753730774,-1.5,0.33086612820625305,0.946280300617218,74.0,0.9459459185600281,2.8114027976989746,28.75,0.3583815097808838,1.653821349143982,95.75,-0.31615349650382996,48,528.5,283.0,BASE_NMP.0
0.10591889172792435,0.3296471834182739,-4.5,0.7832285761833191,0.9970016479492188,32.0,0.46875,-1.1806285381317139,11.25,0.6842105388641357,-0.09148479998111725,-17.5,0.5091972947120667,179,499.5,92.0,BASE_NMP.0
-1.8411402702331543,0.7561848163604736,-6.25,0.15671004354953766,0.8949085474014282,54.0,0.37037035822868347,-0.4652238190174103,-48.75,0.10822510719299316,1.3109642267227173,-19.25,0.37818294763565063,44,131.5,21.0,BASE_NMP.0
-0.7976127862930298,0.8612566590309143,3.0,0.5901160836219788,0.9748272895812988,56.0,0.5892857313156128,-3.080113410949707,-53.5,0.15079365670681,-2.8989434242248535,-94.5,-2.279379367828369,33,183.0,4.0,BASE_NMP.0
2.280601978302002,0.0828886479139328,9.25,0.07167012989521027,0.7866089344024658,58.0,0.0,0.09752433001995087,11.5,0.4842105209827423,-1.5290718078613281,1.75,-2.10745906829834,3,95.0,51.0,BASE_NMP.0
-0.16360147297382355,0.18891821801662445,1.0,0.7780348062515259,0.9953567385673523,67.0,0.9104477763175964,-0.5005140900611877,4.5,0.8425925970077515,1.2750791311264038,8.5,1.9721343517303467,166,341.0,5.5,BASE_NMP.0
-1.093401551246643,0.7047375440597534,-22.5,0.45033183693885803,0.9616686701774597,109.0,0.2110091745853424,0.3665749132633209,-19.25,0.6060606241226196,-1.131899118423462,1.5,0.41177263855934143,40,347.5,68.0,BASE_NMP.0
-1.3622183799743652,0.11890900880098343,-1.75,0.3254737854003906,0.9454060792922974,8.0,0.375,-1.8101942539215088,-5.5,0.4878048896789551,1.242140769958496,-23.5,0.7001107931137085,46,165.0,11.0,BASE_NMP.0
1.0679938793182373,0.1652652621269226,-7.75,0.46260860562324524,0.9629560708999634,35.0,0.11428571492433548,-1.7304786443710327,-1.5,0.8536585569381714,0.987616240978241,-0.75,0.7001107931137085,26,201.0,-5.5,BASE_NMP.0
2.169912815093994,0.5712845921516418,5.0,0.08786427974700928,0.8239155411720276,35.0,0.4285714328289032,0.41803112626075745,3.75,0.7846153974533081,-1.2981529235839844,-11.5,0.6583918333053589,3,21.0,-9.0,BASE_NMP.0
1.4483845233917236,0.07358542084693909,21.5,0.2890892028808594,0.9388646483421326,159.0,0.44025155901908875,0.8128907084465027,41.25,0.4622950851917267,-1.50192391872406,-3.25,-2.6362998485565186,24,162.5,-25.0,BASE_NMP.0
-1.3681457042694092,0.8981544971466064,-3.5,0.3228985369205475,0.944980800151825,144.0,0.9166666865348816,1.045621395111084,26.5,0.6447368264198303,-0.19890674948692322,-28.0,-2.0626182556152344,48,104.0,57.5,BASE_NMP.0
