trade_id,day,time,dir,pnl,exit,held,peak,strategy,strategy_id,half_life,equity_after,nn_p_profit,nn_expected_pnl,nn_confidence,nn_dir_conf,nn_dur_conf,entry_z_1m,entry_dmi_1m,entry_vr_1m,exit_z_1m,exit_dmi_1m,exit_vr_1m
33,2026_01_06,02:13,long,-4.5,max_hold,3,0.0,long_1,"('long', 1)",1.0,543.5,0.8677102839946748,9.681546611785889,0.30767622609090145,0.5194129347801208,0.1822531819343567,-1.7174741,1.8893139,0.33454463,-1.1918648,-2.8726656,0.42870012
34,2026_01_06,02:17,long,3.0,max_hold,3,3.5,long_1,"('long', 1)",1.0,546.5,0.8567898795008658,9.792919631004333,0.313399273494723,0.5398381948471069,0.18194174766540527,-1.1777056,-3.7777808,0.5029859,0.24517912,-2.5607493,0.28342682
35,2026_01_06,02:21,long,5.5,max_hold,3,6.0,long_1,"('long', 1)",1.0,552.0,0.8531192129850388,9.143659439086916,0.30796883282247156,0.5195851922035217,0.1825394630432129,0.040146284,-4.100101,0.2598963,1.5412337,0.48576078,0.3308332
36,2026_01_06,02:25,short,-11.0,max_hold,3,0.0,short_1,"('short', 1)",1.0,541.0,0.8109583054270063,9.89274548121861,0.311663791261712,0.5354056358337402,0.1814219206571579,2.03343,7.7343893,0.5301351,1.6968393,16.356783,1.0481639
37,2026_01_06,02:29,short,5.5,max_hold,3,6.0,short_1,"('short', 1)",1.0,546.5,0.8026869177818298,9.69273664301092,0.30933245859399877,0.5269097089767456,0.18159955739974976,1.5878525,17.850653,1.1127132,-0.47458497,9.574977,0.83068675
38,2026_01_06,02:33,long,1.0,max_hold,3,1.5,long_1,"('long', 1)",1.0,547.5,0.8517661452293397,9.2510524559021,0.2980063053832949,0.4857378900051117,0.18283061683177948,0.4895173,12.591056,0.7127435,-0.7276701,14.252599,0.33788013
39,2026_01_06,02:37,long,18.0,max_hold,3,18.5,long_1,"('long', 1)",1.0,565.5,0.8566190910339355,9.472130126953125,0.3117335342809799,0.5333476662635803,0.182203471660614,-2.734167,1.7654325,0.34687942,0.7143637,12.1662245,0.48851147
40,2026_01_06,02:41,short,0.5,max_hold,3,1.5,short_1,"('short', 1)",1.0,566.0,0.7868549660496089,7.479271756047788,0.307221965920089,0.5148362517356873,0.18333078920841217,1.1937517,15.047933,0.60773593,0.14933728,14.534431,0.62585753
41,2026_01_06,02:45,long,-0.5,envelope_decay,3,1.5,long_1,"('long', 1)",1.0,565.5,0.8540370991826058,8.930376958847045,0.30319248951410926,0.5034420490264893,0.18259437382221222,-0.3689123,11.244279,0.605096,-0.68572176,10.048326,0.24540098
42,2026_01_06,02:49,long,18.5,max_hold,3,19.0,long_1,"('long', 1)",1.0,584.0,0.8409683084487916,9.006893644332886,0.300365628412559,0.49358701705932617,0.18278339505195618,-0.71187764,7.8587394,0.11920779,1.5137074,25.615225,0.4480944
43,2026_01_06,02:53,short,1.5,max_hold,3,5.0,short_1,"('short', 1)",1.0,585.5,0.8031336545944213,8.676938247680663,0.30139228161198445,0.49921485781669617,0.1819603443145752,1.0887877,22.483149,0.5126891,-0.42744154,16.40705,0.48788357
44,2026_01_06,02:57,long,2.0,max_hold,3,2.5,long_1,"('long', 1)",1.0,587.5,0.8423404428362846,9.170669403076174,0.2960866487315264,0.48010918498039246,0.18259868025779724,-0.44070166,15.591089,0.44821373,-0.20504555,15.674143,0.11903022
45,2026_01_06,03:01,long,0.0,envelope_decay,3,3.5,long_1,"('long', 1)",1.0,587.5,0.8462616419792175,9.200450077056884,0.30192113991083774,0.4995436668395996,0.18247929215431213,-1.0932766,12.919866,0.107095405,-1.3633391,13.995512,0.098736696
46,2026_01_06,03:05,short,-0.5,max_hold,3,0.5,short_1,"('short', 1)",1.0,587.0,0.7965434246063232,7.392626731872558,0.3025758642260849,0.499521940946579,0.18327954411506653,-0.52066416,12.436448,0.08996667,-0.590734,11.667562,0.10848624
47,2026_01_06,03:09,short,1.5,max_hold,3,2.0,short_1,"('short', 1)",1.0,588.5,0.7852677322351015,6.836802820058969,0.2959661194010577,0.4772911071777344,0.18352729082107544,-1.1513242,8.339781,0.1074579,-1.5122442,8.972867,0.109999575
48,2026_01_06,03:13,long,11.5,max_hold,3,12.0,long_1,"('long', 1)",1.0,600.0,0.8280744969844818,8.313701547895159,0.2954755614045569,0.4767303466796875,0.18313457071781158,-1.5155399,6.6077576,0.12762558,2.044322,16.427006,0.18044782
49,2026_01_06,03:17,short,-1.0,max_hold,3,0.0,short_1,"('short', 1)",1.0,599.0,0.8012328008810679,8.063591872321235,0.31255606652472223,0.5332202315330505,0.18321003019809723,0.25605246,17.805143,0.18567419,0.05882217,16.175303,0.21376063
50,2026_01_06,03:21,short,4.0,max_hold,3,4.5,short_1,"('short', 1)",1.0,603.0,0.7863012841769627,7.127097334180559,0.2997025787713545,0.4895382523536682,0.183482363820076,-0.56590986,12.450231,0.21810982,-1.1345356,1.6687667,0.21059485
51,2026_01_06,03:25,long,-0.5,max_hold,3,0.0,long_1,"('long', 1)",1.0,602.5,0.8341267867521807,8.472804407639936,0.2966183406776961,0.480726420879364,0.18301977217197418,-0.4947049,2.9449954,0.22468203,-0.29850313,2.868176,0.17759225
52,2026_01_06,03:29,long,-1.0,max_hold,3,0.0,long_1,"('long', 1)",1.0,601.5,0.8278815974359927,8.58014382486758,0.29950437050503187,0.49053478240966797,0.18286749720573425,-0.38159782,-0.10697228,0.13419577,-0.02727571,-2.9341607,0.066862255
53,2026_01_06,03:33,long,-1.0,envelope_decay,3,5.0,long_1,"('long', 1)",1.0,600.5,0.8216441869735718,8.7688494682312,0.2991870268693444,0.4898878335952759,0.18272116780281067,-0.21284913,-1.2278148,0.070200235,0.035521977,-0.84430796,0.14099932
54,2026_01_06,03:37,short,-6.5,max_hold,3,0.0,short_1,"('short', 1)",1.0,594.0,0.8044859296288983,8.110735758419695,0.298471551317625,0.48816147446632385,0.18249139189720154,0.8506305,-0.7932836,0.15459795,2.225177,13.641131,0.3301804
55,2026_01_06,03:41,short,1.0,max_hold,3,4.0,short_1,"('short', 1)",1.0,595.0,0.7960352516174316,7.977746906280517,0.3085042770612792,0.5199198126792908,0.18305686116218567,0.24678454,8.635923,0.3291676,-0.34071708,2.9639966,0.367536
56,2026_01_06,03:45,short,2.0,max_hold,3,2.5,short_1,"('short', 1)",1.0,597.0,0.8115576822911539,9.117366218566893,0.31180209098335626,0.5341132283210754,0.1820223480463028,1.3346685,9.217285,0.4302514,-0.6852756,7.2378116,0.64550537
57,2026_01_06,03:49,short,5.5,max_hold,3,6.0,short_1,"('short', 1)",1.0,602.5,0.8059959352016448,7.928220081329345,0.3002750846397316,0.49334800243377686,0.18276171386241913,-1.4930769,0.14824821,0.8376088,-2.3021438,-13.044119,1.174373
58,2026_01_06,03:53,long,-2.0,envelope_decay,3,1.0,long_1,"('long', 1)",1.0,600.5,0.8194314408302306,9.16171630859375,0.31367842908613264,0.5407427549362183,0.18196111917495728,-1.5899175,-13.901459,1.3008469,-0.86729765,-9.258778,1.2604653
59,2026_01_06,03:57,long,2.0,max_hold,3,7.5,long_1,"('long', 1)",1.0,602.5,0.8050548805640293,8.22633543748122,0.3068540451085768,0.5149990916252136,0.18283411860466003,-0.29032955,-9.576494,0.9836878,0.30650452,-2.5364966,0.78350186
60,2026_01_06,04:01,long,9.0,max_hold,3,9.5,long_1,"('long', 1)",1.0,611.5,0.8102729366885291,8.288253137800428,0.2960469077796925,0.4790036976337433,0.18297097086906433,0.6121881,-2.385527,0.7585584,2.1831594,7.9574857,1.0087813
61,2026_01_06,04:05,short,6.0,max_hold,3,10.0,short_1,"('short', 1)",1.0,617.5,0.8642203190109946,22.265972917730156,0.3319583002463588,0.6339854598045349,0.17381520569324493,2.9180565,27.156506,1.6529856,0.72418207,15.281253,1.606377
62,2026_01_06,04:08,short,0.5,envelope_decay,2,5.0,short_1,"('short', 1)",1.0,618.0,0.8167684541029089,8.48318224514232,0.3031573404594009,0.5040696859359741,0.18232473731040955,0.9462188,17.474743,1.5901816,0.09378581,11.977932,1.224496
63,2026_01_06,04:12,short,-4.5,max_hold,3,0.0,short_1,"('short', 1)",1.0,613.5,0.8088215517997741,7.349288291931152,0.30185860550654553,0.4973827600479126,0.18319617211818695,0.0045802267,15.666291,0.90453404,-0.457304,16.412834,0.54255915
64,2026_01_06,04:16,short,-1.5,envelope_decay,3,2.0,short_1,"('short', 1)",1.0,612.0,0.8123139023780823,8.117150370279948,0.3019353900056783,0.4995065927505493,0.18251006305217743,-0.12083567,20.916353,0.59139675,-0.678117,15.534989,0.45784298
65,2026_01_06,04:20,short,3.5,max_hold,3,4.0,short_1,"('short', 1)",1.0,615.5,0.8134032727898777,9.10512050680212,0.3131965561181699,0.5384664535522461,0.1821693480014801,-0.54876477,19.880344,0.35808772,-1.564114,8.99684,0.23834841
66,2026_01_06,04:24,long,1.0,max_hold,3,1.5,long_1,"('long', 1)",1.0,616.5,0.8114177320684706,8.476842744009835,0.29641799659370577,0.47976288199424744,0.18313969671726227,-1.9880694,8.358374,0.2355092,-1.1084542,8.590083,0.25576177
67,2026_01_06,04:28,short,-2.5,max_hold,3,0.0,short_1,"('short', 1)",1.0,614.0,0.8090415844791813,8.023743403585334,0.29820508556952496,0.48652422428131104,0.1827787160873413,-0.641871,12.026149,0.2500075,-0.10684871,10.695673,0.19099945
68,2026_01_06,04:32,short,-2.5,max_hold,3,0.0,short_1,"('short', 1)",1.0,611.5,0.8248519998330336,10.639379237248347,0.3157728800051439,0.5505119562149048,0.18112687766551971,1.6329709,18.490229,0.26474968,0.78297204,24.457779,0.38125986
69,2026_01_06,04:36,long,-2.0,max_hold,3,0.0,long_1,"('long', 1)",1.0,609.5,0.8087396278463561,8.126812632330532,0.2986920523025284,0.48650696873664856,0.18338266015052795,-0.72606987,11.9453335,0.34132552,-0.30226114,1.0776384,0.40904987
70,2026_01_06,04:39,short,-0.5,envelope_decay,2,3.5,short_1,"('short', 1)",1.0,609.0,0.8156702244281768,9.929024200439452,0.3014185234093986,0.5003261566162109,0.1815878003835678,0.5007225,7.975535,0.40657234,0.23711461,8.273076,0.39713702
71,2026_01_06,04:43,long,-0.5,max_hold,3,0.0,long_1,"('long', 1)",1.0,608.5,0.8179122555255889,9.21146629333496,0.3017069638954583,0.49962317943573,0.18219149112701416,0.2522403,9.46165,0.35870343,0.21070781,5.1509852,0.31390485
72,2026_01_06,04:46,long,-3.0,envelope_decay,2,1.5,long_1,"('long', 1)",1.0,605.5,0.8068052403388485,8.644664709029659,0.30037816892691727,0.49395501613616943,0.1826624721288681,-0.050205845,8.644167,0.28527904,-0.44777822,3.8804283,0.10508162
73,2026_01_06,04:50,long,-1.0,envelope_decay,3,7.0,long_1,"('long', 1)",1.0,604.5,0.8018264889717102,8.669014263153075,0.3033973377403539,0.5042568445205688,0.1825457513332367,-0.34191477,3.1237357,0.115771376,-0.544624,8.272129,0.16189589
74,2026_01_06,04:54,short,-7.5,max_hold,3,0.0,short_1,"('short', 1)",1.0,597.0,0.8051931664711092,8.975472682859838,0.2982979643997739,0.4889254868030548,0.18199434876441956,-0.37000087,5.5834103,0.17177737,0.7630167,13.168686,0.25403577
75,2026_01_06,04:58,short,-13.0,hard_stop,3,0.0,short_1,"('short', 1)",1.0,584.0,0.8027253065790448,9.160149819510323,0.29813493570929306,0.4886988699436188,0.18187977373600006,0.15042396,12.545842,0.27497873,2.701411,21.432203,0.5485227
76,2026_01_06,05:02,short,-2.0,envelope_decay,3,1.5,short_1,"('short', 1)",1.0,582.0,0.8193248314912929,12.423903585034747,0.3209239994516178,0.5722580552101135,0.17997512221336365,1.7013438,20.761198,0.68943584,0.63036346,20.244865,0.64206946
77,2026_01_06,05:06,short,5.0,max_hold,3,6.5,short_1,"('short', 1)",1.0,587.0,0.771595710515976,6.754273319244384,0.30034625366106327,0.4907718896865845,0.18380814790725708,-1.0541631,10.076647,0.5687854,-1.638822,4.256985,0.58814573
78,2026_01_06,05:10,short,-3.0,max_hold,3,0.0,short_1,"('short', 1)",1.0,584.0,0.7865009458859761,7.515353558858235,0.296884768804734,0.482218861579895,0.18278124928474426,-1.4914321,3.4653406,0.67981446,-0.6607732,2.9271257,0.57868207
79,2026_01_06,05:14,short,-10.5,max_hold,3,0.0,short_1,"('short', 1)",1.0,573.5,0.8023790001869201,9.827733976944632,0.3133657917106462,0.5415588021278381,0.18132494390010834,0.5567262,10.054306,0.57339203,1.5953523,17.254345,0.8624618
80,2026_01_06,05:18,short,-4.5,max_hold,3,0.0,short_1,"('short', 1)",1.0,569.0,0.7924100693236005,9.090929644158546,0.30826243542431786,0.5230498909950256,0.1816762238740921,0.98781556,16.409956,0.86976,0.852276,14.760894,0.75958174
81,2026_01_06,05:22,short,-0.5,max_hold,3,0.0,short_1,"('short', 1)",1.0,568.5,0.7783573567867279,7.819858932495117,0.3072176537731104,0.5161703824996948,0.18285180628299713,0.07573966,12.826199,0.57466507,-0.869736,12.154054,0.18140966
82,2026_01_06,05:26,short,1.0,envelope_decay,3,7.0,short_1,"('short', 1)",1.0,569.5,0.776433719785846,7.870851333773866,0.3020902419773529,0.4997366964817047,0.18261319398880005,-0.84112877,11.311733,0.15189368,-0.91235226,7.5975156,0.23328541
83,2026_01_06,05:30,short,2.0,max_hold,3,4.5,short_1,"('short', 1)",1.0,571.5,0.7811379137039184,8.001378036499023,0.3038895246566634,0.5056229829788208,0.18264368176460266,-1.2892835,7.11573,0.23377465,-0.7972661,1.4806817,0.33488506
84,2026_01_06,05:34,short,3.5,max_hold,3,4.5,short_1,"('short', 1)",1.0,575.0,0.7900070337688221,8.647326026916502,0.30336919390336675,0.5056782960891724,0.1819988489151001,-0.33532947,7.002894,0.28800803,-0.57552093,-0.24719581,0.26318106
85,2026_01_06,05:38,short,0.5,max_hold,3,1.0,short_1,"('short', 1)",1.0,575.5,0.7898386180400848,8.068096195220948,0.29797781140068397,0.4871315062046051,0.18227270245552063,-0.9373085,2.3506994,0.32047936,-0.27937597,-1.3129827,0.28027683
86,2026_01_06,05:42,short,2.0,max_hold,3,2.5,short_1,"('short', 1)",1.0,577.5,0.8212199024434359,12.276632339477539,0.31258958786760344,0.5455111861228943,0.1791205257177353,2.5927043,3.7804222,0.3205951,0.9069658,4.401157,0.32294345
87,2026_01_06,05:46,short,11.0,max_hold,3,15.0,short_1,"('short', 1)",1.0,588.5,0.8036520395014021,8.923131549835205,0.3052950209624285,0.5130659937858582,0.1816628873348236,1.1580738,2.825444,0.3408078,-0.8330656,-15.624866,0.715921
88,2026_01_06,05:50,long,-5.0,envelope_decay,3,1.5,long_1,"('long', 1)",1.0,583.5,0.7996526728976856,8.70190891786055,0.30569073682564907,0.5126712322235107,0.18227437138557434,-1.0518725,-11.014088,0.799366,-0.9868095,-14.344648,0.85698247
89,2026_01_06,05:54,long,0.0,max_hold,3,0.5,long_1,"('long', 1)",1.0,583.5,0.8042455529465394,9.585186481475828,0.30554801023485867,0.5146026015281677,0.18142074346542358,-0.15158802,-13.622445,0.77759814,0.5973443,-11.996923,0.27383447
90,2026_01_06,05:58,long,0.5,max_hold,3,2.0,long_1,"('long', 1)",1.0,584.0,0.8017230543068476,9.75132500239781,0.2977252840366019,0.4884900450706482,0.18145783245563507,1.1866121,-5.623238,0.29467165,1.2954934,-4.0914874,0.32812095
91,2026_01_06,06:02,short,-2.0,max_hold,3,0.0,short_1,"('short', 1)",1.0,582.0,0.8141388375108892,10.00287870788574,0.3074312766043316,0.5230756998062134,0.18068893253803253,1.2973158,-1.2514096,0.34179145,0.47124606,-2.275865,0.50961894
