day,pnl,n_trades,n_winners,n_losers,n_trail,n_pivot,n_eod,n_long,n_short,sum_mfe_usd,avg_leg_min,best_trade,worst_trade,pivot_pnl,trail_pnl,pivot_share,trail_share,long_share,is_loss_day,split,dow
2026_01_07,89.5,11,8,3,9,2,0,7,4,419.5,21.33939393939394,70.5,-67.5,-132.0,221.5,0.18181818181818182,0.8181818181818182,0.6363636363636364,False,OOS,Wednesday
2026_01_08,436.0,24,16,8,19,5,0,9,15,1364.5,20.438194444444445,146.0,-78.0,-314.0,750.0,0.20833333333333334,0.7916666666666666,0.375,False,OOS,Thursday
2026_01_09,220.5,18,14,4,14,4,0,10,8,1033.5,23.258333333333333,99.0,-81.5,-252.5,473.0,0.2222222222222222,0.7777777777777778,0.5555555555555556,False,OOS,Friday
2026_01_12,-124.5,17,12,5,12,5,0,10,7,700.0,23.3921568627451,152.0,-128.5,-468.5,344.0,0.29411764705882354,0.7058823529411765,0.5882352941176471,True,OOS,Monday
2026_01_13,-332.5,26,16,10,16,10,0,15,11,1040.5,17.825641025641026,70.0,-229.5,-780.0,447.5,0.38461538461538464,0.6153846153846154,0.5769230769230769,True,OOS,Tuesday
2026_01_14,239.5,23,13,10,18,5,0,9,14,1317.5,16.45,140.5,-71.5,-330.5,570.0,0.21739130434782608,0.782608695652174,0.391304347826087,False,OOS,Wednesday
2026_01_15,-78.0,28,16,12,20,8,0,12,16,1304.0,15.226785714285713,99.0,-90.5,-544.0,466.0,0.2857142857142857,0.7142857142857143,0.42857142857142855,True,OOS,Thursday
2026_01_16,221.5,14,12,2,13,1,0,7,7,700.5,21.767857142857142,66.0,-74.5,-74.5,296.0,0.07142857142857142,0.9285714285714286,0.5,False,OOS,Friday
2026_01_19,308.5,22,17,5,18,4,0,12,10,1098.5,16.57348484848485,105.5,-67.0,-252.5,561.0,0.18181818181818182,0.8181818181818182,0.5454545454545454,False,OOS,Monday
2026_01_20,-842.5,50,21,29,29,21,0,21,29,2060.0,10.962333333333333,190.0,-131.5,-1534.5,692.0,0.42,0.58,0.42,True,OOS,Tuesday
2026_01_21,654.5,30,24,6,24,6,0,23,7,2027.0,16.41111111111111,347.5,-110.0,-408.5,1063.0,0.2,0.8,0.7666666666666667,False,OOS,Wednesday
2026_01_22,-117.0,22,12,10,14,8,0,8,14,1048.0,21.93712121212121,100.5,-81.0,-515.0,398.0,0.36363636363636365,0.6363636363636364,0.36363636363636365,True,OOS,Thursday
2026_01_23,249.0,18,12,6,13,5,0,12,6,1101.5,15.528703703703703,144.0,-71.5,-302.0,551.0,0.2777777777777778,0.7222222222222222,0.6666666666666666,False,OOS,Friday
2026_01_26,219.0,21,16,5,17,4,0,12,9,953.0,17.26984126984127,117.5,-79.5,-295.5,514.5,0.19047619047619047,0.8095238095238095,0.5714285714285714,False,OOS,Monday
2026_01_27,-41.5,11,7,4,7,4,0,5,6,435.5,37.06969696969697,62.5,-81.5,-237.0,195.5,0.36363636363636365,0.6363636363636364,0.45454545454545453,True,OOS,Tuesday
2026_01_28,-358.5,26,14,12,14,12,0,14,12,928.5,18.671153846153846,123.5,-89.5,-800.5,442.0,0.46153846153846156,0.5384615384615384,0.5384615384615384,True,OOS,Wednesday
2026_01_29,89.5,33,17,16,21,12,0,12,21,1835.0,13.037373737373738,235.0,-88.0,-785.0,874.5,0.36363636363636365,0.6363636363636364,0.36363636363636365,False,OOS,Thursday
