**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

close_time_utc,day,entry_time_utc,exit_time_utc,direction,entry_price,exit_price,qty,pnl_points,pnl_usd,held_minutes,entry_reason,exit_reason
2026-04-25T20:19:06.7205664Z,2026-03-16,2026-03-16 20:09:00,2026-03-16 20:25:00,long,24899.2500,24866.7500,0,-32.5000,0.00,16.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7215673Z,2026-03-16,2026-03-16 20:25:00,2026-03-16 20:56:00,short,24866.7500,24872.5000,0,-5.7500,0.00,31.00,FlipExitLong,EodExitShort
2026-04-25T20:19:06.7215673Z,2026-03-16,2026-03-16 20:56:00,2026-03-17 00:43:00,long,24872.5000,24826.2500,0,-46.2500,0.00,227.00,EodExitShort,FlipExitLong
2026-04-25T20:19:06.7215673Z,2026-03-17,2026-03-17 00:43:00,2026-03-17 01:14:00,short,24826.2500,24838.5000,0,-12.2500,0.00,31.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7225686Z,2026-03-17,2026-03-17 01:14:00,2026-03-17 01:47:00,long,24838.5000,24812.7500,0,-25.7500,0.00,33.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7225686Z,2026-03-17,2026-03-17 01:47:00,2026-03-17 04:20:00,short,24812.7500,24812.5000,0,0.2500,0.00,153.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7235693Z,2026-03-17,2026-03-17 04:20:00,2026-03-17 05:45:00,long,24812.5000,24821.2500,0,8.7500,0.00,85.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7235693Z,2026-03-17,2026-03-17 05:45:00,2026-03-17 06:23:00,short,24821.2500,24768.5000,0,52.7500,0.00,38.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7235693Z,2026-03-17,2026-03-17 06:23:00,2026-03-17 06:51:00,long,24768.5000,24742.7500,0,-25.7500,0.00,28.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7245703Z,2026-03-17,2026-03-17 06:51:00,2026-03-17 07:21:00,short,24742.7500,24784.2500,0,-41.5000,0.00,30.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7245703Z,2026-03-17,2026-03-17 07:21:00,2026-03-17 07:52:00,long,24784.2500,24772.0000,0,-12.2500,0.00,31.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7255713Z,2026-03-17,2026-03-17 07:52:00,2026-03-17 08:02:00,short,24772.0000,24800.0000,0,-28.0000,0.00,10.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7255713Z,2026-03-17,2026-03-17 08:02:00,2026-03-17 08:08:00,long,24800.0000,24773.2500,0,-26.7500,0.00,6.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7255713Z,2026-03-17,2026-03-17 08:08:00,2026-03-17 08:42:00,short,24773.2500,24788.7500,0,-15.5000,0.00,34.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7269161Z,2026-03-17,2026-03-17 08:42:00,2026-03-17 08:54:00,long,24788.7500,24759.2500,0,-29.5000,0.00,12.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7269161Z,2026-03-17,2026-03-17 08:54:00,2026-03-17 09:02:00,short,24759.2500,24781.5000,0,-22.2500,0.00,8.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7279226Z,2026-03-17,2026-03-17 09:02:00,2026-03-17 10:10:00,long,24781.5000,24818.0000,0,36.5000,0.00,68.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7279226Z,2026-03-17,2026-03-17 10:10:00,2026-03-17 10:38:00,short,24818.0000,24828.0000,0,-10.0000,0.00,28.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7279226Z,2026-03-17,2026-03-17 10:38:00,2026-03-17 11:55:00,long,24828.0000,24819.2500,0,-8.7500,0.00,77.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7290165Z,2026-03-17,2026-03-17 11:55:00,2026-03-17 12:06:00,short,24819.2500,24846.5000,0,-27.2500,0.00,11.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7290165Z,2026-03-17,2026-03-17 12:06:00,2026-03-17 13:59:00,long,24846.5000,25079.5000,0,233.0000,0.00,113.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7290165Z,2026-03-17,2026-03-17 13:59:00,2026-03-17 14:20:00,short,25079.5000,25035.5000,0,44.0000,0.00,21.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7300386Z,2026-03-17,2026-03-17 14:20:00,2026-03-17 14:40:00,long,25035.5000,25049.5000,0,14.0000,0.00,20.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7300386Z,2026-03-17,2026-03-17 14:40:00,2026-03-17 14:45:00,short,25049.5000,25083.7500,0,-34.2500,0.00,5.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7311552Z,2026-03-17,2026-03-17 14:45:00,2026-03-17 15:06:00,long,25083.7500,25057.0000,0,-26.7500,0.00,21.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7311552Z,2026-03-17,2026-03-17 15:06:00,2026-03-17 15:18:00,short,25057.0000,25052.2500,0,4.7500,0.00,12.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7311552Z,2026-03-17,2026-03-17 15:18:00,2026-03-17 15:23:00,long,25052.2500,25011.5000,0,-40.7500,0.00,5.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7321809Z,2026-03-17,2026-03-17 15:23:00,2026-03-17 15:28:00,short,25011.5000,25043.0000,0,-31.5000,0.00,5.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7321809Z,2026-03-17,2026-03-17 15:28:00,2026-03-17 15:31:00,long,25043.0000,25009.2500,0,-33.7500,0.00,3.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7331819Z,2026-03-17,2026-03-17 15:31:00,2026-03-17 15:46:00,short,25009.2500,24994.5000,0,14.7500,0.00,15.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7331819Z,2026-03-17,2026-03-17 15:46:00,2026-03-17 16:04:00,long,24994.5000,24973.7500,0,-20.7500,0.00,18.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7341826Z,2026-03-17,2026-03-17 16:04:00,2026-03-17 16:13:00,short,24973.7500,24997.0000,0,-23.2500,0.00,9.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7341826Z,2026-03-17,2026-03-17 16:13:00,2026-03-17 17:01:00,long,24997.0000,24995.2500,0,-1.7500,0.00,48.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7341826Z,2026-03-17,2026-03-17 17:01:00,2026-03-17 17:04:00,short,24995.2500,25029.2500,0,-34.0000,0.00,3.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7351836Z,2026-03-17,2026-03-17 17:04:00,2026-03-17 17:12:00,long,25029.2500,25003.5000,0,-25.7500,0.00,8.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7351836Z,2026-03-17,2026-03-17 17:12:00,2026-03-17 17:39:00,short,25003.5000,25034.2500,0,-30.7500,0.00,27.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7351836Z,2026-03-17,2026-03-17 17:39:00,2026-03-17 17:47:00,long,25034.2500,25003.2500,0,-31.0000,0.00,8.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7363679Z,2026-03-17,2026-03-17 17:47:00,2026-03-17 17:54:00,short,25003.2500,25033.7500,0,-30.5000,0.00,7.00,FlipExitLong,FlipExitShort
