day,confirm_ts,kind,direction,ext_price,alignment,dir_energy,sum_abs_z,entry_p,exit_p,mfe_pts,mae_pts,leg_pts,etd_pts,capture_pct,leg_minutes,15s_z_se,1m_z_se,5m_z_se,15m_z_se,1h_z_se,1D_z_se
2025_11_24,1763968260,low,1,24454.0,0,1.2540184557437897,5.793210152536631,24487.25,24487.5,38.25,20.25,0.25,38.0,0.6535947712418301,50.0,1.3513035774230957,2.5301640033721924,0.6043394804000854,-0.2584502398967743,-0.9955682158470154,0.05338463559746742
2025_11_24,1763971260,high,-1,24521.5,0,2.523499820381403,7.672309253364801,24487.5,24499.25,31.5,15.5,-11.75,43.25,-37.301587301587304,12.0,-2.235028028488159,-2.283888101577759,1.1294262409210205,1.340688943862915,-0.6298933029174805,0.05338463559746742
2025_11_24,1763971980,low,1,24458.75,0,2.097540497779846,7.317578170448542,24499.25,24518.25,64.0,6.25,19.0,45.0,29.6875,60.0,1.3545323610305786,2.4714317321777344,-1.4676471948623657,1.340688943862915,-0.6298933029174805,0.05338463559746742
2025_11_24,1763975580,high,-1,24560.25,0,1.3220929838716984,4.471552666276693,24518.25,24419.0,152.5,15.25,99.25,53.25,65.08196721311475,20.0,-0.07691194862127304,-1.410443902015686,-1.3517494201660156,1.268708348274231,-0.31035441160202026,0.05338463559746742
2025_11_24,1763976780,low,1,24371.5,2,6.5151068568229675,9.836773667484522,24419.0,24399.25,29.25,21.75,-19.75,49.0,-67.52136752136752,7.0,1.0006158351898193,2.2676663398742676,-2.7492899894714355,-3.4554624557495117,-0.31035441160202026,0.05338463559746742
2025_11_24,1763977200,high,-1,24443.75,0,0.5080342032015324,6.499506268650293,24399.25,24430.5,14.25,43.5,-31.25,45.5,-219.2982456140351,6.0,-1.2275869846343994,0.45464956760406494,-0.9980682134628296,-3.4554624557495117,-0.31035441160202026,0.05338463559746742
2025_11_24,1763977560,low,1,24393.0,1,2.6944329738616943,5.376112375408411,24430.5,24402.75,12.25,42.75,-27.75,40.0,-226.53061224489795,28.0,1.6708707809448242,0.957423985004425,-0.630619466304779,-1.753459095954895,-0.31035441160202026,0.05338463559746742
2025_11_24,1763979240,high,-1,24435.0,0,0.9295479990541935,8.561446283012629,24402.75,24406.0,41.5,27.75,-3.25,44.75,-7.831325301204819,23.0,-2.3176016807556152,-2.6339590549468994,0.8761633634567261,-1.175032138824463,-1.5053054094314575,0.05338463559746742
2025_11_24,1763980620,low,1,24371.0,1,2.5103079080581665,6.143089476972818,24406.0,24386.5,22.25,28.0,-19.5,41.75,-87.64044943820225,32.0,1.4556304216384888,1.958121418952942,0.16564509272575378,-1.005002498626709,-1.5053054094314575,0.05338463559746742
2025_11_24,1763982540,high,-1,24420.0,0,0.05338463559746742,5.021904867142439,24386.5,24419.5,8.5,35.75,-33.0,41.5,-388.2352941176471,11.0,-1.099597692489624,-1.9182242155075073,-0.06380841881036758,-0.4480292499065399,-1.4388606548309326,0.05338463559746742
2025_11_24,1763983200,low,1,24381.0,0,1.8620959222316742,5.100576363503933,24419.5,24437.0,44.0,25.75,17.5,26.5,39.77272727272727,60.0,0.041556019335985184,1.8610540628433228,1.2824857234954834,-0.4232352674007416,-1.4388606548309326,0.05338463559746742
2025_11_24,1763986800,high,-1,24458.5,0,0.8223843909800053,5.234707269817591,24437.0,24458.25,13.75,24.0,-21.25,35.0,-154.54545454545453,6.0,-1.4326003789901733,-1.222861409187317,-0.9476588368415833,0.7689997553825378,-0.809202253818512,0.05338463559746742
2025_11_24,1763987160,low,1,24424.75,0,0.809202253818512,5.210950594395399,24458.25,24526.0,106.0,4.5,67.75,38.25,63.91509433962264,82.0,1.472109317779541,2.068437099456787,0.03881753236055374,0.7689997553825378,-0.809202253818512,0.05338463559746742
2025_11_24,1763992080,high,-1,24556.0,0,0.8861646391451359,7.2384608425199986,24526.0,24542.5,35.0,17.0,-16.5,51.5,-47.142857142857146,21.0,-3.0448122024536133,-1.5163742303848267,-1.5410268306732178,0.8327800035476685,-0.25008293986320496,0.05338463559746742
2025_11_24,1763993340,low,1,24499.0,0,1.4025703854858875,4.555355779826641,24542.5,24538.75,32.0,9.75,-3.75,35.75,-11.71875,12.0,1.2287206649780273,1.8706800937652588,-1.2828048467636108,-0.04491767659783363,-0.07484786212444305,0.05338463559746742
2025_11_24,1763994060,high,-1,24571.25,0,0.9845487214624882,3.525173667818308,24538.75,24636.25,25.25,101.0,-97.5,122.75,-386.13861386138615,11.0,-0.16696752607822418,-2.1950511932373047,-0.10375836491584778,0.9311640858650208,-0.07484786212444305,0.05338463559746742
2025_11_24,1763994720,low,1,24522.75,0,1.9064900130033493,6.898429412394762,24636.25,24630.0,86.0,51.0,-6.25,92.25,-7.267441860465116,8.0,1.5335516929626465,3.405003070831299,-0.9177045822143555,-0.9139375686645508,-0.07484786212444305,0.05338463559746742
2025_11_24,1763995200,high,-1,24703.5,1,1.9068383909761906,4.491999048739672,24630.0,24682.0,12.5,60.0,-52.0,64.5,-416.0,2.0,-0.8167684674263,-0.7796067595481873,1.8534537553787231,-0.9139375686645508,-0.07484786212444305,0.05338463559746742
2025_11_24,1763995320,low,1,24630.0,0,1.7505537122488022,5.935566980391741,24682.0,24646.75,8.0,72.75,-35.25,43.25,-440.625,3.0,2.278174877166748,-0.7617682814598083,1.8534537553787231,-0.9139375686645508,-0.07484786212444305,0.05338463559746742
2025_11_24,1763995500,high,-1,24682.0,1,2.698822531849146,5.53986831381917,24646.75,24668.75,35.25,43.25,-22.0,57.25,-62.4113475177305,3.0,-1.0487128496170044,-1.7174850702285767,0.8268676400184631,1.8185702562332153,-0.07484786212444305,0.05338463559746742
2025_11_24,1763995680,low,1,24624.5,0,0.3478514701128006,4.539248455315828,24668.75,24600.75,21.25,89.5,-68.0,89.25,-320.0,2.0,1.4925744533538818,-0.27300360798835754,0.8268676400184631,1.8185702562332153,-0.07484786212444305,0.05338463559746742
2025_11_24,1763995800,high,-1,24680.25,1,2.326429311186075,5.4940770752727985,24600.75,24666.25,21.5,70.25,-65.5,87.0,-304.6511627906977,3.0,-1.8470913171768188,-1.2457085847854614,0.45447441935539246,1.8185702562332153,-0.07484786212444305,0.05338463559746742
2025_11_24,1763995980,low,1,24600.75,0,0.07484786212444305,3.975678015500307,24666.25,24652.75,15.0,40.75,-13.5,28.5,-90.0,3.0,1.1259952783584595,0.44840556383132935,0.45447441935539246,1.8185702562332153,-0.07484786212444305,0.05338463559746742
2025_11_24,1763996160,high,-1,24666.25,1,2.8171983994543552,4.2550827749073505,24652.75,24702.5,23.5,61.25,-49.75,73.25,-211.70212765957447,4.0,-1.3630365133285522,0.2913711369037628,0.6538723707199097,1.8185702562332153,-0.07484786212444305,0.05338463559746742
2025_11_24,1763996400,low,1,24631.25,0,0.0,9.301504705101252,24702.5,24710.25,67.0,24.25,7.75,59.25,11.567164179104477,9.0,1.8829609155654907,1.5758812427520752,1.2256020307540894,2.3214526176452637,2.2422232627868652,0.05338463559746742
2025_11_24,1763996940,high,-1,24760.5,3,6.276665661484003,7.740503046661615,24710.25,24736.75,46.25,41.0,-26.5,72.75,-57.2972972972973,6.0,-0.33185410499572754,-1.1319832801818848,1.6596051454544067,2.3214526176452637,2.2422232627868652,0.05338463559746742
2025_11_24,1763997300,low,1,24683.5,0,0.21865782141685486,6.416749779134989,24736.75,24718.25,14.5,41.5,-18.5,33.0,-127.58620689655173,5.0,0.8259167671203613,-0.21865782141685486,0.7396665811538696,2.3369007110595703,2.2422232627868652,0.05338463559746742
2025_11_24,1763997600,high,-1,24738.5,2,4.632508609443903,7.594725761562586,24718.25,24740.75,37.25,34.75,-22.5,59.75,-60.40268456375839,8.0,-1.7514960765838623,-0.8607904314994812,-0.34993064403533936,2.3369007110595703,2.2422232627868652,0.05338463559746742
2025_11_24,1763998080,low,1,24699.0,0,0.6442375183105469,7.607637379318476,24740.75,24785.5,76.25,30.5,44.75,31.5,58.68852459016394,28.0,1.4370990991592407,0.8937921524047852,-0.6442375183105469,2.3369007110595703,2.2422232627868652,0.05338463559746742
2025_11_24,1763999760,high,-1,24813.5,2,4.144746396690607,9.508363876491785,24785.5,24818.75,24.0,34.0,-33.25,57.25,-138.54166666666666,6.0,-2.1844050884246826,-2.338538646697998,-0.8406737446784973,1.8491384983062744,2.2422232627868652,0.05338463559746742
2025_11_24,1764000120,low,1,24764.5,0,1.197426676750183,7.332679007202387,24818.75,24858.5,71.5,25.25,39.75,31.75,55.59440559440559,54.0,0.9321186542510986,1.9349318742752075,-1.197426676750183,0.788777232170105,2.426039934158325,0.05338463559746742
2025_11_24,1764003360,high,-1,24888.0,1,2.8869178630411625,7.409974966198206,24858.5,24870.75,29.75,15.25,-12.25,42.0,-41.1764705882353,21.0,-1.2847013473510742,-1.8996871709823608,-1.3386685848236084,0.4074932932853699,2.426039934158325,0.05338463559746742
2025_11_24,1764004620,low,1,24833.75,0,2.4648693799972534,8.95739683881402,24870.75,24929.75,83.5,7.5,59.0,24.5,70.65868263473054,74.0,1.481418490409851,2.807669162750244,-1.2953033447265625,-1.169566035270691,2.150055170059204,0.05338463559746742
2025_11_24,1764009060,high,-1,24949.0,1,2.021962258964777,7.554750058799982,24929.75,24950.25,14.5,22.25,-20.5,35.0,-141.3793103448276,36.0,-0.6742652654647827,-2.2793350219726562,-1.3045083284378052,-1.274679183959961,1.9685776233673096,0.05338463559746742
2025_11_24,1764011220,low,1,24917.0,0,1.7730536460876465,5.190916273742914,24950.25,24916.75,10.25,39.25,-33.5,43.75,-326.8292682926829,24.0,0.7684124708175659,1.161483883857727,-0.29454147815704346,-1.478512167930603,1.4345816373825073,0.05338463559746742
2025_11_24,1764012660,high,-1,24956.25,0,1.4879662729799747,8.813667509704828,24916.75,24938.75,23.5,26.25,-22.0,45.5,-93.61702127659575,32.0,-1.9459401369094849,-2.71246075630188,-1.3362627029418945,-1.3310376405715942,1.4345816373825073,0.05338463559746742
2025_11_24,1764014580,low,1,24898.0,1,2.247918725013733,5.756179843097925,24938.75,24937.5,29.5,13.5,-1.25,30.75,-4.237288135593221,48.0,0.9701715111732483,1.5801204442977905,-0.6019233465194702,-1.6459953784942627,0.904584527015686,0.05338463559746742
2025_11_24,1764017460,high,-1,24962.25,0,1.6367086507380009,6.484143201261759,24937.5,24980.0,9.25,49.5,-42.5,51.75,-459.4594594594595,3.0,-1.3929553031921387,-3.123767852783203,0.6787394881248474,-0.33071139454841614,0.904584527015686,0.05338463559746742
2025_11_24,1764017640,low,1,24931.5,0,0.33071139454841614,6.399894420057535,24980.0,24948.0,13.25,38.5,-32.0,45.25,-241.50943396226415,4.0,2.244575262069702,2.187899112701416,0.6787394881248474,-0.33071139454841614,0.904584527015686,0.05338463559746742
2025_11_24,1764017880,high,-1,24980.0,1,2.6255677677690983,5.300751809030771,24948.0,24961.75,23.25,19.25,-13.75,37.0,-59.13978494623656,11.0,-1.2059284448623657,-1.1385442018508911,1.6675986051559448,-0.33071139454841614,0.904584527015686,0.05338463559746742
2025_11_25,1764035280,high,-1,24953.5,1,1.688767433166504,7.087601959705353,24922.25,24953.75,2.75,33.5,-31.5,34.25,-1145.4545454545455,29.0,-1.4748468399047852,-1.1537671089172363,-1.296213150024414,-1.1098079681396484,-0.3641994595527649,1.688767433166504
2025_11_25,1764037020,low,1,24921.25,0,1.1928634494543076,6.4744385331869125,24953.75,24933.5,5.25,30.5,-20.25,25.5,-385.7142857142857,85.0,0.7650427222251892,2.0070455074310303,0.8207194209098816,-0.18598733842372894,-1.0068761110305786,1.688767433166504
2025_11_25,1764042120,high,-1,24957.75,1,2.782104015350342,6.804483234882355,24933.5,24949.0,18.5,20.5,-15.5,34.0,-83.78378378378379,35.0,-1.059149146080017,-0.17017066478729248,-1.8109716176986694,1.093336582183838,-0.9820877909660339,1.688767433166504
2025_11_25,1764044220,low,1,24917.5,0,1.3428304195404053,7.677199274301529,24949.0,24914.75,6.5,35.75,-34.25,40.75,-526.9230769230769,69.0,1.0681227445602417,2.4498367309570312,0.6937221884727478,0.433919757604599,-1.3428304195404053,1.688767433166504
2025_11_25,1764048360,high,-1,24952.0,1,3.023864984512329,8.738186001777649,24914.75,24912.25,34.0,23.75,2.5,31.5,7.352941176470588,136.0,-0.7945336103439331,-1.788314938545227,-1.8559770584106445,1.3350975513458252,-1.2754954099655151,1.688767433166504
2025_11_25,1764056520,low,1,24882.75,0,2.2833666801452637,7.312806159257889,24912.25,24896.75,23.75,18.25,-15.5,39.25,-65.26315789473684,29.0,0.17485228180885315,1.1473194360733032,2.018500328063965,-0.825549840927124,-1.4578168392181396,1.688767433166504
2025_11_25,1764058260,high,-1,24934.25,1,2.679641604423523,5.850698591209948,24896.75,24926.75,11.0,30.5,-30.0,41.0,-272.72727272727275,12.0,-0.008626037277281284,-1.8472726345062256,-0.12453097850084305,0.990874171257019,-1.1906273365020752,1.688767433166504
2025_11_25,1764058980,low,1,24887.25,0,2.1820220351219177,6.849547887220979,24926.75,24896.5,0.5,38.5,-30.25,30.75,-6050.0,24.0,1.2796422243118286,1.6733319759368896,0.025784218683838844,-0.9913946986198425,-1.1906273365020752,1.688767433166504
2025_11_25,1764060420,high,-1,24926.75,1,2.498998388648033,7.279194936156273,24896.5,24894.0,40.5,2.5,2.5,38.0,6.172839506172839,19.0,0.573618471622467,-2.1284260749816895,-1.461143136024475,0.2366124838590622,-1.1906273365020752,1.688767433166504
2025_11_25,1764061560,low,1,24861.0,1,3.715370535850525,9.407908201217651,24894.0,24880.75,5.0,33.0,-13.25,18.25,-265.0,6.0,1.7282179594039917,2.275552272796631,-0.5205795764923096,-1.8415323495864868,-1.3532586097717285,1.688767433166504
2025_11_25,1764061920,high,-1,24895.0,1,1.688767433166504,7.632234066724777,24880.75,24862.0,59.0,6.5,18.75,40.25,31.779661016949152,31.0,-0.4928242564201355,-1.7940337657928467,-0.4618176519870758,-1.8415323495864868,-1.3532586097717285,1.688767433166504
2025_11_25,1764063780,low,1,24828.0,1,4.3762191236019135,9.72331127524376,24862.0,24866.0,35.75,26.75,4.0,31.75,11.188811188811188,106.0,1.2411997318267822,2.4171249866485596,-0.4616921842098236,-2.5612683296203613,-1.3532586097717285,1.688767433166504
2025_11_25,1764070140,high,-1,24896.5,1,3.058686137199402,5.193130474537611,24866.0,24897.5,21.75,32.75,-31.5,53.25,-144.82758620689654,33.0,-0.039425235241651535,-0.13755780458450317,-1.1793111562728882,1.369918704032898,-0.7781501412391663,1.688767433166504
