tf,c1,c2,regime_2d,n,pearson,p_q4q4,p_q0q0,p_q4q0,p_q0q4,upper_lift,lower_lift,tail_asymmetry,joint_extreme,cross_extreme,abs_asym
15m,price_velocity_w,SE_high_w,UP_SMOOTH,7146,0.7872140687365106,0.12874335292471312,0.04002239014833473,0.002239014833473272,0.02742793171004758,3.218583823117828,1.0005597537083684,2.2180240694094593,4.2191435768261965,0.7416736635880212,2.2180240694094593
5s,bar_range,vol_accel_w,UP_CHOPPY,3924,0.23935698092917881,0.10779816513761468,0.0191131498470948,0.06269113149847094,0.00382262996941896,2.694954128440367,0.47782874617737,2.217125382262997,3.1727828746177367,1.6628440366972475,2.217125382262997
1h,price_velocity_1b,bar_range,UP_CHOPPY,3924,0.38697176009487294,0.09785932721712538,0.009174311926605505,0.0,0.06422018348623854,2.4464831804281344,0.22935779816513763,2.2171253822629966,2.675840978593272,1.6055045871559634,2.2171253822629966
1h,z_low_w,reversion_prob_w,FLAT_SMOOTH,9750,0.22878237206757038,0.012307692307692308,0.10092307692307692,0.05046153846153846,0.011179487179487179,0.3076923076923077,2.523076923076923,-2.2153846153846155,2.8307692307692305,1.5410256410256409,2.2153846153846155
1m,vol_accel_1b,vol_mean_w,UP_SMOOTH,7146,0.015892134155605902,0.09585782255807444,0.007276798208788134,0.002239014833473272,0.0716484746711447,2.396445563951861,0.18191995521970333,2.2145256087321576,2.5783655191715646,1.8471872376154492,2.2145256087321576
5s,vol_accel_1b,bar_range,DOWN_CHOPPY,2988,0.23206468819023768,0.10140562248995984,0.013052208835341365,0.0050200803212851405,0.06124497991967871,2.535140562248996,0.3263052208835341,2.208835341365462,2.86144578313253,1.6566265060240963,2.208835341365462
15m,price_velocity_w,SE_low_w,UP_SMOOTH,7146,0.7605053732901351,0.12118667786174084,0.03288553036663868,0.0020990764063811922,0.03498460677301987,3.029666946543521,0.8221382591659671,2.207528687377554,3.8518052057094883,0.9270920794850266,2.207528687377554
15m,vol_velocity_w,vol_mean_w,FLAT_SMOOTH,9855,0.04005834461556937,0.08949771689497717,0.0013191273465246068,0.006291222729578894,0.09355657026889903,2.237442922374429,0.03297818366311517,2.2044647387113137,2.2704211060375443,2.496194824961948,2.2044647387113137
1m,bar_range,vol_velocity_w,UP_CHOPPY,3924,0.2515818819587582,0.10244648318042814,0.014271151885830785,0.0609072375127421,0.00025484199796126404,2.5611620795107033,0.3567787971457696,2.2043832823649336,2.917940876656473,1.529051987767584,2.2043832823649336
15m,z_low_w,reversion_prob_w,FLAT_CHOPPY,18315,0.18346222930509687,0.0082992082992083,0.09636909636909637,0.06622986622986624,0.009009009009009009,0.20748020748020748,2.4092274092274093,-2.2017472017472017,2.616707616707617,1.880971880971881,2.2017472017472017
