date,open,close,high,low,n_bars,first_dt,last_dt,close_diff_sum,range,net_move,directional_strength,efficiency_ratio,atr_20d,range_expansion,regime,direction_axis,variation_axis,regime_2d,split
2025-07-16,22971.0,23137.75,23151.75,22835.75,1380,2025-07-16 07:00:00+00:00,2025-07-17 06:59:00+00:00,4723.25,316.0,166.75,0.5276898734177216,0.0353040808765151,230.5875,1.3704125332032309,TRANSITIONAL,UP,CHOPPY,UP_CHOPPY,IS
2025-07-17,23137.5,23283.75,23309.5,23065.75,1380,2025-07-17 07:00:00+00:00,2025-07-18 06:59:00+00:00,3152.0,243.75,146.25,0.6,0.0463991116751269,229.5625,1.0618023414102913,UP,UP,CHOPPY,UP_CHOPPY,IS
2025-07-18,23283.5,23228.75,23320.5,23170.0,840,2025-07-18 07:00:00+00:00,2025-07-18 20:59:00+00:00,2490.75,150.5,-54.75,0.3637873754152824,0.0219813309244203,223.675,0.672851235050855,CHOP,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-07-20,23240.0,23277.25,23296.0,23204.5,540,2025-07-20 22:00:00+00:00,2025-07-21 06:59:00+00:00,684.25,91.5,37.25,0.407103825136612,0.0544391669711362,212.625,0.4303350970017636,QUIET,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-07-21,23277.25,23314.0,23425.0,23223.5,1380,2025-07-21 07:00:00+00:00,2025-07-22 06:59:00+00:00,2686.25,201.5,36.75,0.1823821339950372,0.0136807817589576,207.95,0.9689829285886032,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-07-22,23314.0,23267.75,23349.75,23105.0,1380,2025-07-22 07:00:00+00:00,2025-07-23 06:59:00+00:00,4095.75,244.75,-46.25,0.1889683350357507,0.0112921931270219,207.3375,1.1804425152227649,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-07-23,23267.75,23359.75,23422.5,23142.5,1380,2025-07-23 07:00:00+00:00,2025-07-24 06:59:00+00:00,3807.25,280.0,92.0,0.3285714285714285,0.0241644231400617,216.95,1.2906199585157871,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-07-24,23359.0,23390.5,23442.0,23298.5,1380,2025-07-24 07:00:00+00:00,2025-07-25 06:59:00+00:00,3103.75,143.5,31.5,0.2195121951219512,0.0101490132903745,210.5125,0.6816697345763316,CHOP,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-07-25,23391.5,23447.25,23477.0,23330.25,840,2025-07-25 07:00:00+00:00,2025-07-25 20:59:00+00:00,1980.75,146.75,55.75,0.3798977853492334,0.0281459043291682,202.6,0.7243336623889437,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-07-27,23516.0,23560.5,23585.0,23504.75,540,2025-07-27 22:00:00+00:00,2025-07-28 06:59:00+00:00,816.75,80.25,44.5,0.5545171339563862,0.0544842363024181,193.05,0.4156954156954157,QUIET,UP,SMOOTH,UP_SMOOTH,IS
2025-07-28,23560.75,23544.5,23565.75,23437.0,1380,2025-07-28 07:00:00+00:00,2025-07-29 06:59:00+00:00,2742.0,128.75,-16.25,0.1262135922330097,0.0059263311451495,193.575,0.665116879762366,CHOP,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-07-29,23545.25,23499.25,23652.25,23422.0,1380,2025-07-29 07:00:00+00:00,2025-07-30 06:59:00+00:00,3287.75,230.25,-46.0,0.1997828447339848,0.0139913314576838,199.45,1.1544246678365506,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-07-30,23499.0,23797.25,23809.75,23355.0,1380,2025-07-30 07:00:00+00:00,2025-07-31 06:59:00+00:00,4456.75,454.75,298.25,0.6558548653106102,0.0669209625848432,211.0625,2.154575066627184,UP,UP,SMOOTH,UP_SMOOTH,IS
2025-07-31,23797.5,23269.25,23848.0,23231.5,1380,2025-07-31 07:00:00+00:00,2025-08-01 06:59:00+00:00,6247.25,616.5,-528.25,0.856853203568532,0.0845572051702749,235.3375,2.619642003505604,DOWN,DOWN,SMOOTH,DOWN_SMOOTH,IS
2025-08-01,23268.75,22869.0,23278.75,22788.25,840,2025-08-01 07:00:00+00:00,2025-08-01 20:59:00+00:00,6039.0,490.5,-399.75,0.8149847094801224,0.0661947342275211,248.025,1.9776232234653763,DOWN,DOWN,SMOOTH,DOWN_SMOOTH,IS
2025-08-03,22850.5,22990.5,23001.25,22822.0,540,2025-08-03 22:00:00+00:00,2025-08-04 06:59:00+00:00,1670.0,179.25,140.0,0.7810320781032078,0.0838323353293413,244.0375,0.7345182605132408,TRANSITIONAL,UP,SMOOTH,UP_SMOOTH,IS
2025-08-04,22991.25,23385.75,23393.5,22978.0,1380,2025-08-04 07:00:00+00:00,2025-08-05 06:59:00+00:00,4057.0,415.5,394.5,0.9494584837545126,0.0972393394133596,256.3625,1.620751865034863,UP,UP,SMOOTH,UP_SMOOTH,IS
2025-08-05,23385.5,23192.25,23404.25,23045.25,1380,2025-08-05 07:00:00+00:00,2025-08-06 06:59:00+00:00,5561.5,359.0,-193.25,0.5383008356545961,0.0347478198327789,269.9625,1.3298143260638051,TRANSITIONAL,DOWN,CHOPPY,DOWN_CHOPPY,IS
2025-08-06,23192.0,23472.0,23511.0,23107.5,1380,2025-08-06 07:00:00+00:00,2025-08-07 06:59:00+00:00,5059.25,403.5,280.0,0.6939281288723668,0.0553441715669318,271.7,1.4850938535149063,UP,UP,SMOOTH,UP_SMOOTH,IS
2025-08-07,23472.25,23535.25,23671.25,23330.0,1380,2025-08-07 07:00:00+00:00,2025-08-08 06:59:00+00:00,5895.75,341.25,63.0,0.1846153846153846,0.0106856634016028,275.8875,1.2369172216936253,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-08-08,23535.75,23767.25,23768.5,23516.0,840,2025-08-08 07:00:00+00:00,2025-08-08 20:59:00+00:00,2792.75,252.5,231.5,0.9168316831683168,0.082893205621699,272.7125,0.9258834853554568,TRANSITIONAL,UP,SMOOTH,UP_SMOOTH,IS
2025-08-10,23767.25,23760.25,23773.5,23701.25,540,2025-08-10 22:00:00+00:00,2025-08-11 06:59:00+00:00,953.75,72.25,-7.0,0.0968858131487889,0.0073394495412844,264.1375,0.2735317779565567,QUIET,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-08-11,23760.0,23648.75,23804.5,23587.0,1380,2025-08-11 07:00:00+00:00,2025-08-12 06:59:00+00:00,4222.25,217.5,-111.25,0.5114942528735632,0.0263485108650601,267.4875,0.8131221085097434,TRANSITIONAL,DOWN,CHOPPY,DOWN_CHOPPY,IS
2025-08-12,23648.25,23959.25,23973.25,23608.5,1380,2025-08-12 07:00:00+00:00,2025-08-13 06:59:00+00:00,4108.0,364.75,311.0,0.8526387936943112,0.0757059396299902,281.15,1.2973501689489595,UP,UP,SMOOTH,UP_SMOOTH,IS
2025-08-13,23959.25,23916.0,24069.0,23886.0,1380,2025-08-13 07:00:00+00:00,2025-08-14 06:59:00+00:00,3626.0,183.0,-43.25,0.2363387978142076,0.0119277440706012,280.225,0.6530466589347845,CHOP,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-08-14,23915.5,23950.75,24005.5,23793.25,1380,2025-08-14 07:00:00+00:00,2025-08-15 06:59:00+00:00,4299.0,212.25,35.25,0.166077738515901,0.0081995812979762,278.6,0.7618449389806173,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-08-15,23950.0,23796.5,23962.75,23734.75,840,2025-08-15 07:00:00+00:00,2025-08-15 20:59:00+00:00,3306.75,228.0,-153.5,0.6732456140350878,0.0464202011038028,276.0,0.8260869565217391,TRANSITIONAL,DOWN,CHOPPY,DOWN_CHOPPY,IS
2025-08-17,23795.0,23802.0,23882.0,23772.5,540,2025-08-17 22:00:00+00:00,2025-08-18 06:59:00+00:00,804.75,109.5,7.0,0.0639269406392694,0.0086983535259397,274.3,0.3991979584396646,QUIET,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-08-18,23802.25,23763.0,23839.75,23718.75,1380,2025-08-18 07:00:00+00:00,2025-08-19 06:59:00+00:00,3835.5,121.0,-39.25,0.3243801652892562,0.0102333463694433,273.0125,0.4432031500389176,QUIET,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-08-19,23763.0,23389.0,23805.0,23334.25,1380,2025-08-19 07:00:00+00:00,2025-08-20 06:59:00+00:00,4725.25,470.75,-374.0,0.7944768985661179,0.0791492513623617,292.5375,1.6091954022988504,DOWN,DOWN,SMOOTH,DOWN_SMOOTH,IS
2025-08-20,23389.0,23354.75,23452.0,23035.25,1380,2025-08-20 07:00:00+00:00,2025-08-21 06:59:00+00:00,5993.75,416.75,-34.25,0.0821835632873425,0.0057142857142857,306.9375,1.3577682753003462,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-08-21,23354.75,23139.0,23359.75,23074.25,1380,2025-08-21 07:00:00+00:00,2025-08-22 06:59:00+00:00,5777.5,285.5,-215.75,0.7556917688266199,0.0373431414971873,309.7,0.9218598643848886,TRANSITIONAL,DOWN,CHOPPY,DOWN_CHOPPY,IS
