day,trades,pnl,wr
2025_07_22,42,663.5,40.476190476190474
2025_07_23,34,544.5,50.0
2025_07_24,35,660.0,68.57142857142857
2025_07_25,40,438.5,50.0
2025_07_27,2,-20.0,0.0
2025_07_28,46,106.5,32.608695652173914
2025_07_29,40,313.5,42.5
2025_07_30,39,575.0,46.15384615384615
2025_07_31,46,400.0,39.130434782608695
2025_08_01,43,1280.5,39.53488372093023
2025_08_03,3,55.0,66.66666666666666
2025_08_04,39,744.5,48.717948717948715
2025_08_05,48,858.0,37.5
2025_08_06,33,557.0,54.54545454545454
2025_08_07,40,548.0,45.0
2025_08_08,41,436.5,41.46341463414634
2025_08_10,3,77.0,100.0
2025_08_11,46,109.5,34.78260869565217
2025_08_12,44,430.5,38.63636363636363
2025_08_13,36,600.5,52.77777777777778
2025_08_14,42,932.5,38.095238095238095
2025_08_15,34,516.5,41.17647058823529
2025_08_17,3,-2.0,0.0
2025_08_18,44,320.5,36.36363636363637
2025_08_19,51,506.0,31.372549019607842
2025_08_20,50,624.0,34.0
2025_08_21,33,701.5,54.54545454545454
2025_08_22,40,1093.5,42.5
2025_08_24,5,64.0,60.0
2025_08_25,41,243.0,36.58536585365854
2025_08_26,39,555.0,43.58974358974359
2025_08_27,42,786.0,40.476190476190474
2025_08_28,40,664.0,40.0
2025_08_29,38,194.0,28.947368421052634
2025_08_31,2,61.5,50.0
2025_09_01,24,360.0,41.66666666666667
2025_09_02,52,821.0,38.46153846153847
2025_09_03,47,478.0,27.659574468085108
2025_09_04,44,424.0,38.63636363636363
2025_09_05,34,477.0,38.23529411764706
2025_09_07,3,129.5,66.66666666666666
2025_09_08,37,272.5,45.94594594594595
2025_09_09,35,342.0,42.857142857142854
2025_09_10,33,269.5,39.39393939393939
2025_09_11,39,72.5,28.205128205128204
2025_09_12,44,299.5,34.090909090909086
2025_09_14,3,35.0,100.0
2025_09_15,32,379.5,53.125
2025_09_16,29,328.5,51.724137931034484
2025_09_17,31,769.5,41.935483870967744
2025_09_18,31,372.5,35.483870967741936
2025_09_19,4,144.5,75.0
2025_10_01,33,540.0,54.54545454545454
2025_10_02,46,420.0,30.434782608695656
2025_10_03,38,351.5,36.84210526315789
2025_10_05,3,30.5,66.66666666666666
2025_10_06,41,553.5,43.90243902439025
