trade_id,time,timestamp,dir,entry_price,exit_price,pnl,exit,held,peak,entry_z,entry_vr,entry_dmi,entry_vol,entry_hurst,exit_z,exit_vr,exit_dmi,exit_z_5m,exit_z_15m,exit_z_1h,exit_dmi_1h,approach_length,path_length,regret_peak_pnl,regret_peak_bar,regret_breakeven_bar,regret_peak_time_min,regret_lifespan_min,day
5,17:36,1767980160.0,short,25918.5,25913.0,11.0,opposite_extreme,132,18.0,2.2306740283966064,0.43839526176452637,11.007377624511719,0.83234041929245,0.7227931618690491,-1.394114375114441,0.20810076594352722,3.770338773727417,-0.5587251782417297,0.07841556519269943,2.0682177543640137,9.670053482055664,10,133,13.0,8,28,0.6666666666666666,2.3333333333333335,2026_01_09
0,03:40,1768189200.0,short,25752.5,25743.5,18.0,opposite_extreme,335,20.5,2.5228097438812256,0.4406220018863678,-0.4356350600719452,1.3340106010437012,0.7816489338874817,-1.5258148908615112,0.5655121207237244,-5.742238521575928,-0.2741183340549469,1.5947784185409546,-1.6750081777572632,-12.649863243103027,10,336,234.5,3063,5682,255.25,473.5,2026_01_12
1,11:57,1768219020.0,long,25712.5,25715.5,6.0,momentum_exhausted,87,9.0,-2.182560682296753,0.3722293972969055,-10.060988426208496,1.3845393657684326,0.4636341333389282,0.719622790813446,0.21137697994709015,-10.279099464416504,-0.19068485498428345,0.6274999976158142,0.5409240126609802,-14.153470993041992,10,88,610.5,5729,-1,477.4166666666667,-1.0,2026_01_12
0,06:32,1768285920.0,short,25924.75,25917.25,15.0,opposite_extreme,11,15.0,2.186638832092285,0.3107507526874542,20.11653709411621,2.091618537902832,0.5118544101715088,-1.6268399953842163,0.30321595072746277,7.506448745727539,0.3886871337890625,0.8309935927391052,-0.5242697596549988,4.817998886108398,10,12,26.5,76,143,6.333333333333333,11.916666666666666,2026_01_13
1,06:48,1768286880.0,long,25912.0,25921.25,18.5,opposite_extreme,60,18.5,-2.680060386657715,0.38288334012031555,-11.905302047729492,1.4847103357315063,0.6002068519592285,1.6470383405685425,0.3583988547325134,4.995140552520752,-0.18907514214515686,0.6386702060699463,-0.5242697596549988,4.817998886108398,10,61,40.0,35,92,2.9166666666666665,7.666666666666667,2026_01_13
2,15:41,1768318860.0,short,25850.75,25824.0,53.5,opposite_extreme,96,53.5,2.1496684551239014,0.14696288108825684,-9.147167205810547,1.0997568368911743,0.8584949374198914,-1.3218402862548828,0.23826803267002106,-10.16215705871582,-0.41893890500068665,-2.243478536605835,-0.11302264034748077,0.24571049213409424,10,97,75.5,108,129,9.0,10.75,2026_01_13
3,16:31,1768321860.0,long,25895.5,25927.75,64.5,opposite_extreme,60,64.5,-2.3504226207733154,0.19562599062919617,-1.070980191230774,1.2470744848251343,0.5026875734329224,2.251917600631714,0.3059285283088684,-2.872274160385132,1.3634893894195557,1.1357134580612183,2.0687785148620605,5.5955586433410645,10,61,257.5,311,995,25.916666666666668,82.91666666666667,2026_01_13
0,09:59,1768384740.0,short,25852.0,25851.75,0.5,momentum_exhausted,46,0.5,2.467237949371338,0.38754579424858093,-17.891408920288086,1.6178483963012695,0.5777047276496887,0.7059304118156433,0.43799474835395813,-13.473858833312988,-0.9196466207504272,-0.7515097260475159,-0.11473795026540756,-1.3428597450256348,10,47,4.5,6,9,0.5,0.75,2026_01_14
0,21:09,1768511340.0,short,25719.0,25710.75,16.5,opposite_extreme,120,16.5,2.2802417278289795,0.333240270614624,2.6701951026916504,3.244877815246582,0.45108261704444885,-1.09859299659729,0.20592205226421356,-0.13548685610294342,1.234797477722168,-0.5183703303337097,-1.9842346906661987,-4.394043445587158,10,121,48.0,130,533,10.833333333333334,44.416666666666664,2026_01_15
0,11:03,1768561380.0,long,25854.75,25853.75,-2.0,momentum_exhausted,122,9.0,-2.103184223175049,0.23404863476753235,9.51669692993164,0.5972110033035278,0.5906067490577698,-0.10735974460840225,0.17749491333961487,0.7058674097061157,-0.47131484746932983,1.6698367595672607,0.6125969290733337,8.396871566772461,10,123,2.5,48,49,4.0,4.083333333333333,2026_01_16
1,15:16,1768576560.0,short,25747.25,25716.5,61.5,opposite_extreme,156,61.5,2.107211112976074,0.494346559047699,-20.14723014831543,1.3627204895019531,0.7523922324180603,-1.2308100461959839,0.2646068036556244,-19.21684455871582,-1.8035836219787598,-2.4831771850585938,-2.2211129665374756,-19.250593185424805,10,157,308.5,323,1073,26.916666666666668,89.41666666666667,2026_01_16
2,17:34,1768584840.0,long,25686.5,25703.75,34.5,opposite_extreme,48,34.5,-2.684297800064087,0.4991695284843445,-12.809316635131836,1.5822486877441406,0.5031164884567261,1.3564776182174683,0.49390709400177,-2.651674270629883,-0.9266617894172668,0.7215991020202637,-1.9459428787231445,-16.52478790283203,10,49,51.5,32,146,2.6666666666666665,12.166666666666666,2026_01_16
0,06:47,1768805220.0,long,25395.5,25410.0,29.0,opposite_extreme,51,29.0,-2.3071765899658203,0.9447348117828369,-18.08736228942871,3.547858953475952,0.7030830979347229,1.1009063720703125,0.8351643681526184,1.9576538801193237,0.1844988614320755,-0.581038236618042,0.6283469200134277,-25.454450607299805,10,52,35.0,23,66,1.9166666666666667,5.5,2026_01_19
0,03:09,1768878540.0,long,25416.5,25420.75,8.5,opposite_extreme,29,8.5,-2.038893222808838,0.2549610733985901,-7.675266265869141,0.9121877551078796,0.7023966908454895,1.6376696825027466,0.3285110294818878,-5.570004940032959,-0.28920429944992065,0.4363211691379547,0.7859479784965515,-9.752509117126465,10,30,30.0,31,133,2.5833333333333335,11.083333333333334,2026_01_20
