**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,seg_idx,parent_motif_idx,shape_class,parent_15m_cluster,cluster_5m,ride_pnl_pts,resolved_as_cascade,length_min,peak_abs_z
2025_03_06,1,5,FLATLINE,EXPONENTIAL_DOWN_C1,2,0.5,False,5.0,0.605
2025_03_06,2,5,FLATLINE,EXPONENTIAL_DOWN_C1,2,17.75,False,10.0,0.84
2025_03_06,3,5,FLATLINE,EXPONENTIAL_DOWN_C1,1,24.75,False,15.0,1.42
2025_03_06,4,5,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN_C1,2,84.75,False,45.0,5.891
2025_03_06,0,6,LOGARITHMIC_UP,FLATLINE_C0,1,172.5,False,80.0,3.97
2025_03_06,1,6,FLATLINE,FLATLINE_C0,0,0.5,False,10.0,3.162
2025_03_06,0,7,LINEAR_DOWN,LINEAR_DOWN_NOISE,0,312.5,False,85.0,3.819
2025_03_06,1,7,FLATLINE,LINEAR_DOWN_NOISE,1,43.25,False,5.0,1.236
2025_03_06,2,7,FLATLINE,LINEAR_DOWN_NOISE,1,21.5,False,10.0,0.87
2025_03_06,3,7,FLATLINE,LINEAR_DOWN_NOISE,1,47.75,False,15.0,2.15
2025_03_06,4,7,FLATLINE,LINEAR_DOWN_NOISE,1,59.5,False,5.0,1.428
2025_03_06,5,7,FLATLINE,LINEAR_DOWN_NOISE,1,0.25,False,5.0,1.018
2025_03_06,6,7,LINEAR_DOWN,LINEAR_DOWN_NOISE,0,69.0,False,70.0,3.457
2025_03_06,7,7,FLATLINE,LINEAR_DOWN_NOISE,1,87.5,False,10.0,5.52
2025_03_06,8,7,FLATLINE,LINEAR_DOWN_NOISE,1,118.75,False,5.0,1.59
2025_03_06,9,7,FLATLINE,LINEAR_DOWN_NOISE,1,89.75,False,30.0,1.323
2025_03_06,10,7,FLATLINE,LINEAR_DOWN_NOISE,1,39.0,False,10.0,1.094
2025_03_06,11,7,FLATLINE,LINEAR_DOWN_NOISE,1,-34.75,False,5.0,1.592
2025_03_06,12,7,FLATLINE,LINEAR_DOWN_NOISE,1,-50.5,False,5.0,1.895
2025_03_06,13,7,FLATLINE,LINEAR_DOWN_NOISE,1,14.5,False,5.0,0.863
2025_03_06,14,7,FLATLINE,LINEAR_DOWN_NOISE,1,27.0,False,5.0,0.886
2025_03_06,15,7,FLATLINE,LINEAR_DOWN_NOISE,1,29.75,False,15.0,1.924
2025_03_06,0,8,LOGARITHMIC_UP,EXPONENTIAL_UP_C0,-1,66.75,True,150.0,4.327
2025_03_06,1,8,FLATLINE,EXPONENTIAL_UP_C0,1,-0.0,False,14.92,1.97
2025_03_07,0,0,NOISE,FLATLINE_NOISE,-1,0.0,False,20.0,4.596
2025_03_07,1,0,LINEAR_DOWN,FLATLINE_NOISE,5,37.0,False,20.0,4.498
2025_03_07,2,0,FLATLINE,FLATLINE_NOISE,-1,23.25,False,5.0,1.104
2025_03_07,0,1,FLATLINE,FLATLINE_C9,3,17.0,False,20.0,1.197
2025_03_07,1,1,LINEAR_UP,FLATLINE_C9,1,19.0,False,25.0,3.297
2025_03_07,2,1,FLATLINE,FLATLINE_C9,3,4.5,False,5.0,0.604
2025_03_07,3,1,FLATLINE,FLATLINE_C9,3,8.5,False,15.0,0.631
2025_03_07,4,1,FLATLINE,FLATLINE_C9,0,5.0,False,20.0,2.455
2025_03_07,5,1,FLATLINE,FLATLINE_C9,3,10.0,False,5.0,1.692
2025_03_07,0,2,FLATLINE,FLATLINE_C2,-1,-3.0,False,10.0,4.991
2025_03_07,1,2,FLATLINE,FLATLINE_C2,0,6.75,False,10.0,2.792
2025_03_07,2,2,FLATLINE,FLATLINE_C2,0,7.0,False,20.0,1.52
2025_03_07,3,2,FLATLINE,FLATLINE_C2,1,-3.0,False,5.0,0.716
2025_03_07,0,3,EXPONENTIAL_DOWN,FLATLINE_C1,2,14.5,False,30.0,4.647
2025_03_07,0,4,LINEAR_DOWN,LINEAR_DOWN_NOISE,2,14.75,False,30.0,2.363
2025_03_07,1,4,FLATLINE,LINEAR_DOWN_NOISE,3,16.5,False,10.0,2.201
2025_03_07,2,4,FLATLINE,LINEAR_DOWN_NOISE,3,18.5,False,20.0,2.912
2025_03_07,3,4,FLATLINE,LINEAR_DOWN_NOISE,3,12.75,False,15.0,1.41
2025_03_07,4,4,FLATLINE,LINEAR_DOWN_NOISE,2,2.75,False,10.0,1.109
2025_03_07,5,4,FLATLINE,LINEAR_DOWN_NOISE,2,7.75,False,5.0,3.012
2025_03_07,6,4,FLATLINE,LINEAR_DOWN_NOISE,3,20.25,False,10.0,2.539
2025_03_07,7,4,FLATLINE,LINEAR_DOWN_NOISE,3,18.75,False,10.0,1.922
2025_03_07,8,4,FLATLINE,LINEAR_DOWN_NOISE,2,4.0,False,10.0,1.691
2025_03_07,9,4,FLATLINE,LINEAR_DOWN_NOISE,2,2.25,False,10.0,1.717
2025_03_07,10,4,LINEAR_DOWN,LINEAR_DOWN_NOISE,0,52.5,False,80.0,3.255
2025_03_07,11,4,LINEAR_UP,LINEAR_DOWN_NOISE,1,41.75,False,50.0,3.837
2025_03_07,12,4,FLATLINE,LINEAR_DOWN_NOISE,3,9.0,False,5.0,1.566
2025_03_07,13,4,FLATLINE,LINEAR_DOWN_NOISE,2,8.5,False,5.0,1.02
2025_03_07,0,5,EXPONENTIAL_UP,FLATLINE_C5,-1,9.5,False,30.0,2.228
2025_03_07,0,6,FLATLINE,LINEAR_UP_C3,1,33.5,False,10.0,3.652
2025_03_07,1,6,FLATLINE,LINEAR_UP_C3,1,30.75,False,10.0,3.323
2025_03_07,2,6,FLATLINE,LINEAR_UP_C3,1,10.0,False,10.0,1.932
2025_03_07,3,6,LINEAR_UP,LINEAR_UP_C3,0,42.25,False,50.0,3.567
2025_03_07,4,6,LINEAR_DOWN,LINEAR_UP_C3,1,25.0,True,60.0,5.068
2025_03_07,5,6,FLATLINE,LINEAR_UP_C3,1,-6.25,False,5.0,2.234
2025_03_07,6,6,FLATLINE,LINEAR_UP_C3,1,1.25,False,5.0,6.271
2025_03_07,0,7,EXPONENTIAL_DOWN,FLATLINE_NOISE,1,-1.0,False,20.0,9.277
2025_03_07,1,7,FLATLINE,FLATLINE_NOISE,1,5.5,False,25.0,3.862
2025_03_07,2,7,FLATLINE,FLATLINE_NOISE,-1,7.25,False,5.0,0.74
2025_03_07,3,7,FLATLINE,FLATLINE_NOISE,-1,2.0,False,10.0,1.384
2025_03_07,0,8,LINEAR_DOWN,EXPONENTIAL_DOWN_C0,0,73.25,False,85.0,3.708
2025_03_07,1,8,LINEAR_UP,EXPONENTIAL_DOWN_C0,-1,22.0,False,30.0,17.092
2025_03_07,2,8,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN_C0,0,31.0,False,45.0,2.686
2025_03_07,3,8,LINEAR_UP,EXPONENTIAL_DOWN_C0,1,16.5,False,35.0,5.438
2025_03_07,4,8,FLATLINE,EXPONENTIAL_DOWN_C0,1,32.25,False,5.0,2.16
2025_03_07,5,8,FLATLINE,EXPONENTIAL_DOWN_C0,1,29.0,False,5.0,1.772
2025_03_07,6,8,LINEAR_DOWN,EXPONENTIAL_DOWN_C0,0,321.0,False,115.0,3.986
2025_03_07,7,8,EXPONENTIAL_UP,EXPONENTIAL_DOWN_C0,1,262.0,True,70.0,4.21
2025_03_07,0,9,LINEAR_UP,LOGARITHMIC_UP_NOISE,2,143.0,False,75.0,3.909
2025_03_07,1,9,FLATLINE,LOGARITHMIC_UP_NOISE,-1,27.25,False,5.0,0.948
2025_03_07,2,9,FLATLINE,LOGARITHMIC_UP_NOISE,5,15.0,False,10.0,1.228
2025_03_07,3,9,FLATLINE,LOGARITHMIC_UP_NOISE,5,-25.75,False,25.0,1.352
2025_03_07,4,9,FLATLINE,LOGARITHMIC_UP_NOISE,5,22.5,False,10.0,1.228
2025_03_07,5,9,FLATLINE,LOGARITHMIC_UP_NOISE,0,61.25,False,10.0,4.151
2025_03_07,6,9,FLATLINE,LOGARITHMIC_UP_NOISE,0,57.0,False,15.0,2.078
2025_03_07,7,9,FLATLINE,LOGARITHMIC_UP_NOISE,0,42.5,False,5.0,1.864
2025_03_07,8,9,FLATLINE,LOGARITHMIC_UP_NOISE,0,26.75,False,5.0,0.908
2025_03_07,9,9,FLATLINE,LOGARITHMIC_UP_NOISE,0,3.0,False,10.0,0.497
2025_03_07,10,9,FLATLINE,LOGARITHMIC_UP_NOISE,5,-1.25,False,10.0,0.494
2025_03_07,11,9,FLATLINE,LOGARITHMIC_UP_NOISE,0,2.5,False,15.0,0.635
2025_03_07,12,9,FLATLINE,LOGARITHMIC_UP_NOISE,0,7.5,False,5.0,1.058
2025_03_07,13,9,FLATLINE,LOGARITHMIC_UP_NOISE,0,1.5,False,9.92,2.404
2025_03_09,0,0,FLATLINE,FLATLINE_NOISE,-1,0.0,False,35.0,1.794
2025_03_09,1,0,FLATLINE,FLATLINE_NOISE,2,15.0,False,10.0,1.047
2025_03_09,0,1,FLATLINE,FLATLINE_NOISE,3,9.0,False,10.0,1.666
2025_03_09,1,1,FLATLINE,FLATLINE_NOISE,5,26.5,False,20.0,6.488
2025_03_09,0,2,FLATLINE,FLATLINE_NOISE,5,-5.25,False,25.0,0.755
2025_03_09,1,2,FLATLINE,FLATLINE_NOISE,2,0.25,False,19.92,1.111
2025_03_10,0,0,NOISE,NOISE_NOISE,-1,0.0,False,40.0,6.737
2025_03_10,1,0,FLATLINE,NOISE_NOISE,1,5.0,False,5.0,0.859
2025_03_10,2,0,FLATLINE,NOISE_NOISE,1,-4.25,False,5.0,1.175
2025_03_10,3,0,LOGARITHMIC_UP,NOISE_NOISE,1,100.75,False,140.33,3.796
2025_03_10,4,0,EXPONENTIAL_DOWN,NOISE_NOISE,1,18.5,False,29.67,3.409
2025_03_10,5,0,FLATLINE,NOISE_NOISE,1,11.5,False,5.0,0.977
2025_03_10,6,0,FLATLINE,NOISE_NOISE,1,3.0,False,10.0,1.088
2025_03_10,7,0,LINEAR_UP,NOISE_NOISE,1,5.25,False,40.0,2.805
2025_03_10,8,0,FLATLINE,NOISE_NOISE,1,24.0,False,10.0,2.459
2025_03_10,0,1,EXPONENTIAL_DOWN,FLATLINE_C4,-1,1.5,False,30.0,2.87
2025_03_10,0,2,FLATLINE,FLATLINE_NOISE,0,-12.5,False,15.0,2.312
2025_03_10,1,2,FLATLINE,FLATLINE_NOISE,0,19.75,False,10.0,1.843
2025_03_10,2,2,FLATLINE,FLATLINE_NOISE,1,1.5,False,5.0,1.141
2025_03_10,3,2,FLATLINE,FLATLINE_NOISE,5,-1.25,False,30.0,3.453
2025_03_10,0,3,FLATLINE,FLATLINE_NOISE,6,5.5,False,30.0,1.923
2025_03_10,1,3,FLATLINE,FLATLINE_NOISE,0,8.5,False,5.0,1.711
2025_03_10,2,3,FLATLINE,FLATLINE_NOISE,0,9.25,False,5.0,2.729
2025_03_10,3,3,FLATLINE,FLATLINE_NOISE,0,0.25,False,5.0,2.254
2025_03_10,4,3,FLATLINE,FLATLINE_NOISE,1,0.0,False,15.0,6.295
2025_03_10,5,3,FLATLINE,FLATLINE_NOISE,0,21.0,False,15.0,3.779
2025_03_10,0,4,FLATLINE,EXPONENTIAL_DOWN_C0,-1,-19.25,False,10.0,2.122
2025_03_10,1,4,FLATLINE,EXPONENTIAL_DOWN_C0,1,3.5,False,5.0,1.163
2025_03_10,2,4,LINEAR_DOWN,EXPONENTIAL_DOWN_C0,0,119.25,False,95.0,3.782
2025_03_10,3,4,LINEAR_UP,EXPONENTIAL_DOWN_C0,1,17.25,False,45.0,2.293
2025_03_10,4,4,LINEAR_DOWN,EXPONENTIAL_DOWN_C0,-1,70.0,False,60.0,2.569
2025_03_10,5,4,EXPONENTIAL_UP,EXPONENTIAL_DOWN_C0,-1,38.5,False,30.0,2.871
2025_03_10,6,4,FLATLINE,EXPONENTIAL_DOWN_C0,1,10.75,False,5.0,0.686
2025_03_10,7,4,FLATLINE,EXPONENTIAL_DOWN_C0,1,2.5,False,5.0,1.39
2025_03_10,8,4,LINEAR_DOWN,EXPONENTIAL_DOWN_C0,0,90.25,False,65.0,2.475
2025_03_10,9,4,FLATLINE,EXPONENTIAL_DOWN_C0,1,29.25,False,10.0,1.729
2025_03_10,10,4,FLATLINE,EXPONENTIAL_DOWN_C0,1,17.5,False,10.0,1.486
2025_03_10,11,4,FLATLINE,EXPONENTIAL_DOWN_C0,1,-12.75,False,15.0,2.201
2025_03_10,12,4,LINEAR_DOWN,EXPONENTIAL_DOWN_C0,0,277.25,True,120.0,9.251
2025_03_10,13,4,LINEAR_UP,EXPONENTIAL_DOWN_C0,1,12.75,False,30.0,3.053
2025_03_10,14,4,FLATLINE,EXPONENTIAL_DOWN_C0,-1,28.5,False,5.0,1.495
2025_03_10,15,4,FLATLINE,EXPONENTIAL_DOWN_C0,1,-19.25,False,5.0,1.526
2025_03_10,16,4,LINEAR_DOWN,EXPONENTIAL_DOWN_C0,0,171.0,True,195.0,4.178
2025_03_10,17,4,LINEAR_UP,EXPONENTIAL_DOWN_C0,1,61.5,False,55.0,2.984
2025_03_10,18,4,FLATLINE,EXPONENTIAL_DOWN_C0,1,-13.25,False,10.0,0.867
2025_03_10,19,4,FLATLINE,EXPONENTIAL_DOWN_C0,1,6.5,False,5.0,1.246
2025_03_10,0,5,LOGARITHMIC_UP,FLATLINE_C6,1,-57.0,True,90.0,9.163
2025_03_10,0,6,LINEAR_DOWN,FLATLINE_C6,1,1.75,False,30.0,12.455
2025_03_10,0,7,FLATLINE,FLATLINE_NOISE,5,5.5,False,20.0,0.965
2025_03_10,1,7,FLATLINE,FLATLINE_NOISE,3,-17.5,False,5.0,1.1
2025_03_10,2,7,EXPONENTIAL_DOWN,FLATLINE_NOISE,-1,51.0,False,20.0,3.257
2025_03_10,0,8,LOGARITHMIC_DOWN,FLATLINE_C6,1,45.75,False,44.92,3.624
2025_03_11,0,0,FLATLINE,NOISE_NOISE,-1,0.0,False,15.0,1.711
2025_03_11,1,0,FLATLINE,NOISE_NOISE,1,23.25,False,5.0,1.086
2025_03_11,2,0,FLATLINE,NOISE_NOISE,1,13.75,False,5.0,1.062
2025_03_11,3,0,FLATLINE,NOISE_NOISE,1,23.5,False,5.0,0.946
2025_03_11,4,0,EXPONENTIAL_DOWN,NOISE_NOISE,1,96.0,True,60.0,6.311
2025_03_11,0,1,LINEAR_UP,LINEAR_UP_C0,2,224.5,True,140.08,5.387
2025_03_11,1,1,LINEAR_DOWN,LINEAR_UP_C0,1,1.5,False,19.92,3.412
2025_03_11,2,1,LINEAR_UP,LINEAR_UP_C0,2,27.75,False,50.0,4.482
2025_03_11,3,1,FLATLINE,LINEAR_UP_C0,1,-7.5,False,25.0,2.393
2025_03_11,4,1,FLATLINE,LINEAR_UP_C0,1,-14.75,False,15.0,2.465
2025_03_11,5,1,FLATLINE,LINEAR_UP_C0,1,11.75,False,10.0,2.261
2025_03_11,6,1,FLATLINE,LINEAR_UP_C0,1,27.0,False,10.0,1.715
2025_03_11,7,1,FLATLINE,LINEAR_UP_C0,1,17.5,False,5.0,0.882
2025_03_11,8,1,FLATLINE,LINEAR_UP_C0,1,24.75,False,10.0,1.473
2025_03_11,9,1,FLATLINE,LINEAR_UP_C0,1,0.25,False,5.0,1.398
2025_03_11,10,1,LINEAR_UP,LINEAR_UP_C0,2,3.25,False,30.0,3.688
2025_03_11,11,1,EXPONENTIAL_DOWN,LINEAR_UP_C0,1,24.5,False,25.0,3.816
2025_03_11,0,2,EXPONENTIAL_DOWN,FLATLINE_C4,-1,43.5,False,30.0,4.617
2025_03_11,0,3,FLATLINE,LINEAR_UP_C3,1,-28.0,False,10.0,2.103
2025_03_11,1,3,LINEAR_UP,LINEAR_UP_C3,0,99.0,False,75.0,3.366
2025_03_11,2,3,FLATLINE,LINEAR_UP_C3,1,-1.5,False,15.0,2.387
2025_03_11,3,3,FLATLINE,LINEAR_UP_C3,1,4.75,False,15.0,1.647
2025_03_11,4,3,LINEAR_DOWN,LINEAR_UP_C3,1,11.25,False,45.0,7.345
2025_03_11,5,3,FLATLINE,LINEAR_UP_C3,1,15.25,False,5.0,1.595
2025_03_11,6,3,FLATLINE,LINEAR_UP_C3,1,20.75,False,15.0,1.627
2025_03_11,7,3,FLATLINE,LINEAR_UP_C3,1,-8.0,False,5.0,1.464
2025_03_11,8,3,FLATLINE,LINEAR_UP_C3,1,6.25,False,10.0,3.364
2025_03_11,0,4,LOGARITHMIC_DOWN,FLATLINE_C4,-1,-0.5,False,30.0,6.179
2025_03_11,0,5,EXPONENTIAL_UP,FLATLINE_C7,-1,47.25,False,30.0,2.329
2025_03_11,0,6,FLATLINE,LINEAR_DOWN_NOISE,1,-38.75,False,10.0,1.562
2025_03_11,1,6,LINEAR_DOWN,LINEAR_DOWN_NOISE,0,105.75,True,80.0,4.541
2025_03_11,0,7,EXPONENTIAL_UP,EXPONENTIAL_DOWN_C1,1,46.5,False,30.0,5.983
2025_03_11,1,7,FLATLINE,EXPONENTIAL_DOWN_C1,2,69.75,False,5.0,2.309
2025_03_11,2,7,FLATLINE,EXPONENTIAL_DOWN_C1,1,46.5,False,15.0,1.39
2025_03_11,3,7,LOGARITHMIC_DOWN,EXPONENTIAL_DOWN_C1,2,114.75,False,45.0,2.406
2025_03_11,4,7,LINEAR_UP,EXPONENTIAL_DOWN_C1,1,110.25,False,25.0,3.608
2025_03_11,0,8,LINEAR_UP,FLATLINE_C6,0,58.0,False,25.0,1.792
2025_03_11,1,8,LINEAR_DOWN,FLATLINE_C6,1,206.25,False,110.0,3.382
2025_03_11,0,9,LINEAR_UP,LINEAR_UP_C1,2,261.5,False,95.0,3.149
2025_03_11,1,9,LINEAR_DOWN,LINEAR_UP_C1,2,182.25,True,80.0,4.583
2025_03_11,2,9,FLATLINE,LINEAR_UP_C1,0,31.0,False,5.0,1.952
2025_03_11,3,9,FLATLINE,LINEAR_UP_C1,-1,-12.75,False,75.0,1.548
2025_03_11,0,10,LINEAR_UP,FLATLINE_NOISE,4,29.0,False,80.0,3.301
2025_03_11,1,10,EXPONENTIAL_DOWN,FLATLINE_NOISE,2,-2.75,False,30.0,3.577
2025_03_11,2,10,FLATLINE,FLATLINE_NOISE,3,26.25,False,9.92,3.118
2025_03_12,0,0,NOISE,NOISE_NOISE,-1,0.0,False,15.0,49.497
2025_03_12,1,0,FLATLINE,NOISE_NOISE,1,8.0,False,5.0,1.96
2025_03_12,2,0,FLATLINE,NOISE_NOISE,1,8.25,False,15.0,6.812
2025_03_12,3,0,FLATLINE,NOISE_NOISE,1,16.5,False,25.0,2.693
2025_03_12,4,0,FLATLINE,NOISE_NOISE,1,11.5,False,5.0,0.515
2025_03_12,5,0,FLATLINE,NOISE_NOISE,1,18.0,False,15.0,0.706
2025_03_12,6,0,FLATLINE,NOISE_NOISE,1,10.0,False,5.0,1.139
2025_03_12,7,0,FLATLINE,NOISE_NOISE,1,12.75,False,5.0,1.468
2025_03_12,0,1,EXPONENTIAL_UP,FLATLINE_C1,1,30.25,False,60.0,2.047
2025_03_12,0,2,EXPONENTIAL_DOWN,FLATLINE_C1,2,31.25,False,60.0,3.815
2025_03_12,0,3,FLATLINE,FLATLINE_C2,0,-6.5,False,15.17,2.206
2025_03_12,1,3,FLATLINE,FLATLINE_C2,0,11.0,False,19.83,0.896
2025_03_12,2,3,FLATLINE,FLATLINE_C2,-1,6.75,False,10.0,1.985
2025_03_12,0,4,LOGARITHMIC_UP,FLATLINE_C1,1,2.75,False,45.0,2.227
2025_03_12,1,4,LINEAR_DOWN,FLATLINE_C1,3,-4.25,False,30.0,2.922
2025_03_12,0,5,EXPONENTIAL_UP,FLATLINE_C1,1,20.25,False,30.08,7.717
2025_03_12,0,6,FLATLINE,FLATLINE_C3,2,-21.75,False,14.92,1.997
2025_03_12,1,6,LINEAR_DOWN,FLATLINE_C3,0,36.25,True,80.0,5.825
2025_03_12,2,6,FLATLINE,FLATLINE_C3,2,29.0,False,10.0,3.628
2025_03_12,0,7,LINEAR_UP,FLATLINE_C9,1,10.75,False,30.0,3.157
2025_03_12,0,8,EXPONENTIAL_UP,LINEAR_UP_C0,2,91.75,True,85.0,4.197
2025_03_12,1,8,FLATLINE,LINEAR_UP_C0,-1,14.5,False,10.0,2.282
2025_03_12,2,8,FLATLINE,LINEAR_UP_C0,1,8.25,False,15.0,2.187
2025_03_12,3,8,FLATLINE,LINEAR_UP_C0,1,18.25,False,20.0,1.902
2025_03_12,4,8,FLATLINE,LINEAR_UP_C0,1,6.75,False,5.0,1.382
2025_03_12,5,8,FLATLINE,LINEAR_UP_C0,1,-16.25,False,20.08,1.754
2025_03_12,6,8,LINEAR_UP,LINEAR_UP_C0,2,25.0,False,69.92,3.178
2025_03_12,7,8,FLATLINE,LINEAR_UP_C0,1,-19.5,False,20.0,2.266
2025_03_12,8,8,EXPONENTIAL_UP,LINEAR_UP_C0,2,84.25,False,55.0,17.225
2025_03_12,9,8,FLATLINE,LINEAR_UP_C0,0,10.0,False,5.0,1.116
2025_03_12,10,8,FLATLINE,LINEAR_UP_C0,-1,87.75,False,20.0,3.562
2025_03_12,11,8,FLATLINE,LINEAR_UP_C0,0,104.5,False,25.0,2.59
2025_03_12,12,8,FLATLINE,LINEAR_UP_C0,-1,50.25,False,5.0,0.747
2025_03_12,13,8,EXPONENTIAL_DOWN,LINEAR_UP_C0,0,86.25,False,20.0,2.075
2025_03_12,0,9,LINEAR_DOWN,FLATLINE_C6,1,120.25,False,55.0,3.956
2025_03_12,1,9,EXPONENTIAL_UP,FLATLINE_C6,0,127.0,False,35.0,2.089
2025_03_12,0,10,LINEAR_UP,FLATLINE_C6,0,55.75,False,40.0,2.124
2025_03_12,1,10,FLATLINE,FLATLINE_C6,0,59.5,False,5.0,1.777
2025_03_12,2,10,FLATLINE,FLATLINE_C6,0,69.0,False,10.0,1.505
2025_03_12,3,10,FLATLINE,FLATLINE_C6,0,63.75,False,5.0,2.224
2025_03_12,0,11,FLATLINE,FLATLINE_C8,-1,-38.75,False,20.0,2.018
2025_03_12,1,11,FLATLINE,FLATLINE_C8,0,36.25,False,10.0,1.407
2025_03_12,2,11,FLATLINE,FLATLINE_C8,2,24.5,False,10.0,1.667
2025_03_12,3,11,FLATLINE,FLATLINE_C8,0,-32.75,False,10.0,1.533
2025_03_12,4,11,LINEAR_DOWN,FLATLINE_C8,-1,5.5,False,40.0,4.264
2025_03_12,5,11,EXPONENTIAL_UP,FLATLINE_C8,-1,34.0,False,30.0,2.255
2025_03_12,0,12,FLATLINE,FLATLINE_C6,0,-35.25,False,15.0,1.434
2025_03_12,1,12,LOGARITHMIC_DOWN,FLATLINE_C6,1,64.75,False,90.0,3.697
2025_03_12,0,13,FLATLINE,FLATLINE_C0,1,-5.5,False,75.0,3.079
2025_03_12,1,13,FLATLINE,FLATLINE_C0,1,30.5,False,15.0,3.103
2025_03_12,0,14,LINEAR_UP,FLATLINE_NOISE,6,19.5,False,45.0,3.383
2025_03_12,0,15,LINEAR_UP,FLATLINE_C0,1,56.5,False,59.92,5.385
2025_03_13,0,0,FLATLINE,NOISE_NOISE,-1,0.0,False,15.0,1.8
2025_03_13,1,0,LINEAR_DOWN,NOISE_NOISE,1,63.75,False,95.0,2.983
2025_03_13,2,0,FLATLINE,NOISE_NOISE,1,15.5,False,10.0,1.2
2025_03_13,3,0,LINEAR_DOWN,NOISE_NOISE,1,164.25,True,200.0,5.103
2025_03_13,4,0,FLATLINE,NOISE_NOISE,1,25.25,False,10.0,2.182
2025_03_13,5,0,LINEAR_DOWN,NOISE_NOISE,1,59.25,False,75.0,3.432
2025_03_13,6,0,LINEAR_UP,NOISE_NOISE,1,51.25,False,50.0,3.242
2025_03_13,7,0,EXPONENTIAL_DOWN,NOISE_NOISE,1,47.5,False,50.0,1.973
2025_03_13,8,0,FLATLINE,NOISE_NOISE,1,21.5,False,5.0,1.036
2025_03_13,0,1,LINEAR_UP,LINEAR_UP_NOISE,1,153.5,False,140.0,3.598
2025_03_13,1,1,LINEAR_DOWN,LINEAR_UP_NOISE,0,89.5,True,70.0,4.938
2025_03_13,0,2,LOGARITHMIC_DOWN,EXPONENTIAL_DOWN_C0,1,-26.0,False,30.0,2.787
2025_03_13,1,2,LINEAR_UP,EXPONENTIAL_DOWN_C0,1,-19.0,True,70.0,4.535
2025_03_13,2,2,LINEAR_DOWN,EXPONENTIAL_DOWN_C0,0,6.75,False,40.0,6.641
2025_03_13,3,2,FLATLINE,EXPONENTIAL_DOWN_C0,1,-67.75,False,35.0,1.868
2025_03_13,4,2,LINEAR_DOWN,EXPONENTIAL_DOWN_C0,0,144.5,False,85.0,2.924
2025_03_13,5,2,FLATLINE,EXPONENTIAL_DOWN_C0,1,-12.25,False,5.0,0.943
2025_03_13,6,2,FLATLINE,EXPONENTIAL_DOWN_C0,1,-45.0,False,10.0,1.752
2025_03_13,7,2,FLATLINE,EXPONENTIAL_DOWN_C0,-1,-21.5,False,10.0,3.307
2025_03_13,8,2,LINEAR_DOWN,EXPONENTIAL_DOWN_C0,0,135.5,False,75.0,3.08
2025_03_13,9,2,EXPONENTIAL_UP,EXPONENTIAL_DOWN_C0,1,132.5,False,30.0,4.179
2025_03_13,0,3,LOGARITHMIC_UP,FLATLINE_NOISE,6,-15.0,False,40.0,2.36
2025_03_13,1,3,FLATLINE,FLATLINE_NOISE,2,-1.5,False,5.0,2.132
2025_03_13,0,4,EXPONENTIAL_DOWN,FLATLINE_C6,1,57.75,False,45.0,3.8
2025_03_13,0,5,FLATLINE,FLATLINE_C0,0,-44.0,False,10.0,1.491
2025_03_13,1,5,LINEAR_UP,FLATLINE_C0,1,-2.75,False,35.0,1.981
2025_03_13,2,5,FLATLINE,FLATLINE_C0,1,-10.75,False,75.0,1.562
2025_03_13,3,5,EXPONENTIAL_UP,FLATLINE_C0,1,34.5,False,30.0,3.958
2025_03_13,0,6,LINEAR_UP,FLATLINE_C0,1,24.25,False,30.0,2.149
2025_03_13,0,7,LOGARITHMIC_UP,FLATLINE_C9,4,9.0,False,35.0,1.692
2025_03_13,1,7,FLATLINE,FLATLINE_C9,4,12.5,False,10.0,2.531
2025_03_13,2,7,FLATLINE,FLATLINE_C9,4,5.5,False,5.0,1.221
2025_03_13,3,7,FLATLINE,FLATLINE_C9,4,8.75,False,9.92,1.424
2025_03_14,0,0,NOISE,NOISE_NOISE,-1,0.0,False,75.0,3.184
2025_03_14,1,0,EXPONENTIAL_DOWN,NOISE_NOISE,1,14.0,False,25.0,3.222
2025_03_14,2,0,FLATLINE,NOISE_NOISE,1,25.5,False,15.0,5.221
2025_03_14,3,0,FLATLINE,NOISE_NOISE,1,12.5,False,5.0,1.469
2025_03_14,4,0,FLATLINE,NOISE_NOISE,1,-6.75,False,5.0,0.564
2025_03_14,5,0,FLATLINE,NOISE_NOISE,1,-2.0,False,5.0,0.649
2025_03_14,6,0,FLATLINE,NOISE_NOISE,1,17.25,False,25.0,1.776
2025_03_14,7,0,FLATLINE,NOISE_NOISE,1,3.75,False,5.0,1.369
2025_03_14,8,0,LINEAR_UP,NOISE_NOISE,1,29.0,False,80.0,2.958
2025_03_14,9,0,FLATLINE,NOISE_NOISE,1,-2.25,False,10.0,4.568
2025_03_14,10,0,FLATLINE,NOISE_NOISE,1,7.5,False,15.0,4.649
2025_03_14,11,0,LINEAR_DOWN,NOISE_NOISE,1,15.75,False,45.0,5.094
2025_03_14,12,0,FLATLINE,NOISE_NOISE,1,8.75,False,10.0,3.661
2025_03_14,13,0,FLATLINE,NOISE_NOISE,1,26.0,False,10.0,3.142
2025_03_14,0,1,LINEAR_DOWN,LINEAR_DOWN_NOISE,0,16.5,False,70.0,3.117
