**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

month,feature,corr,p_value
2025-08,std_price,-0.20669714860430424,4.6403737734738016e-06
2025-08,variance_ratio,0.034048997904477275,0.45531634350586914
2025-08,bar_range,-0.006459238209998199,0.8874038497820304
2025-08,wick_ratio,-0.012282602442406464,0.7877383172421296
2025-08,vwap_distance,-0.14493640343463207,0.0014034915629155818
2025-08,time_of_day,0.08115363304661391,0.07477316747411748
2025-09,dmi_diff,-0.06166429787963346,0.16774699263148043
2025-09,dmi_gap,-0.0866033058955441,0.05247876557802733
2025-09,vol_rel,-0.14175129838851735,0.001451729395083565
2025-09,dir_vol,0.04908332661681525,0.27235752524718876
2025-09,velocity,0.03847587470069493,0.3896593993131223
2025-09,z_se,0.045496163880994867,0.30899006282656494
2025-09,price_accel,0.025040206732398276,0.575667760361719
2025-09,std_price,0.024199789916133908,0.5885541211304728
2025-09,variance_ratio,0.15243856051980506,0.0006103463344334233
2025-09,bar_range,-0.028902465161257593,0.5182206220653673
2025-09,wick_ratio,0.04490919783181083,0.31527984667474074
2025-09,vwap_distance,-0.0010266390678731311,0.9816942421867874
2025-09,time_of_day,0.022149775351554855,0.6205315117379964
2025-10,dmi_diff,-0.27534460230809504,1.2706079070793723e-10
2025-10,dmi_gap,-0.11058993435552833,0.011068641871111746
2025-10,vol_rel,-0.054742678485917254,0.20960361452468487
2025-10,dir_vol,0.007983721492413996,0.8549189595556261
2025-10,velocity,-0.006455585702265787,0.8824633805908301
2025-10,z_se,-0.3548772388147399,4.374104767426077e-17
2025-10,price_accel,0.02743193252303755,0.5297658040766721
2025-10,std_price,0.02553688116433942,0.5585878671036446
2025-10,variance_ratio,0.04546191316882555,0.2975479896645686
2025-10,bar_range,0.09799470266424622,0.024468710601498682
2025-10,wick_ratio,-0.012730845642774234,0.7706129198863165
2025-10,vwap_distance,-0.2248520582604771,1.8233576757347487e-07
2025-10,time_of_day,-0.12788300852253065,0.00327306267153585
2025-11,dmi_diff,-0.19876034529150582,2.4593712380220768e-05
2025-11,dmi_gap,0.12111406116986058,0.010641788598790752
2025-11,vol_rel,0.20381050250834018,1.50498457333452e-05
2025-11,dir_vol,-0.0069449250077190175,0.8839783172543327
2025-11,velocity,-0.03156611457348475,0.507055426645297
2025-11,z_se,-0.18676477349492082,7.520947129225215e-05
2025-11,price_accel,-0.013020385341312501,0.7843960774712341
2025-11,std_price,0.17823263180213042,0.00015982918088001851
2025-11,variance_ratio,0.1244675630720709,0.008651723287113711
2025-11,bar_range,0.26955779159484916,7.876031804268188e-09
2025-11,wick_ratio,-0.041665719821773084,0.3811079575926434
2025-11,vwap_distance,-0.27476141101757867,3.934104389835333e-09
2025-11,time_of_day,0.08276669724973706,0.0814951057254376
2025-12,dmi_diff,0.10089424134842401,0.023777374976381417
2025-12,dmi_gap,0.13357119628505537,0.002711364470402472
2025-12,vol_rel,-0.009678583511478782,0.828740977701012
2025-12,dir_vol,-0.019765864069562617,0.6586336584718909
2025-12,velocity,-0.012345699513897563,0.7826012513217234
2025-12,z_se,0.12747703841172286,0.004226696954491266
2025-12,price_accel,0.03627986184227284,0.41730600640031523
2025-12,std_price,-0.049990514584965305,0.2635831355900414
2025-12,variance_ratio,-0.10664217503084816,0.016838325669725655
2025-12,bar_range,-0.006915871720055613,0.877161789439385
2025-12,wick_ratio,0.012770428506272769,0.7753190468176216
2025-12,vwap_distance,0.039334371052137655,0.3791605885386866
2025-12,time_of_day,-0.008991361188572631,0.8407325808117951
2026-01,dmi_diff,-0.13479889492967131,0.003116447977553565
2026-01,dmi_gap,-0.09706796871379132,0.03367823286339575
2026-01,vol_rel,-0.001376164832766597,0.9760350250224615
2026-01,dir_vol,-0.003081753182846387,0.9463656459524479
2026-01,velocity,-0.03729780257760284,0.4153855468043238
2026-01,z_se,-0.09522871003536959,0.037208081758756645
2026-01,price_accel,0.001449851837034569,0.9747522321181666
2026-01,std_price,-0.03275133155095762,0.4745367856809548
2026-01,variance_ratio,0.011667896312535965,0.7989502985353069
2026-01,bar_range,0.0077322604435654,0.8659624891294609
2026-01,wick_ratio,0.03320125902804127,0.46848492739610925
2026-01,vwap_distance,-0.15078121659917326,0.0009318581495294047
2026-01,time_of_day,0.0002517001998929237,0.9956161769503724
2026-02,dmi_diff,-0.16513841616832972,0.0003540621372873441
2026-02,dmi_gap,0.08928322649642025,0.054621901259604894
2026-02,vol_rel,0.10538329193712334,0.02319379084759249
2026-02,dir_vol,0.02057367284170413,0.6584733617148382
2026-02,velocity,-0.002530601112926031,0.9566452633335205
2026-02,z_se,-0.29390853143770124,1.0675505991054214e-10
2026-02,price_accel,0.025987948654337893,0.5765836213290156
2026-02,std_price,0.13757122022597063,0.0029827251831217724
2026-02,variance_ratio,0.06237609128579358,0.17982165559805877
2026-02,bar_range,0.13543324429154432,0.0034675389871675153
2026-02,wick_ratio,-0.01214664141182816,0.7941306429862505
2026-02,vwap_distance,-0.16092382383423456,0.0005018625488100317
2026-02,time_of_day,0.0833890039791673,0.07272771310058049
2026-03,dmi_diff,-0.31157862602716385,1.1096072886571577e-09
2026-03,dmi_gap,-0.08691543522202957,0.09686508272138857
2026-03,vol_rel,-0.08738387048168549,0.09507225527208088
2026-03,dir_vol,-0.09414370123146475,0.07203270110128528
2026-03,velocity,-0.10367474697931409,0.04748216500173878
2026-03,z_se,-0.42039055422472404,4.1777564817728017e-17
2026-03,price_accel,-0.030702203786226658,0.5582138579792361
2026-03,std_price,0.1594708590761267,0.002213171820565603
2026-03,variance_ratio,0.18948097768433803,0.00026670203313278336
2026-03,bar_range,-0.04385676617505028,0.40283888567213244
2026-03,wick_ratio,-0.043901119101160506,0.4023628698579055
2026-03,vwap_distance,-0.36285751420191886,7.850360133360357e-13
2026-03,time_of_day,-0.2326983770480197,6.844908812844289e-06
