day,idx,parent_chain,shape,parent_shape,seed_shape,seed_r,length_min,fwd_return
2025_01_08,0,4/0/2/3,NOISE,STEEP_LINEAR_DOWN,ROUNDED_U_UP,0.8033951916956705,4.17,0.5
2025_01_08,0,4/1/0/0,NOISE,STEEP_LINEAR_DOWN,DAMPED_OSCILLATOR,0.7519753897332208,3.83,-3.75
2025_01_08,2,4/1/0/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5796515745582548,2.17,1.25
2025_01_08,5,4/1/0/0,NOISE,STEEP_LINEAR_DOWN,LOGARITHMIC_DOWN,0.894301726698521,1.08,-0.25
2025_01_08,1,4/1/0/3,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6036608732326149,1.25,-1.25
2025_01_08,0,6/0/3/2,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6857054036510093,2.08,-0.75
2025_01_08,2,6/0/3/2,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_UP,0.7805556280625059,1.58,6.25
2025_01_08,1,6/1/0/0,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_DOWN,0.8387889047297372,2.25,10.0
2025_01_08,1,7/0/1/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6790183773869602,2.42,4.25
2025_01_08,6,7/0/1/1,NOISE,STEEP_LINEAR_DOWN,EXPAND_OSCILLATOR,0.8784327439004914,1.08,3.75
2025_01_08,9,7/0/1/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.4411133997939818,1.58,-11.0
2025_01_08,1,7/1/0/4,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.9186275387106424,0.83,-0.75
2025_01_08,0,7/1/3/3,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_UP,0.9316962167935819,0.75,-15.0
2025_01_08,0,7/1/4/2,NOISE,STEEP_LINEAR_DOWN,DAMPED_OSCILLATOR,0.7991202928350511,2.42,5.0
2025_01_08,0,7/2/1/0,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_UP,0.9329254155593597,1.0,1.5
2025_01_08,0,7/2/4/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7443496309209324,3.33,-31.0
2025_01_08,0,7/2/5/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7486741500374193,1.0,3.75
2025_01_08,1,8/0/3/1,NOISE,STEEP_LINEAR_DOWN,LOGARITHMIC_DOWN,0.7897608192844765,3.17,-2.75
2025_01_08,1,8/1/0/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6317371545567892,1.42,5.5
2025_01_08,0,9/0/1/0,NOISE,STEEP_LINEAR_DOWN,SINE_WAVE,0.8465302269249017,2.75,-1.25
2025_01_08,2,9/0/1/0,NOISE,STEEP_LINEAR_DOWN,STEP_UP,0.8679041108604015,0.92,-7.25
2025_01_08,4,9/0/1/0,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_UP,0.9114148866494183,0.75,12.25
2025_01_08,1,9/1/1/1,NOISE,STEEP_LINEAR_DOWN,LOGARITHMIC_DOWN,0.8401232401780202,1.0,-11.0
2025_01_08,3,9/1/1/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7274557918779183,1.25,0.75
2025_01_08,0,9/1/2/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6799640218462817,1.33,-17.25
2025_01_08,0,9/3/0/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.45665275348952794,3.67,-6.5
2025_01_08,2,9/3/0/0,NOISE,STEEP_LINEAR_DOWN,SINE_WAVE,0.823898896685127,3.17,0.0
2025_01_08,1,9/3/3/3,NOISE,STEEP_LINEAR_DOWN,NOISE,0.49426717050055774,1.0,4.75
2025_01_08,0,9/4/0/5,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7341977863281252,1.08,4.0
2025_01_08,0,10/1/0/2,NOISE,STEEP_LINEAR_DOWN,ROUNDED_U_DOWN,0.8795825270309646,1.58,-3.75
2025_01_09,0,0/0/2/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6280367026672936,1.42,-1.5
2025_01_09,0,0/1/0/3,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7363811358047728,1.08,1.5
2025_01_09,0,1/0/3/2,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.8073533105246076,5.83,-1.0
2025_01_09,0,1/0/4/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.2961161785423804,4.75,1.25
2025_01_09,3,1/0/4/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6571746375161238,3.0,1.25
2025_01_09,3,1/1/0/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.707734249050089,1.75,1.5
2025_01_09,0,2/0/0/5,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6291557184577339,1.75,0.0
2025_01_09,0,2/1/3/1,NOISE,STEEP_LINEAR_DOWN,LOGARITHMIC_DOWN,0.8642377180047984,3.17,-4.25
2025_01_09,2,2/1/3/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5661593603950383,1.25,-4.75
2025_01_09,4,2/1/3/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6684225345562089,2.42,-1.5
2025_01_09,10,2/1/3/1,NOISE,STEEP_LINEAR_DOWN,LOGARITHMIC_DOWN,0.7813194909227228,1.17,1.5
2025_01_09,13,2/1/3/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.721200833696697,4.08,-0.25
2025_01_09,15,2/1/3/1,NOISE,STEEP_LINEAR_DOWN,BACK_SKEWED_UP,0.8138487413733089,0.75,-2.5
2025_01_09,17,2/1/3/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7022693552281211,1.25,-4.5
2025_01_09,19,2/1/3/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.3244428422615252,1.33,3.5
2025_01_09,1,2/1/3/3,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6099145002403585,2.75,-12.25
2025_01_09,3,2/1/3/3,NOISE,STEEP_LINEAR_DOWN,LOGARITHMIC_UP,0.7984002031609924,1.17,-1.25
2025_01_09,0,2/2/2/5,NOISE,STEEP_LINEAR_DOWN,EXPAND_OSCILLATOR,0.7850605384937572,5.42,-3.75
2025_01_09,2,2/2/2/5,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6584033041150112,1.08,0.0
2025_01_09,5,2/2/2/5,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6837391558696604,1.33,4.25
2025_01_09,0,3/1/2/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7242211233332787,2.08,-4.25
2025_01_09,1,3/1/3/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7246653144881217,2.75,-0.25
2025_01_09,3,3/1/3/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5418476681911664,3.92,-0.75
2025_01_09,0,3/3/0/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.46030859000197966,3.33,-0.5
2025_01_09,1,4/0/1/2,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5380328214949299,2.83,-3.0
2025_01_09,0,5/0/0/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.3387907641883461,2.83,-3.25
2025_01_09,2,5/0/2/1,NOISE,STEEP_LINEAR_DOWN,LOGARITHMIC_DOWN,0.9316935357381723,0.25,-5.25
2025_01_09,4,5/0/2/1,NOISE,STEEP_LINEAR_DOWN,LOGARITHMIC_DOWN,0.8198763154216154,3.17,-2.5
2025_01_09,6,5/0/2/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6839474155564259,1.42,4.0
2025_01_09,8,5/0/2/1,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_UP,0.8369156718969862,1.25,-2.75
2025_01_09,2,5/0/2/3,NOISE,STEEP_LINEAR_DOWN,STEP_DOWN,0.7796325307154514,3.58,2.0
2025_01_10,0,0/0/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.619284452394321,1.33,4.0
2025_01_10,2,0/0/1/0,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.8415682295023275,1.42,0.0
2025_01_10,5,0/0/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6577232731250267,1.33,-4.0
2025_01_10,0,1/2/3/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6914575148960003,2.0,-0.5
2025_01_10,2,1/2/3/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5404731210619029,2.5,-1.25
2025_01_10,6,1/2/3/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.3853567522141193,1.5,-2.75
2025_01_10,0,1/2/3/3,NOISE,STEEP_LINEAR_DOWN,NOISE,0.4697553795315669,1.67,-0.5
2025_01_10,0,1/3/0/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5013114835772118,4.0,0.0
2025_01_10,2,1/3/0/1,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_DOWN,0.8994948669685408,1.92,1.5
2025_01_10,4,1/3/0/1,NOISE,STEEP_LINEAR_DOWN,LOGARITHMIC_DOWN,0.927276115309553,0.67,2.0
2025_01_10,6,1/3/0/1,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_UP,0.755452169594004,0.83,-0.5
2025_01_10,2,2/1/3/1,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.925466635581652,1.08,0.75
2025_01_10,0,2/1/4/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6445308062845686,2.75,-3.0
2025_01_10,2,2/1/4/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5978648154219749,1.25,-4.25
2025_01_10,4,2/1/4/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5676771504493301,1.33,2.25
2025_01_10,0,3/0/1/6,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7410765432647173,1.67,-4.5
2025_01_10,3,3/0/1/6,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.9176313729809811,0.83,0.25
2025_01_10,0,3/2/0/2,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5319783830227517,1.0,1.25
2025_01_10,0,4/0/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.37976433280781086,1.5,-2.25
2025_01_10,0,4/4/0/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6705498753022269,1.58,-7.0
2025_01_10,2,4/4/0/0,NOISE,STEEP_LINEAR_DOWN,FRONT_SKEWED_UP,0.9409863348518894,1.25,-0.5
2025_01_10,0,4/4/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5650908310360316,3.08,-4.5
2025_01_10,0,5/1/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7264978380234474,1.08,3.75
2025_01_10,3,5/1/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.33091176398756367,1.17,1.75
2025_01_10,5,5/1/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.4803273084490014,1.75,-11.25
2025_01_10,7,5/1/1/0,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_UP,0.9352448351660059,1.0,4.5
2025_01_10,0,5/1/2/2,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_UP,0.8202563895012855,1.5,-1.0
2025_01_10,0,6/0/0/5,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6714361961513083,1.5,0.5
2025_01_10,0,6/0/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.555464710711848,1.08,2.25
2025_01_10,4,6/0/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6776538641218551,1.5,
2025_01_12,0,0/1/0/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.3973086396624094,3.33,-6.75
2025_01_13,0,0/2/0/2,NOISE,STEEP_LINEAR_DOWN,FRONT_SKEWED_DOWN,0.9395768095573661,1.25,-5.75
