day,idx,parent_chain,shape,parent_shape,length_min,subshape_id
2025_02_13,0,4/0/2/0,NOISE,STEEP_LINEAR_DOWN,2.67,0
2025_09_17,5,3/1/2/1,NOISE,STEEP_LINEAR_DOWN,1.0,0
2026_03_05,0,5/0/1/1,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_07_11,2,3/0/0/1,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_05_20,3,3/1/2/1,NOISE,STEEP_LINEAR_DOWN,4.0,0
2026_02_13,3,7/0/1/5,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_10_07,1,0/0/2/2,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_03_20,4,2/1/0/1,NOISE,STEEP_LINEAR_DOWN,3.25,0
2025_11_06,0,4/0/4/0,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_02_17,0,3/0/0/1,NOISE,STEEP_LINEAR_DOWN,2.58,0
2025_12_08,2,4/0/2/0,NOISE,STEEP_LINEAR_DOWN,2.25,0
2025_08_29,2,1/3/0/1,NOISE,STEEP_LINEAR_DOWN,3.42,0
2025_12_11,2,2/4/3/4,NOISE,STEEP_LINEAR_DOWN,1.33,0
2026_02_17,2,1/3/0/1,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_02_12,0,5/0/5/3,NOISE,STEEP_LINEAR_DOWN,2.5,0
2026_02_24,10,5/0/1/0,NOISE,STEEP_LINEAR_DOWN,3.83,0
2025_11_20,7,5/0/0/0,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_03_05,1,4/2/2/5,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_06_12,2,9/2/0/3,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_05_13,0,4/2/1/2,NOISE,STEEP_LINEAR_DOWN,0.5,0
2026_03_18,0,3/3/2/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_03_14,0,3/3/4/2,NOISE,STEEP_LINEAR_DOWN,3.25,0
2025_06_02,3,5/2/3/1,NOISE,STEEP_LINEAR_DOWN,1.58,0
2025_06_16,1,4/3/3/0,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_06_17,0,3/1/0/9,NOISE,STEEP_LINEAR_DOWN,3.33,0
2025_07_09,1,4/0/2/1,NOISE,STEEP_LINEAR_DOWN,3.0,0
2025_01_06,0,0/0/1/3,NOISE,STEEP_LINEAR_DOWN,1.5,0
2026_02_09,6,1/6/0/10,NOISE,STEEP_LINEAR_DOWN,2.93,0
2025_09_12,7,4/0/5/1,NOISE,STEEP_LINEAR_DOWN,2.58,0
2025_09_10,4,4/0/12/0,NOISE,STEEP_LINEAR_DOWN,2.25,0
2025_06_11,1,2/2/1/0,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_10_16,2,0/0/1/3,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_06_18,2,2/0/0/3,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_05_23,3,6/2/1/0,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_05_20,0,5/0/7/2,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_01_31,4,3/2/1/0,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_05_15,3,2/0/0/3,NOISE,STEEP_LINEAR_DOWN,4.83,0
2025_09_18,0,4/0/5/0,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_05_07,0,0/0/1/0,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_10_09,0,6/4/1/4,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_05_04,4,0/1/0/8,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_04_07,2,5/5/0/2,NOISE,STEEP_LINEAR_DOWN,1.0,0
2026_01_07,8,2/3/0/0,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_04_02,2,3/6/3/0,NOISE,STEEP_LINEAR_DOWN,0.5,0
2025_04_11,4,2/3/0/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_02_07,6,5/4/0/1,NOISE,STEEP_LINEAR_DOWN,0.67,0
2025_07_04,0,1/4/1/3,NOISE,STEEP_LINEAR_DOWN,2.67,0
2025_08_04,1,1/0/8/2,NOISE,STEEP_LINEAR_DOWN,1.33,0
2026_01_20,0,4/0/2/0,NOISE,STEEP_LINEAR_DOWN,5.17,0
2025_11_24,0,3/0/2/3,NOISE,STEEP_LINEAR_DOWN,1.83,0
2026_02_17,0,8/3/0/3,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_08_27,0,2/1/0/0,NOISE,STEEP_LINEAR_DOWN,1.42,0
2026_02_06,1,5/2/0/2,NOISE,STEEP_LINEAR_DOWN,2.67,0
2025_04_15,1,6/4/0/6,NOISE,STEEP_LINEAR_DOWN,3.67,0
2025_06_16,0,4/3/1/1,NOISE,STEEP_LINEAR_DOWN,2.58,0
2026_03_10,3,5/3/0/0,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_03_19,1,5/3/2/2,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_10_20,3,0/0/1/0,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_04_10,1,5/3/1/0,NOISE,STEEP_LINEAR_DOWN,0.42,0
2025_08_29,0,3/0/1/4,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_02_27,0,4/2/6/1,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_10_27,0,2/0/1/3,NOISE,STEEP_LINEAR_DOWN,2.08,0
2026_01_26,3,3/3/0/0,NOISE,STEEP_LINEAR_DOWN,0.88,0
2025_05_02,4,3/4/7/0,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_04_29,0,4/0/0/0,NOISE,STEEP_LINEAR_DOWN,1.33,0
2026_01_15,3,6/0/5/0,NOISE,STEEP_LINEAR_DOWN,4.68,0
2025_10_15,0,1/1/1/1,NOISE,STEEP_LINEAR_DOWN,2.75,0
2025_12_03,8,3/1/0/1,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_02_05,0,1/0/3/1,NOISE,STEEP_LINEAR_DOWN,0.75,0
2026_03_04,1,1/2/2/0,NOISE,STEEP_LINEAR_DOWN,2.92,0
2025_07_01,2,2/3/0/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2026_03_13,2,1/4/0/6,NOISE,STEEP_LINEAR_DOWN,4.0,0
2025_04_10,7,2/3/0/0,NOISE,STEEP_LINEAR_DOWN,1.92,0
2025_01_23,0,5/5/1/5,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_08_28,2,5/1/0/2,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_04_30,0,3/3/8/5,NOISE,STEEP_LINEAR_DOWN,0.5,0
2025_04_03,6,7/1/9/2,NOISE,STEEP_LINEAR_DOWN,2.0,0
2025_08_13,0,10/0/0/4,NOISE,STEEP_LINEAR_DOWN,3.0,0
2026_01_13,0,6/0/5/2,NOISE,STEEP_LINEAR_DOWN,2.08,0
2025_04_08,9,10/2/0/5,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_11_05,0,4/2/0/0,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_11_11,0,3/0/1/1,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_02_06,11,4/1/2/0,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_10_17,0,2/1/2/6,NOISE,STEEP_LINEAR_DOWN,2.5,0
2026_01_20,3,1/3/5/1,NOISE,STEEP_LINEAR_DOWN,2.62,0
2026_01_13,4,9/3/0/0,NOISE,STEEP_LINEAR_DOWN,1.93,0
2025_06_11,7,4/0/0/0,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_12_17,3,2/0/5/0,NOISE,STEEP_LINEAR_DOWN,1.1,0
2025_05_08,7,3/0/1/3,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_08_06,0,0/1/0/1,NOISE,STEEP_LINEAR_DOWN,5.17,0
2025_05_04,1,0/1/0/10,NOISE,STEEP_LINEAR_DOWN,1.92,0
2025_03_03,3,4/0/1/3,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_05_30,2,1/1/0/6,NOISE,STEEP_LINEAR_DOWN,3.58,0
2025_10_30,3,8/2/0/2,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_05_16,0,2/1/4/4,NOISE,STEEP_LINEAR_DOWN,2.08,0
2026_01_30,1,5/4/0/0,NOISE,STEEP_LINEAR_DOWN,0.75,0
2025_01_13,1,1/5/2/0,NOISE,STEEP_LINEAR_DOWN,2.33,0
2026_03_18,2,1/2/3/0,NOISE,STEEP_LINEAR_DOWN,0.98,0
2025_02_07,2,5/0/11/4,NOISE,STEEP_LINEAR_DOWN,2.42,0
2025_08_06,5,2/0/3/0,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_04_30,0,3/2/0/0,NOISE,STEEP_LINEAR_DOWN,3.58,0
2026_03_10,8,4/0/1/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_03_19,1,2/0/0/1,NOISE,STEEP_LINEAR_DOWN,3.17,0
2025_09_15,0,3/0/11/2,NOISE,STEEP_LINEAR_DOWN,2.25,0
2025_11_17,0,2/2/4/0,NOISE,STEEP_LINEAR_DOWN,3.33,0
2025_02_14,0,1/3/0/0,NOISE,STEEP_LINEAR_DOWN,2.75,0
2025_10_20,0,1/2/0/10,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_02_03,3,5/3/0/1,NOISE,STEEP_LINEAR_DOWN,1.33,0
2026_01_14,1,3/0/0/0,NOISE,STEEP_LINEAR_DOWN,1.95,0
2026_02_13,10,5/0/4/0,NOISE,STEEP_LINEAR_DOWN,4.75,0
2025_11_21,3,9/0/0/0,NOISE,STEEP_LINEAR_DOWN,2.33,0
2025_11_07,2,3/4/0/2,NOISE,STEEP_LINEAR_DOWN,1.0,0
2026_01_15,1,6/0/5/0,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_01_23,3,7/0/4/1,NOISE,STEEP_LINEAR_DOWN,2.33,0
2026_02_18,0,2/6/11/6,NOISE,STEEP_LINEAR_DOWN,1.23,0
2025_01_09,3,1/1/0/0,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_12_01,0,5/2/0/1,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_10_22,3,2/3/4/1,NOISE,STEEP_LINEAR_DOWN,3.67,0
2025_09_10,2,3/0/0/1,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_01_10,5,0/0/1/0,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_02_14,0,4/0/2/5,NOISE,STEEP_LINEAR_DOWN,2.25,0
2025_04_17,3,2/3/4/3,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_01_21,0,6/0/1/1,NOISE,STEEP_LINEAR_DOWN,1.67,0
2025_11_20,1,8/0/0/5,NOISE,STEEP_LINEAR_DOWN,1.25,0
2026_01_08,0,6/1/1/0,NOISE,STEEP_LINEAR_DOWN,2.0,0
2025_11_18,5,4/2/0/0,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_11_12,1,7/2/0/2,NOISE,STEEP_LINEAR_DOWN,3.08,0
2026_03_03,0,1/2/7/0,NOISE,STEEP_LINEAR_DOWN,2.92,0
2025_10_03,7,6/0/1/3,NOISE,STEEP_LINEAR_DOWN,2.0,0
2025_04_10,0,5/1/2/0,NOISE,STEEP_LINEAR_DOWN,4.0,0
2025_07_04,2,2/0/1/1,NOISE,STEEP_LINEAR_DOWN,3.17,0
2025_08_06,0,1/3/0/3,NOISE,STEEP_LINEAR_DOWN,2.42,0
2025_03_17,3,2/0/4/14,NOISE,STEEP_LINEAR_DOWN,6.25,0
2026_02_16,5,3/1/1/1,NOISE,STEEP_LINEAR_DOWN,3.18,0
2026_02_24,0,6/2/3/4,NOISE,STEEP_LINEAR_DOWN,62.0,0
2025_08_12,3,6/0/5/2,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_06_03,0,4/1/2/3,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_10_22,0,3/5/0/4,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_11_25,0,4/4/2/0,NOISE,STEEP_LINEAR_DOWN,1.83,0
2026_01_30,1,5/0/1/3,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_02_14,0,4/0/3/0,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_11_17,2,4/0/3/3,NOISE,STEEP_LINEAR_DOWN,1.42,0
2026_02_13,7,0/0/3/1,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_09_15,2,0/0/0/1,NOISE,STEEP_LINEAR_DOWN,2.33,0
2025_08_05,0,4/0/6/0,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_06_11,0,5/1/0/0,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_11_18,0,2/0/2/1,NOISE,STEEP_LINEAR_DOWN,1.75,0
2026_03_13,0,5/0/3/0,NOISE,STEEP_LINEAR_DOWN,2.52,0
2026_02_18,3,5/0/4/6,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_02_10,1,4/4/3/0,NOISE,STEEP_LINEAR_DOWN,1.0,0
2026_02_25,3,3/7/1/0,NOISE,STEEP_LINEAR_DOWN,2.67,0
2026_02_13,0,6/1/1/1,NOISE,STEEP_LINEAR_DOWN,1.17,0
2026_01_22,2,7/0/3/2,NOISE,STEEP_LINEAR_DOWN,1.68,0
2026_01_29,2,2/1/0/0,NOISE,STEEP_LINEAR_DOWN,1.82,0
2025_05_09,0,1/6/1/0,NOISE,STEEP_LINEAR_DOWN,1.67,0
2025_04_04,4,3/8/0/2,NOISE,STEEP_LINEAR_DOWN,1.75,0
2026_02_09,0,1/3/1/0,NOISE,STEEP_LINEAR_DOWN,1.4,0
2025_02_10,0,4/7/0/2,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_03_11,1,6/0/3/1,NOISE,STEEP_LINEAR_DOWN,2.67,0
2025_07_07,2,2/2/2/5,NOISE,STEEP_LINEAR_DOWN,2.08,0
2025_01_10,0,6/0/1/0,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_07_01,0,3/0/7/0,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_05_29,0,4/0/1/1,NOISE,STEEP_LINEAR_DOWN,1.33,0
2026_02_27,0,5/2/0/2,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_10_29,2,1/5/0/3,NOISE,STEEP_LINEAR_DOWN,1.58,0
2025_11_17,4,2/4/2/0,NOISE,STEEP_LINEAR_DOWN,4.17,0
2025_10_27,3,2/3/1/3,NOISE,STEEP_LINEAR_DOWN,0.83,0
2025_09_18,1,5/0/0/0,NOISE,STEEP_LINEAR_DOWN,2.08,0
2025_09_08,0,4/0/2/2,NOISE,STEEP_LINEAR_DOWN,4.17,0
2025_07_14,0,6/2/24/4,NOISE,STEEP_LINEAR_DOWN,0.75,0
2026_02_05,1,4/1/4/4,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_05_27,2,2/0/6/0,NOISE,STEEP_LINEAR_DOWN,3.25,0
2026_02_23,3,1/0/3/3,NOISE,STEEP_LINEAR_DOWN,1.92,0
2026_03_18,0,3/0/3/0,NOISE,STEEP_LINEAR_DOWN,5.32,0
2025_07_22,0,8/0/3/0,NOISE,STEEP_LINEAR_DOWN,1.58,0
2026_02_06,0,3/4/0/1,NOISE,STEEP_LINEAR_DOWN,1.28,0
2026_01_09,0,0/1/0/0,NOISE,STEEP_LINEAR_DOWN,1.47,0
2025_02_11,0,4/2/1/1,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_01_02,0,1/1/3/1,NOISE,STEEP_LINEAR_DOWN,2.75,0
2025_03_04,0,2/3/0/1,NOISE,STEEP_LINEAR_DOWN,2.0,0
2025_11_04,0,1/2/0/5,NOISE,STEEP_LINEAR_DOWN,1.83,0
2025_02_04,0,0/2/0/1,NOISE,STEEP_LINEAR_DOWN,2.83,0
2025_01_23,1,4/1/0/2,NOISE,STEEP_LINEAR_DOWN,1.17,0
2026_02_25,1,2/1/0/1,NOISE,STEEP_LINEAR_DOWN,1.85,0
2025_02_12,2,3/0/0/4,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_04_01,0,5/0/1/1,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_01_03,3,2/1/1/2,NOISE,STEEP_LINEAR_DOWN,2.83,0
2026_03_04,0,2/7/0/0,NOISE,STEEP_LINEAR_DOWN,1.75,0
2026_03_20,0,2/0/6/0,NOISE,STEEP_LINEAR_DOWN,4.3,0
2025_07_10,2,1/0/0/0,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_02_12,0,6/1/4/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_03_17,0,2/0/6/0,NOISE,STEEP_LINEAR_DOWN,2.75,0
2025_07_24,4,0/1/0/0,NOISE,STEEP_LINEAR_DOWN,3.42,0
2025_03_07,0,5/3/2/1,NOISE,STEEP_LINEAR_DOWN,4.08,0
2025_08_25,0,3/5/0/4,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_07_11,5,2/4/2/0,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_02_04,0,1/2/1/1,NOISE,STEEP_LINEAR_DOWN,2.42,0
2025_01_27,3,2/1/5/2,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_10_03,0,6/0/1/3,NOISE,STEEP_LINEAR_DOWN,1.92,0
2025_02_27,1,4/8/2/0,NOISE,STEEP_LINEAR_DOWN,0.75,0
2025_03_20,0,1/1/2/0,NOISE,STEEP_LINEAR_DOWN,8.5,0
2026_01_27,2,1/5/0/1,NOISE,STEEP_LINEAR_DOWN,1.05,0
2026_01_09,4,5/4/1/1,NOISE,STEEP_LINEAR_DOWN,4.92,0
2025_12_08,4,1/3/1/1,NOISE,STEEP_LINEAR_DOWN,0.83,0
2026_01_02,0,1/3/0/4,NOISE,STEEP_LINEAR_DOWN,6.3,0
2025_03_03,2,3/0/3/3,NOISE,STEEP_LINEAR_DOWN,3.42,0
2025_04_04,0,2/0/1/1,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_06_03,5,1/0/1/0,NOISE,STEEP_LINEAR_DOWN,1.58,0
2025_05_08,0,4/4/1/3,NOISE,STEEP_LINEAR_DOWN,3.42,0
2025_09_05,1,1/0/0/2,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_05_07,0,9/0/3/0,NOISE,STEEP_LINEAR_DOWN,1.58,0
2025_06_13,0,2/0/1/0,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_04_24,4,1/5/1/0,NOISE,STEEP_LINEAR_DOWN,1.0,0
2026_03_12,0,3/5/0/1,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_04_11,1,2/3/0/0,NOISE,STEEP_LINEAR_DOWN,0.92,0
2026_03_13,1,3/5/1/0,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_07_18,7,5/1/1/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_10_21,0,5/1/1/0,NOISE,STEEP_LINEAR_DOWN,2.83,0
2025_12_03,2,2/3/1/0,NOISE,STEEP_LINEAR_DOWN,2.75,0
2025_07_21,4,3/0/0/8,NOISE,STEEP_LINEAR_DOWN,2.83,0
2025_04_11,2,4/0/2/0,NOISE,STEEP_LINEAR_DOWN,0.58,0
2025_11_26,0,1/3/1/5,NOISE,STEEP_LINEAR_DOWN,1.33,0
2026_02_23,0,3/2/6/2,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_05_15,6,4/1/1/1,NOISE,STEEP_LINEAR_DOWN,1.33,0
2026_02_24,9,6/0/0/0,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_04_08,6,9/2/3/3,NOISE,STEEP_LINEAR_DOWN,1.25,0
2026_02_23,0,1/0/3/3,NOISE,STEEP_LINEAR_DOWN,1.57,0
2025_04_09,1,5/3/3/1,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_10_16,3,5/0/1/2,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_12_01,0,4/0/0/4,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_10_14,0,2/0/5/0,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_11_17,2,0/1/0/0,NOISE,STEEP_LINEAR_DOWN,4.42,0
2025_10_15,0,1/16/1/1,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_05_14,8,8/0/2/1,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_04_08,3,2/1/2/0,NOISE,STEEP_LINEAR_DOWN,0.67,0
2025_02_26,1,4/3/0/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_12_02,0,2/3/0/1,NOISE,STEEP_LINEAR_DOWN,1.5,0
2026_01_08,3,2/0/3/4,NOISE,STEEP_LINEAR_DOWN,1.7,0
2025_05_04,2,0/1/0/8,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_06_16,0,5/0/1/1,NOISE,STEEP_LINEAR_DOWN,1.25,0
2026_02_16,15,4/5/2/3,NOISE,STEEP_LINEAR_DOWN,3.42,0
2025_12_16,9,2/5/1/0,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_05_23,0,2/0/0/1,NOISE,STEEP_LINEAR_DOWN,2.42,0
2026_02_06,0,5/3/2/1,NOISE,STEEP_LINEAR_DOWN,1.08,0
2026_03_09,0,4/1/0/10,NOISE,STEEP_LINEAR_DOWN,1.33,0
2026_02_10,1,9/0/0/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_03_13,1,1/0/3/0,NOISE,STEEP_LINEAR_DOWN,1.25,0
2026_03_06,0,4/0/8/0,NOISE,STEEP_LINEAR_DOWN,2.12,0
2025_06_05,0,7/1/4/4,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_05_08,0,3/2/1/1,NOISE,STEEP_LINEAR_DOWN,2.25,0
2025_04_01,0,4/3/0/1,NOISE,STEEP_LINEAR_DOWN,1.17,0
2026_03_06,1,1/2/1/0,NOISE,STEEP_LINEAR_DOWN,5.58,0
2025_08_12,5,7/2/0/0,NOISE,STEEP_LINEAR_DOWN,2.75,0
2025_11_14,0,3/7/8/4,NOISE,STEEP_LINEAR_DOWN,5.42,0
2025_07_22,1,4/1/1/4,NOISE,STEEP_LINEAR_DOWN,1.58,0
2026_02_18,9,4/3/0/0,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_10_31,1,9/3/0/5,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_03_16,3,0/1/1/0,NOISE,STEEP_LINEAR_DOWN,2.25,0
2025_08_25,0,1/3/0/2,NOISE,STEEP_LINEAR_DOWN,1.83,0
2025_11_13,0,6/2/0/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_10_14,3,2/6/0/6,NOISE,STEEP_LINEAR_DOWN,1.92,0
2026_03_18,3,3/4/1/1,NOISE,STEEP_LINEAR_DOWN,2.58,0
2026_02_17,5,8/2/5/0,NOISE,STEEP_LINEAR_DOWN,1.5,0
2026_01_08,0,6/2/4/0,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_04_28,3,7/0/0/1,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_08_21,0,5/4/1/1,NOISE,STEEP_LINEAR_DOWN,2.75,0
2025_02_28,1,6/3/0/4,NOISE,STEEP_LINEAR_DOWN,1.83,0
2025_10_01,0,2/2/6/1,NOISE,STEEP_LINEAR_DOWN,0.67,0
2025_02_21,6,2/1/3/1,NOISE,STEEP_LINEAR_DOWN,1.42,0
2026_01_23,0,6/0/0/6,NOISE,STEEP_LINEAR_DOWN,0.5,0
2025_06_05,0,4/1/6/0,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_07_21,0,3/0/0/8,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_07_18,0,5/8/0/1,NOISE,STEEP_LINEAR_DOWN,1.25,0
2026_03_01,5,0/0/1/3,NOISE,STEEP_LINEAR_DOWN,1.0,0
2026_02_02,0,3/0/2/3,NOISE,STEEP_LINEAR_DOWN,3.58,0
2025_01_29,0,7/2/2/4,NOISE,STEEP_LINEAR_DOWN,1.58,0
2025_11_25,2,4/3/1/2,NOISE,STEEP_LINEAR_DOWN,0.58,0
2025_08_11,6,6/0/11/4,NOISE,STEEP_LINEAR_DOWN,1.25,0
2026_02_05,6,4/6/2/0,NOISE,STEEP_LINEAR_DOWN,2.67,0
2025_11_24,0,5/6/1/1,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_07_30,0,5/2/0/1,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_10_31,0,5/0/3/4,NOISE,STEEP_LINEAR_DOWN,2.33,0
2025_08_20,2,1/5/2/1,NOISE,STEEP_LINEAR_DOWN,2.67,0
2025_05_30,3,5/4/0/0,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_01_24,1,4/2/1/5,NOISE,STEEP_LINEAR_DOWN,0.83,0
2025_05_05,0,1/1/0/1,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_02_04,5,3/2/2/1,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_10_31,1,6/1/0/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_04_25,0,6/4/2/0,NOISE,STEEP_LINEAR_DOWN,1.67,0
2025_02_14,5,5/2/5/0,NOISE,STEEP_LINEAR_DOWN,3.5,0
2026_02_10,1,7/0/2/0,NOISE,STEEP_LINEAR_DOWN,2.25,0
2025_12_05,0,5/0/7/3,NOISE,STEEP_LINEAR_DOWN,2.5,0
2025_08_26,0,4/1/2/0,NOISE,STEEP_LINEAR_DOWN,5.92,0
2025_02_18,0,1/5/0/0,NOISE,STEEP_LINEAR_DOWN,7.75,0
2025_04_17,5,2/2/1/0,NOISE,STEEP_LINEAR_DOWN,3.42,0
2026_01_19,2,3/3/0/1,NOISE,STEEP_LINEAR_DOWN,1.68,0
2025_08_11,3,6/0/0/5,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_12_04,6,9/1/0/3,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_09_09,2,1/3/1/2,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_04_14,0,4/0/6/2,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_08_25,1,4/1/0/0,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_07_25,2,7/0/1/5,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_04_15,5,0/1/3/1,NOISE,STEEP_LINEAR_DOWN,1.75,0
2026_03_02,0,5/2/0/4,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_02_03,0,4/2/0/1,NOISE,STEEP_LINEAR_DOWN,1.5,0
2026_03_18,0,3/5/0/1,NOISE,STEEP_LINEAR_DOWN,1.1,0
2025_06_12,6,9/2/0/3,NOISE,STEEP_LINEAR_DOWN,1.58,0
2026_01_23,4,1/5/2/0,NOISE,STEEP_LINEAR_DOWN,2.03,0
2025_02_20,2,2/1/1/3,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_05_19,0,4/4/7/4,NOISE,STEEP_LINEAR_DOWN,3.67,0
2025_08_07,0,5/1/0/0,NOISE,STEEP_LINEAR_DOWN,1.58,0
2025_08_26,1,8/0/0/9,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_10_21,0,3/1/3/0,NOISE,STEEP_LINEAR_DOWN,1.83,0
2025_04_24,4,1/0/3/1,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_04_29,0,4/2/2/1,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_01_08,1,9/3/3/3,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_04_22,0,5/2/1/2,NOISE,STEEP_LINEAR_DOWN,1.42,0
