**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,date_iso,threshold,max_depth,n_phrases,n_motifs,n_sub_motifs,n_measures,n_notes
2025_12_05,IS,2025-12-05,0.85,5,8,24,77,237,680
2025_12_07,IS,2025-12-07,0.85,5,1,2,4,9,23
2025_12_08,IS,2025-12-08,0.85,5,6,21,71,250,720
2025_12_09,IS,2025-12-09,0.85,5,6,19,82,254,691
2025_12_10,IS,2025-12-10,0.85,5,7,21,63,235,677
2025_12_11,IS,2025-12-11,0.85,5,5,19,68,251,776
2025_12_12,IS,2025-12-12,0.85,5,9,21,69,224,680
2025_12_14,IS,2025-12-14,0.85,5,1,2,4,11,30
2025_12_15,IS,2025-12-15,0.85,5,5,19,67,243,667
2025_12_16,IS,2025-12-16,0.85,5,6,24,63,191,571
2025_12_17,IS,2025-12-17,0.85,5,3,10,60,176,447
2025_12_18,IS,2025-12-18,0.85,5,6,13,39,134,396
2025_12_19,IS,2025-12-19,0.85,5,2,3,9,30,57
2026_01_01,OOS,2026-01-01,0.85,5,1,2,4,12,25
2026_01_02,OOS,2026-01-02,0.85,5,4,21,78,241,675
2026_01_04,OOS,2026-01-04,0.85,5,1,1,5,12,34
2026_01_05,OOS,2026-01-05,0.85,5,3,22,85,268,728
2026_01_06,OOS,2026-01-06,0.85,5,4,13,62,249,718
2026_01_07,OOS,2026-01-07,0.85,5,4,18,77,244,701
2026_01_08,OOS,2026-01-08,0.85,5,10,26,74,253,743
2026_01_09,OOS,2026-01-09,0.85,5,8,20,74,229,683
2026_01_11,OOS,2026-01-11,0.85,5,1,1,7,16,31
2026_01_12,OOS,2026-01-12,0.85,5,6,22,77,271,769
2026_01_13,OOS,2026-01-13,0.85,5,11,25,89,242,705
2026_01_14,OOS,2026-01-14,0.85,5,7,20,72,250,715
2026_01_15,OOS,2026-01-15,0.85,5,7,23,80,257,780
2026_01_16,OOS,2026-01-16,0.85,5,7,21,67,225,695
2026_01_18,OOS,2026-01-18,0.85,5,1,4,7,14,27
2026_01_19,OOS,2026-01-19,0.85,5,6,20,64,207,590
2026_01_20,OOS,2026-01-20,0.85,5,5,19,76,264,800
2026_01_21,OOS,2026-01-21,0.85,5,8,23,70,261,776
2026_01_22,OOS,2026-01-22,0.85,5,9,22,69,257,765
2026_01_23,OOS,2026-01-23,0.85,5,7,22,67,241,742
2026_01_25,OOS,2026-01-25,0.85,5,1,2,5,10,30
2026_01_26,OOS,2026-01-26,0.85,5,7,24,83,259,783
2026_01_27,OOS,2026-01-27,0.85,5,8,23,67,251,739
2026_01_28,OOS,2026-01-28,0.85,5,8,22,71,255,798
2026_01_29,OOS,2026-01-29,0.85,5,5,19,73,254,787
2026_01_30,OOS,2026-01-30,0.85,5,6,19,72,274,789
2026_02_01,OOS,2026-02-01,0.85,5,1,3,4,13,30
2026_02_02,OOS,2026-02-02,0.85,5,5,19,78,273,815
2026_02_03,OOS,2026-02-03,0.85,5,7,22,73,248,809
2026_02_04,OOS,2026-02-04,0.85,5,8,20,72,261,722
2026_02_05,OOS,2026-02-05,0.85,5,7,21,71,260,801
2026_02_06,OOS,2026-02-06,0.85,5,6,19,73,251,774
2026_02_08,OOS,2026-02-08,0.85,5,1,2,3,9,34
2026_02_09,OOS,2026-02-09,0.85,5,5,18,75,271,824
2026_02_10,OOS,2026-02-10,0.85,5,11,26,77,272,843
2026_02_11,OOS,2026-02-11,0.85,5,7,23,79,261,771
2026_02_12,OOS,2026-02-12,0.85,5,7,26,80,281,795
2026_02_13,OOS,2026-02-13,0.85,5,10,23,86,277,780
2026_02_15,OOS,2026-02-15,0.85,5,1,2,6,12,34
2026_02_16,OOS,2026-02-16,0.85,5,6,18,81,222,700
2026_02_17,OOS,2026-02-17,0.85,5,10,27,94,298,827
2026_02_18,OOS,2026-02-18,0.85,5,6,24,83,263,790
2026_02_19,OOS,2026-02-19,0.85,5,8,26,84,281,811
2026_02_20,OOS,2026-02-20,0.85,5,13,28,87,268,792
2026_02_22,OOS,2026-02-22,0.85,5,1,2,7,11,27
2026_02_23,OOS,2026-02-23,0.85,5,6,21,80,283,834
2026_02_24,OOS,2026-02-24,0.85,5,8,28,83,266,863
2026_02_25,OOS,2026-02-25,0.85,5,4,22,82,293,829
2026_02_26,OOS,2026-02-26,0.85,5,13,28,95,293,798
2026_02_27,OOS,2026-02-27,0.85,5,9,26,88,270,835
2026_03_01,OOS,2026-03-01,0.85,5,1,2,5,12,39
2026_03_02,OOS,2026-03-02,0.85,5,7,20,78,281,848
2026_03_03,OOS,2026-03-03,0.85,5,6,21,87,284,871
2026_03_04,OOS,2026-03-04,0.85,5,4,20,88,301,868
2026_03_05,OOS,2026-03-05,0.85,5,11,28,88,288,819
2026_03_06,OOS,2026-03-06,0.85,5,5,19,83,261,812
2026_03_08,OOS,2026-03-08,0.85,5,2,3,5,17,53
2026_03_09,OOS,2026-03-09,0.85,5,5,20,85,300,870
2026_03_10,OOS,2026-03-10,0.85,5,7,20,91,284,826
2026_03_11,OOS,2026-03-11,0.85,5,7,24,75,268,789
2026_03_12,OOS,2026-03-12,0.85,5,7,22,75,280,843
2026_03_13,OOS,2026-03-13,0.85,5,6,19,81,280,759
2026_03_15,OOS,2026-03-15,0.85,5,2,4,7,14,54
2026_03_16,OOS,2026-03-16,0.85,5,8,26,83,298,879
2026_03_17,OOS,2026-03-17,0.85,5,10,25,79,260,772
2026_03_18,OOS,2026-03-18,0.85,5,4,18,59,234,703
2026_03_19,OOS,2026-03-19,0.85,5,8,20,73,223,631
2026_03_20,OOS,2026-03-20,0.85,5,3,8,22,50,146
