**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,level,idx,parent_chain,shape,shape_class,skew,r,mean_sigma,start_ts,end_ts,start_i,end_i,length_min
2025_01_02,IS,sub_motif,2,2/2,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,BACK_SKEWED,0.8807161979775663,15.61213222493478,1735838190,1735838220,11581,11587,0.5
2025_01_02,IS,sub_motif,3,2/2,FLATLINE,FLATLINE,BACK_SKEWED,0.8883740241423206,15.907463965992845,1735838220,1735838370,11587,11617,2.5
2025_01_02,IS,sub_motif,4,2/2,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,BACK_SKEWED,0.9869275360537106,27.562432955074783,1735838370,1735839000,11617,11743,10.5
2025_01_02,IS,sub_motif,0,2/3,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,BACK_SKEWED,0.980259893655537,38.95714839745631,1735839000,1735840770,11743,12097,29.5
2025_01_02,IS,sub_motif,1,2/3,FLATLINE,FLATLINE,NONE,0.0,21.700567819279005,1735840770,1735841220,12097,12187,7.5
2025_01_02,IS,sub_motif,2,2/3,STEEP_CONVEX_UP,STEEP_CONVEX_UP,BACK_SKEWED,0.8552310140606084,22.656694149307356,1735841220,1735841400,12187,12223,3.0
2025_01_02,IS,sub_motif,3,2/3,FLATLINE,FLATLINE,NONE,0.815957686808515,20.38446018545917,1735841400,1735842090,12223,12361,11.5
2025_01_02,IS,sub_motif,4,2/3,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9596281525753768,14.340641566705806,1735842090,1735842450,12361,12433,6.0
2025_01_02,IS,sub_motif,5,2/3,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.904518561256825,12.425788326926675,1735842450,1735842600,12433,12463,2.5
2025_01_02,IS,sub_motif,6,2/3,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,BACK_SKEWED,0.919108947296347,15.099417940365562,1735842600,1735842840,12463,12511,4.0
2025_01_02,IS,sub_motif,7,2/3,FLATLINE,FLATLINE,NONE,0.0,19.255379584178282,1735842840,1735842870,12511,12517,0.5
2025_01_02,IS,sub_motif,8,2/3,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,BACK_SKEWED,0.8807161979774999,19.591372752158644,1735842870,1735842900,12517,12523,0.5
2025_01_02,IS,sub_motif,9,2/3,NOISE,NOISE,NONE,0.8472392586396891,20.331075107236167,1735842900,1735843680,12523,12679,13.0
2025_01_02,IS,sub_motif,10,2/3,FLATLINE,FLATLINE,NONE,0.8330503331316143,19.021583694456464,1735843680,1735844640,12679,12871,16.0
2025_01_02,IS,sub_motif,11,2/3,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9856130690007888,25.378232600851458,1735844640,1735845000,12871,12943,6.0
2025_01_02,IS,sub_motif,0,2/4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9796173408657856,13.934820647070302,1735845000,1735846830,12943,13309,30.5
2025_01_02,IS,sub_motif,1,2/4,NOISE,NOISE,NONE,0.7896104384377274,12.133619474708395,1735846830,1735847460,13309,13435,10.5
2025_01_02,IS,sub_motif,2,2/4,FLATLINE,FLATLINE,NONE,0.4076954595722976,21.303747828000976,1735847460,1735848690,13435,13681,20.5
2025_01_02,IS,sub_motif,3,2/4,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9702639051293349,15.684957354832322,1735848690,1735850370,13681,14017,28.0
2025_01_02,IS,sub_motif,4,2/4,NOISE,NOISE,NONE,0.8188765306710456,14.51591049680752,1735850370,1735851180,14017,14179,13.5
2025_01_02,IS,sub_motif,5,2/4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9916274805048014,12.444351741437272,1735851180,1735851600,14179,14263,7.0
2025_01_02,IS,sub_motif,0,3/0,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9879515084637598,7.321582957304844,1735851600,1735853960,14263,14709,39.33
2025_01_02,IS,sub_motif,1,3/0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9935742290210088,3.9913351438304514,1735853960,1735859680,14709,15023,95.33
2025_01_02,IS,sub_motif,0,3/1,FLATLINE,FLATLINE,NONE,0.0,4.680236064250842,1735859680,1735860420,15023,15147,12.33
2025_01_02,IS,sub_motif,1,3/1,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,SYMMETRIC,0.9680146366561956,5.902511384424528,1735860420,1735862150,15147,15422,28.83
2025_01_02,IS,sub_motif,2,3/1,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9151876540685822,4.5138294560600025,1735862150,1735862395,15422,15457,4.08
2025_01_03,IS,sub_motif,0,0/0,NOISE,NOISE,NONE,-2.0,4.258730872067427,1735862400,1735862930,0,91,8.83
2025_01_03,IS,sub_motif,1,0/0,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9785100641139156,10.508918628848726,1735863030,1735864435,109,361,23.42
2025_01_03,IS,sub_motif,0,0/1,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9846517452402308,3.637696821631193,1735864995,1735866545,463,721,25.83
2025_01_03,IS,sub_motif,0,1/0,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,SYMMETRIC,0.9259778292958363,5.988197830890295,1735868520,1735869540,1037,1215,17.0
2025_01_03,IS,sub_motif,1,1/0,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.964517373838593,4.728924783282854,1735869540,1735871160,1215,1483,27.0
2025_01_03,IS,sub_motif,0,1/1,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.8967879557125528,5.26269233616144,1735871160,1735871280,1483,1502,2.0
2025_01_03,IS,sub_motif,0,2/0,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,SYMMETRIC,0.9506100165015647,4.3077710692336275,1735871400,1735873320,1524,1820,32.0
2025_01_03,IS,sub_motif,1,2/0,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,SYMMETRIC,0.9516505282642392,6.171802662711106,1735873320,1735874670,1820,2049,22.5
2025_01_03,IS,sub_motif,2,2/0,FLATLINE,FLATLINE,NONE,0.0,3.519828761792544,1735874670,1735875485,2049,2175,13.58
2025_01_03,IS,sub_motif,3,2/0,GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_DOWN,SYMMETRIC,0.9079124836553354,2.7218342728653746,1735875485,1735875720,2175,2200,3.92
2025_01_03,IS,sub_motif,4,2/0,FLATLINE,FLATLINE,NONE,0.570274297391152,2.204532434022194,1735875780,1735875960,2206,2227,3.0
2025_01_03,IS,sub_motif,5,2/0,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,NONE,0.9737608252317296,2.983834569176815,1735875960,1735878300,2227,2510,39.0
2025_01_03,IS,sub_motif,0,2/1,NOISE,NOISE,NONE,0.4692300727000792,2.0726322074766674,1735878300,1735879260,2510,2610,16.0
2025_01_03,IS,sub_motif,1,2/1,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9797057225879254,4.520753611282425,1735879260,1735882250,2610,3034,49.83
2025_01_03,IS,sub_motif,0,3/0,NOISE,NOISE,NONE,0.788257162344401,3.1014248393181347,1735882250,1735884840,3034,3392,43.17
2025_01_03,IS,sub_motif,1,3/0,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9732076121638478,4.569287589338609,1735884840,1735887035,3392,3716,36.58
2025_01_03,IS,sub_motif,2,3/0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9658408157364253,5.46183550812181,1735887035,1735888935,3716,4034,31.67
2025_01_03,IS,sub_motif,0,3/1,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9933106534895408,4.67470796625451,1735888935,1735891040,4034,4370,35.08
2025_01_03,IS,sub_motif,0,3/2,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9927307978728357,6.220746445082932,1735891040,1735891775,4370,4510,12.25
