leaf_id,n_trades,strategy,strategy_pct,actual_pnl,optimal_pnl,recoverable,avg_regret,exit_bar_same,exit_bar_counter,long_pct,wr
148,63,long_extended,80.95238095238095,17888.5,17888.5,0.0,0.0,179.20634920634922,84.25396825396825,80.95238095238095,100.0
240,43,short_extended,62.7906976744186,16954.0,16954.0,0.0,0.0,81.67441860465117,118.27906976744185,37.2093023255814,100.0
244,59,long_extended,66.10169491525424,15715.0,15715.0,0.0,0.0,95.32203389830508,125.28813559322033,66.10169491525424,100.0
32,20,short_extended,95.0,15009.5,15009.5,0.0,0.0,184.1,103.5,5.0,100.0
21,63,short_extended,79.36507936507937,14918.0,14918.0,0.0,0.0,162.77777777777777,152.55555555555554,19.047619047619047,100.0
41,38,long_extended,78.94736842105263,14863.0,14863.0,0.0,0.0,88.86842105263158,173.23684210526315,78.94736842105263,100.0
96,23,long_extended,65.21739130434783,14657.5,14657.5,0.0,0.0,139.95652173913044,138.43478260869566,65.21739130434783,100.0
167,67,short_extended,55.223880597014926,14529.0,14529.0,0.0,0.0,118.0,113.59701492537313,40.298507462686565,100.0
85,24,short_extended,70.83333333333334,14210.5,14210.5,0.0,0.0,168.875,173.75,29.166666666666668,100.0
220,40,long_extended,100.0,13993.5,13993.5,0.0,0.0,167.475,195.2,100.0,100.0
8,24,short_extended,87.5,13587.0,13587.0,0.0,0.0,44.166666666666664,255.75,12.5,100.0
44,31,long_extended,100.0,13020.0,13020.0,0.0,0.0,202.41935483870967,100.54838709677419,100.0,100.0
93,20,short_extended,60.0,12848.0,12848.0,0.0,0.0,31.5,176.75,40.0,100.0
241,41,long_extended,85.36585365853658,12349.0,12349.0,0.0,0.0,99.1951219512195,95.92682926829268,87.8048780487805,100.0
182,24,long_extended,58.333333333333336,12207.5,12207.5,0.0,0.0,159.95833333333334,123.66666666666667,58.333333333333336,100.0
104,46,long_extended,73.91304347826086,12006.0,12006.0,0.0,0.0,140.7391304347826,133.58695652173913,73.91304347826086,100.0
125,33,short_extended,60.60606060606061,10976.0,10976.0,0.0,0.0,181.54545454545453,131.8181818181818,39.39393939393939,100.0
144,50,long_extended,52.0,10713.5,10713.5,0.0,0.0,129.18,184.9,52.0,100.0
212,44,long_extended,95.45454545454545,10227.0,10227.0,0.0,0.0,155.0681818181818,141.77272727272728,95.45454545454545,100.0
222,27,long_extended,81.48148148148148,9931.5,9931.5,0.0,0.0,143.66666666666666,193.66666666666666,81.48148148148148,100.0
