tf,X,q_z,n,corr_x_fwd
15m,price_accel_w,4,9377,0.04273431937152998
15m,vol_velocity_w,0,9373,0.012009235165207207
15m,vol_velocity_w,1,9374,0.04663471616011729
15m,vol_velocity_w,2,9377,-0.06450438044742156
15m,vol_velocity_w,3,9377,-0.01197455373863352
15m,vol_velocity_w,4,9377,0.006715938990955812
15m,vol_accel_w,0,9373,-0.013832037659769108
15m,vol_accel_w,1,9374,0.01325177621037454
15m,vol_accel_w,2,9377,-0.010999298243307731
15m,vol_accel_w,3,9374,-0.016382314272072103
15m,vol_accel_w,4,9377,0.02596318395234697
15m,price_mean_w,0,9373,-0.01475472857709845
15m,price_mean_w,1,9374,0.020688800057929443
15m,price_mean_w,2,9377,0.04222625726883652
15m,price_mean_w,3,9380,-0.05577732183175455
15m,price_mean_w,4,9377,-0.04184973198262979
15m,price_sigma_w,0,9373,0.04252106031805792
15m,price_sigma_w,1,9374,0.08616209300071496
15m,price_sigma_w,2,9377,-0.008551535312594559
15m,price_sigma_w,3,9380,0.06658080858805088
15m,price_sigma_w,4,9377,0.02430508920934384
15m,vol_mean_w,0,9373,0.03229234746826495
15m,vol_mean_w,1,9374,0.024485862323550957
15m,vol_mean_w,2,9377,-0.04512383628105251
15m,vol_mean_w,3,9380,0.009991820177436364
15m,vol_mean_w,4,9377,-0.02595050431733225
15m,vol_sigma_w,0,9373,0.022479195711337312
15m,vol_sigma_w,1,9374,0.04523775847958659
15m,vol_sigma_w,2,9377,-0.034370712006355206
15m,vol_sigma_w,3,9380,0.004007381353484969
15m,vol_sigma_w,4,9377,-0.00013993125697992463
15m,vwap_w,0,9373,-0.014510867685622784
15m,vwap_w,1,9374,0.020793836740308016
15m,vwap_w,2,9377,0.042297021209199176
15m,vwap_w,3,9380,-0.05580540712951216
15m,vwap_w,4,9377,-0.04176081462612477
15m,z_high_w,0,9373,-0.028798164614082262
15m,z_high_w,1,9374,0.012006758732615143
15m,z_high_w,2,9377,-0.036925750133797286
15m,z_high_w,3,9380,0.0001609817501003385
15m,z_high_w,4,9377,-0.01562555261180776
15m,z_low_w,0,9373,0.011146301961041105
15m,z_low_w,1,9374,0.023913535258635817
15m,z_low_w,2,9377,-0.022967393198357215
15m,z_low_w,3,9380,0.009474455903147444
15m,z_low_w,4,9377,-0.06428742609558566
15m,SE_high_w,0,9373,0.03103288404104266
15m,SE_high_w,1,9374,0.06933479370216666
15m,SE_high_w,2,9377,-0.010671558356333466
15m,SE_high_w,3,9380,0.07368328352034467
15m,SE_high_w,4,9377,0.03267176529004038
15m,SE_low_w,0,9373,0.014255828968119824
15m,SE_low_w,1,9374,0.04310598683952792
15m,SE_low_w,2,9377,-0.04609744434535977
15m,SE_low_w,3,9380,0.0735378056053828
15m,SE_low_w,4,9377,0.019811904052136193
15m,hurst_w,0,9373,0.022653605396494747
15m,hurst_w,1,9374,0.024013561014230647
15m,hurst_w,2,9377,0.05804626322428703
15m,hurst_w,3,9380,0.03811510638652408
15m,hurst_w,4,9377,0.001779295328318393
15m,reversion_prob_w,0,9373,-0.002196002908712742
15m,reversion_prob_w,1,9374,0.0004522038637647549
