ts,price,bars_held,pnl_ticks,hwm_ticks,F_net,envelope_tol,t_half_eff,stop_level,trail_ticks,conviction,direction,wave_maturity,decay_score,z_score,velocity,exit_reason,exit_price
1772772777.350596,25129.75,105,4.0,11.0,-0.2465,4.19,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772778.4258313,25129.75,106,4.0,11.0,-0.2465,4.18,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772779.4910233,25129.75,107,4.0,11.0,-0.2465,4.17,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772780.5535734,25129.75,108,4.0,11.0,-0.2465,4.17,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772775.0,25129.75,109,4.0,11.0,-0.2465,4.16,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772765.0,25131.25,110,10.0,11.0,8.6468,4.53,20.0,25126.5,20,0.46,,0.385,0,0.752,1.0,,
1772772781.654367,25131.25,111,10.0,11.0,8.6468,4.51,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772782.746926,25131.25,112,10.0,11.0,8.6468,4.49,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772783.8278055,25131.25,113,10.0,11.0,8.6468,4.48,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772784.8480844,25131.25,114,10.0,11.0,8.6468,4.46,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772785.926064,25131.25,115,10.0,11.0,8.6468,4.45,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772780.0,25130.25,116,6.0,11.0,8.6468,4.43,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772786.9757817,25130.25,117,6.0,11.0,8.6468,4.42,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772787.981303,25130.25,118,6.0,11.0,8.6468,4.4,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772789.0021663,25130.25,119,6.0,11.0,8.6468,4.39,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772785.0,25130.25,120,6.0,11.0,8.6468,4.38,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772790.0247016,25130.25,121,6.0,11.0,8.6468,4.36,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772791.041909,25130.25,122,6.0,11.0,8.6468,4.35,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772792.0909803,25130.25,123,6.0,11.0,8.6468,4.34,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772793.1574752,25130.25,124,6.0,11.0,8.6468,4.33,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772794.2235212,25130.25,125,6.0,11.0,8.6468,4.32,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772795.2416813,25130.25,126,6.0,11.0,8.6468,4.3,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,,
1772772790.0,25127.5,127,-5.0,11.0,8.6468,4.29,20.0,25126.5,20,0.485,,0.385,0,0.752,1.0,envelope_breach,25127.5
