entry_ts,leg_dir,entry_price,extra_z_se,day
1708444035,SHORT,17543.75,1.9050048590688324,2024_02_20
1708444039,SHORT,17546.0,2.2899983560364032,2024_02_20
1708444051,SHORT,17544.75,2.0761130799433083,2024_02_20
1708444073,SHORT,17543.5,1.8622278038502136,2024_02_20
1708444232,SHORT,17553.0,1.9627809840051185,2024_02_20
1708444237,SHORT,17552.75,1.9166069557595538,2024_02_20
1708444249,SHORT,17555.5,2.4245212664607645,2024_02_20
1708444281,SHORT,17557.25,1.9181667770733306,2024_02_20
1708444283,SHORT,17557.5,1.9749312686266884,2024_02_20
1708444304,SHORT,17557.0,1.8614022855199728,2024_02_20
1708444306,SHORT,17558.25,2.1452247432867617,2024_02_20
1708444329,SHORT,17563.25,2.120078232404632,2024_02_20
1708444343,SHORT,17563.0,2.0608443819067226,2024_02_20
1708444469,LONG,17550.0,-1.950472164816842,2024_02_20
1708444480,LONG,17550.25,-1.8968509369180973,2024_02_20
1708444493,LONG,17549.0,-2.164957076411821,2024_02_20
1708444828,SHORT,17582.5,2.044619144940699,2024_02_20
1708444838,SHORT,17582.25,1.987705598804544,2024_02_20
1708444871,SHORT,17592.0,1.9384047798395143,2024_02_20
1708444886,SHORT,17591.5,1.8553154518949857,2024_02_20
1708444890,SHORT,17592.5,2.021494107784043,2024_02_20
1708445183,LONG,17583.25,-1.8489062330449495,2024_02_20
1708445302,LONG,17570.5,-1.9181090604664357,2024_02_20
1708445313,LONG,17571.25,-1.8495915707097492,2024_02_20
1708445320,LONG,17571.0,-1.8724307339619781,2024_02_20
1708445324,LONG,17571.0,-1.8724307339619781,2024_02_20
1708445329,LONG,17570.75,-1.8952698972142068,2024_02_20
1708445709,SHORT,17569.5,2.170815558461288,2024_02_20
1708445716,SHORT,17570.0,2.2897100664555294,2024_02_20
1708445761,SHORT,17570.25,1.9526329797508806,2024_02_20
1708445767,SHORT,17569.75,1.8532412692227462,2024_02_20
1708445769,SHORT,17571.0,2.101720545543082,2024_02_20
1708445775,SHORT,17569.75,1.8532412692227462,2024_02_20
1708445833,SHORT,17574.25,1.8821716697415214,2024_02_20
1708445842,SHORT,17575.0,2.0042364870910037,2024_02_20
1708445858,SHORT,17574.5,1.9228599421913488,2024_02_20
1708445865,SHORT,17576.75,2.2890543942397956,2024_02_20
1708445875,SHORT,17574.75,1.9635482146411762,2024_02_20
1708445888,SHORT,17576.5,1.8613900111977717,2024_02_20
1708446138,LONG,17561.0,-1.9613717294621633,2024_02_20
1708446146,LONG,17561.25,-1.8927723101863267,2024_02_20
1708446184,LONG,17559.0,-2.020128130384955,2024_02_20
1708446294,SHORT,17573.25,1.8647812015975689,2024_02_20
1708446316,SHORT,17576.0,2.055283003272782,2024_02_20
1708446336,SHORT,17577.75,2.4498071629502887,2024_02_20
1708446501,SHORT,17575.75,2.069015212334796,2024_02_20
1708446523,SHORT,17575.0,1.8910779269930453,2024_02_20
1708446532,SHORT,17575.5,2.009702783887546,2024_02_20
1708446535,SHORT,17575.0,1.8910779269930453,2024_02_20
1708446550,SHORT,17576.5,1.8915915584043703,2024_02_20
1708446695,LONG,17559.5,-1.9736004105524627,2024_02_20
1708446781,LONG,17546.0,-1.9392528070735513,2024_02_20
1708446792,LONG,17546.5,-1.8726785439212768,2024_02_20
1708446850,LONG,17535.75,-1.9367394100040969,2024_02_20
1708447159,SHORT,17543.25,2.0027368215604997,2024_02_20
1708447208,SHORT,17544.5,1.9546222754190348,2024_02_20
1708447265,SHORT,17546.0,1.8993722314631392,2024_02_20
1708447269,SHORT,17545.5,1.848873800583422,2024_02_20
1708447273,SHORT,17546.25,1.9246214469029976,2024_02_20
1708447284,SHORT,17545.75,1.8741230160232805,2024_02_20
1708447286,SHORT,17545.5,1.848873800583422,2024_02_20
1708447293,SHORT,17545.5,1.848873800583422,2024_02_20
1708447296,SHORT,17545.75,1.8741230160232805,2024_02_20
1708447314,SHORT,17545.75,1.8741230160232805,2024_02_20
1708447741,LONG,17543.75,-1.965201598509529,2024_02_20
1708447756,LONG,17543.25,-2.117888028953767,2024_02_20
1708447798,LONG,17543.0,-2.194231244175886,2024_02_20
1708447828,LONG,17542.75,-1.849344199516344,2024_02_20
1708447842,LONG,17542.75,-1.849344199516344,2024_02_20
1708447848,LONG,17542.0,-2.0461992887611284,2024_02_20
1708447856,LONG,17542.75,-1.849344199516344,2024_02_20
1708447885,LONG,17540.0,-2.1633680545666114,2024_02_20
1708447909,LONG,17541.25,-1.8562168873304028,2024_02_20
1708447912,LONG,17541.25,-1.8562168873304028,2024_02_20
1708447924,LONG,17540.0,-1.8823277696410474,2024_02_20
1708447927,LONG,17539.25,-2.084607768766617,2024_02_20
1708448012,LONG,17537.25,-1.8583855182709155,2024_02_20
1708448022,LONG,17536.25,-2.1139068728312846,2024_02_20
1708448187,LONG,17518.0,-2.2728843883266427,2024_02_20
1708448239,LONG,17510.5,-1.8768188247707085,2024_02_20
1708448241,LONG,17510.25,-1.9103035495659022,2024_02_20
1708448262,LONG,17510.5,-1.8768188247707085,2024_02_20
1708448444,LONG,17499.25,-1.8767781819765048,2024_02_20
1708449017,SHORT,17489.0,2.0392992584014955,2024_02_20
1708449033,SHORT,17488.5,1.9307296439346875,2024_02_20
1708449076,SHORT,17492.0,1.9669567767053526,2024_02_20
1708449405,LONG,17466.75,-1.8711327094137782,2024_02_20
1708449408,LONG,17466.75,-1.8711327094137782,2024_02_20
1708449410,LONG,17466.75,-1.8711327094137782,2024_02_20
1708449413,LONG,17466.5,-1.9278337006081099,2024_02_20
1708449568,LONG,17461.75,-1.8760875991340549,2024_02_20
1708449609,LONG,17459.5,-1.9540812963475336,2024_02_20
1708449695,SHORT,17475.25,1.8878973327136535,2024_02_20
1708449710,SHORT,17475.25,1.8878973327136535,2024_02_20
1708449713,SHORT,17475.75,2.0031301302343376,2024_02_20
1708449943,SHORT,17470.75,1.9701833155006963,2024_02_20
1708449946,SHORT,17470.5,1.907338552645792,2024_02_20
1708449968,SHORT,17471.5,2.0350426157845423,2024_02_20
1708449982,SHORT,17471.0,1.896329117406763,2024_02_20
1708449989,SHORT,17471.25,1.9656858665956527,2024_02_20
1708450007,SHORT,17472.0,2.1737561141623214,2024_02_20
1708450042,SHORT,17472.75,2.0011665771592817,2024_02_20
1708450046,SHORT,17472.5,1.9363864343863808,2024_02_20
1708450048,SHORT,17472.5,1.9363864343863808,2024_02_20
1708450066,SHORT,17472.75,2.0011665771592817,2024_02_20
1708450215,SHORT,17475.5,2.050313128417831,2024_02_20
1708450218,SHORT,17475.25,1.9689783927450422,2024_02_20
1708450220,SHORT,17475.5,2.050313128417831,2024_02_20
1708450224,SHORT,17475.25,1.9689783927450422,2024_02_20
1708450276,SHORT,17480.25,2.0969400344853395,2024_02_20
1708450360,SHORT,17487.25,2.073451156963177,2024_02_20
1708450378,SHORT,17486.25,1.8787228150843895,2024_02_20
1708450387,SHORT,17490.25,1.9381804289853317,2024_02_20
1708450389,SHORT,17490.0,1.891738405926582,2024_02_20
1708450394,SHORT,17490.0,1.891738405926582,2024_02_20
1708450409,SHORT,17490.0,1.891738405926582,2024_02_20
1708450413,SHORT,17490.5,1.9846224520440814,2024_02_20
1708450437,SHORT,17490.0,1.891738405926582,2024_02_20
1708450621,LONG,17482.5,-1.9013194149490251,2024_02_20
1708450698,LONG,17476.25,-1.8844853964349597,2024_02_20
1708450700,LONG,17475.75,-1.9580143340295635,2024_02_20
1708450813,LONG,17454.75,-1.9916370010087563,2024_02_20
1708451063,SHORT,17499.25,1.8523914922054767,2024_02_20
1708451066,SHORT,17499.25,1.8523914922054767,2024_02_20
1708451070,SHORT,17499.25,1.8523914922054767,2024_02_20
1708451073,SHORT,17499.75,1.893092211616744,2024_02_20
1708451095,SHORT,17499.75,1.893092211616744,2024_02_20
1708451123,SHORT,17504.5,1.8637432783065506,2024_02_20
1708451147,SHORT,17504.5,1.8637432783065506,2024_02_20
1708452151,LONG,17498.5,-2.051099420392481,2024_02_20
1708452222,LONG,17497.0,-1.9376014786710647,2024_02_20
1708452259,LONG,17491.75,-1.8525659882535193,2024_02_20
1708452262,LONG,17491.0,-1.9503840809157529,2024_02_20
1708452273,LONG,17491.0,-1.9503840809157529,2024_02_20
1708452294,LONG,17491.25,-1.9177780500283417,2024_02_20
1708452297,LONG,17491.5,-1.8851720191409305,2024_02_20
1708452309,LONG,17487.5,-1.864672471120308,2024_02_20
1708452313,LONG,17486.0,-2.068740593814744,2024_02_20
1708452318,LONG,17487.0,-1.93269517868512,2024_02_20
1708452558,SHORT,17501.25,1.999438692408762,2024_02_20
1708452582,SHORT,17501.25,1.999438692408762,2024_02_20
1708452586,SHORT,17501.0,1.9364642454037904,2024_02_20
1708452592,SHORT,17500.75,1.8734897983988188,2024_02_20
1708452608,SHORT,17501.25,1.8566675677703144,2024_02_20
1708452611,SHORT,17502.0,2.033680365544983,2024_02_20
1708452622,SHORT,17501.25,1.8566675677703144,2024_02_20
1708452632,SHORT,17501.25,1.8566675677703144,2024_02_20
1708452637,SHORT,17501.25,1.8566675677703144,2024_02_20
1708452643,SHORT,17502.0,2.033680365544983,2024_02_20
1708452805,SHORT,17500.5,1.8578654440187785,2024_02_20
1708452808,SHORT,17500.5,1.8578654440187785,2024_02_20
1708452818,SHORT,17500.75,1.9147243711501822,2024_02_20
1708452841,SHORT,17504.0,1.9558309519662116,2024_02_20
1708452845,SHORT,17503.5,1.8487110458795066,2024_02_20
1708452964,LONG,17486.0,-2.0800481443298886,2024_02_20
1708452967,LONG,17486.25,-2.027444187044399,2024_02_20
1708453010,LONG,17486.5,-1.9748402297589096,2024_02_20
1708453023,LONG,17486.5,-1.8747569055779714,2024_02_20
1708453029,LONG,17485.75,-2.040217186531225,2024_02_20
1708453049,LONG,17486.25,-1.9299103325623892,2024_02_20
1708453052,LONG,17484.75,-2.2608308944688957,2024_02_20
1708453073,LONG,17486.0,-1.9850637595468068,2024_02_20
1708453181,SHORT,17504.0,2.2274570815959907,2024_02_20
