
STRATEGY PERFORMANCE REPORT
ID         | Playbook                     | Tier | Trades | Win%  | Sharpe | PnL        | MaxDD      | Risk 
252        | Unknown                      | 4    | 12     |  33.3 |  -0.40 | $-36.50    | $60.50     | 0.94
350        | Unknown                      | 4    | 10     |  40.0 |  -0.14 | $-40.00    | $86.00     | 0.72
583        | Unknown                      | 3    | 6      |  33.3 |  -0.28 | $-41.00    | $65.00     | 0.79
402        | Unknown                      | 4    | 13     |  46.2 |  -0.35 | $-41.00    | $52.50     | 1.06
951        | Unknown                      | 3    | 3      |  33.3 |  -0.90 | $-41.00    | $32.50     | 1.04
110        | Unknown                      | 4    | 12     |  50.0 |  -0.12 | $-43.00    | $80.50     | 0.73
8010       | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-43.50    | $0.00      | 1.12
853        | Unknown                      | 3    | 2      |   0.0 |  -2.94 | $-45.50    | $30.50     | 1.14
122        | Unknown                      | 4    | 52     |  25.0 |  -0.01 | $-47.00    | $535.00    | 0.64
342        | Unknown                      | 4    | 12     |  41.7 |  -0.17 | $-47.00    | $104.00    | 0.81
163        | Unknown                      | 4    | 46     |  32.6 |  -0.06 | $-48.00    | $118.50    | 0.69
440        | Unknown                      | 3    | 7      |  28.6 |  -0.18 | $-48.00    | $102.50    | 0.69
732        | Unknown                      | 3    | 9      |  33.3 |  -0.26 | $-48.50    | $25.50     | 0.75
881        | Unknown                      | 4    | 21     |  19.0 |  -0.06 | $-50.50    | $192.00    | 0.63
370        | Unknown                      | 4    | 10     |  40.0 |  -0.45 | $-50.50    | $58.00     | 1.04
300        | Unknown                      | 3    | 5      |  20.0 |  -0.14 | $-51.00    | $176.50    | 0.63
403        | Unknown                      | 3    | 5      |  40.0 |  -0.39 | $-51.00    | $77.50     | 0.93
852        | Unknown                      | 3    | 9      |  33.3 |  -0.07 | $-54.00    | $246.50    | 0.60
490        | Unknown                      | 3    | 5      |  80.0 |  -0.24 | $-54.00    | $99.00     | 0.88
693        | Unknown                      | 4    | 26     |  34.6 |  -0.06 | $-55.50    | $238.00    | 0.61
702        | Unknown                      | 4    | 11     |  27.3 |  -0.33 | $-56.00    | $62.50     | 0.77
582        | Unknown                      | 3    | 7      |  28.6 |  -0.55 | $-59.50    | $81.50     | 0.96
491        | Unknown                      | 4    | 14     |  42.9 |  -0.18 | $-61.00    | $109.50    | 0.84
121        | Unknown                      | 3    | 7      |  14.3 |  -0.63 | $-63.00    | $72.00     | 0.76
4501       | Unknown                      | 4    | 42     |  33.3 |  -0.14 | $-64.00    | $68.00     | 0.61
413        | Unknown                      | 3    | 4      |   0.0 |  -1.83 | $-64.00    | $55.00     | 1.18
151        | Unknown                      | 4    | 82     |  48.8 |  -0.01 | $-67.00    | $552.50    | 0.60
380        | Unknown                      | 3    | 7      |  28.6 |  -0.72 | $-67.00    | $44.00     | 1.01
752        | Unknown                      | 4    | 30     |  33.3 |  -0.07 | $-69.50    | $247.50    | 0.62
962        | Unknown                      | 3    | 6      |  50.0 |  -0.40 | $-70.00    | $73.00     | 0.99
493        | Unknown                      | 4    | 10     |   0.0 |  -1.49 | $-70.00    | $69.00     | 1.30
600        | Unknown                      | 3    | 6      |  33.3 |  -0.72 | $-70.50    | $72.00     | 1.06
800        | Unknown                      | 4    | 14     |  28.6 |  -0.31 | $-76.00    | $53.00     | 0.69
843        | Unknown                      | 3    | 7      |  14.3 |  -0.61 | $-83.00    | $82.00     | 0.75
671        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-84.00    | $0.00      | 1.12
194        | Unknown                      | 4    | 20     |  35.0 |  -0.18 | $-87.00    | $93.00     | 0.67
940        | Unknown                      | 3    | 5      |  60.0 |  -0.34 | $-89.50    | $128.50    | 0.96
604        | Unknown                      | 4    | 14     |  21.4 |  -0.48 | $-103.00   | $119.00    | 0.92
133        | Unknown                      | 4    | 16     |  25.0 |  -0.48 | $-103.00   | $92.00     | 0.92
2410       | Unknown                      | 4    | 12     |  33.3 |  -0.18 | $-103.50   | $182.50    | 0.80
741        | Unknown                      | 4    | 10     |  20.0 |  -0.58 | $-104.50   | $58.00     | 0.87
9610       | Unknown                      | 4    | 38     |  39.5 |  -0.04 | $-107.50   | $620.50    | 0.72
960        | Unknown                      | 4    | 13     |  38.5 |  -0.20 | $-111.00   | $176.00    | 0.77
132        | Unknown                      | 4    | 51     |  27.5 |  -0.11 | $-113.00   | $165.00    | 0.60
261        | Unknown                      | 3    | 5      |  20.0 |  -0.58 | $-113.50   | $59.00     | 0.82
9011       | Unknown                      | 4    | 10     |   0.0 |  -0.89 | $-114.50   | $114.00    | 1.30
963        | Unknown                      | 4    | 15     |  33.3 |  -0.39 | $-132.50   | $136.00    | 1.03
9611       | Unknown                      | 4    | 60     |  31.7 |  -0.11 | $-135.50   | $277.00    | 0.74
32         | Unknown                      | 4    | 102    |  27.5 |  -0.07 | $-139.50   | $316.00    | 0.65
332        | Unknown                      | 3    | 4      |   0.0 |  -1.43 | $-145.00   | $65.50     | 1.18
352        | Unknown                      | 4    | 10     |  10.0 |  -0.66 | $-148.50   | $183.50    | 0.82
590        | Unknown                      | 4    | 21     |  23.8 |  -0.16 | $-174.00   | $252.50    | 0.68
4110       | Unknown                      | 3    | 4      |  25.0 |  -0.95 | $-177.00   | $75.50     | 1.06
453        | Unknown                      | 4    | 31     |  22.6 |  -0.33 | $-182.50   | $196.00    | 0.83
130        | Unknown                      | 4    | 33     |  30.3 |  -0.14 | $-183.50   | $291.00    | 0.71
131        | Unknown                      | 4    | 41     |  39.0 |  -0.10 | $-188.50   | $290.00    | 0.63
900        | Unknown                      | 4    | 10     |  40.0 |  -0.50 | $-207.50   | $111.00    | 1.02
140        | Unknown                      | 4    | 76     |  34.2 |  -0.12 | $-216.00   | $354.50    | 0.67
90         | Unknown                      | 4    | 89     |  28.1 |  -0.02 | $-217.00   | $984.50    | 0.63
1621       | Unknown                      | 4    | 19     |  36.8 |  -0.19 | $-221.50   | $382.50    | 0.82
191        | Unknown                      | 4    | 20     |  20.0 |  -0.54 | $-227.50   | $243.00    | 0.96
872        | Unknown                      | 4    | 18     |  11.1 |  -0.43 | $-232.50   | $226.50    | 0.77
640        | Unknown                      | 4    | 66     |  31.8 |  -0.04 | $-238.00   | $1179.00   | 0.69
86         | [4m] Singularity+Shock Trend | 3    | 8      |  37.5 |  -0.16 | $-266.50   | $535.50    | 0.70
691        | Unknown                      | 3    | 5      |  20.0 |  -0.42 | $-270.00   | $345.50    | 0.84
101        | Unknown                      | 3    | 5      |   0.0 |  -1.25 | $-271.00   | $229.00    | 1.20
78         | Unknown                      | 3    | 3      |   0.0 |  -1.50 | $-293.00   | $108.00    | 1.16
692        | Unknown                      | 4    | 45     |  24.4 |  -0.30 | $-314.50   | $421.50    | 0.86
681        | Unknown                      | 4    | 31     |  19.4 |  -0.12 | $-361.50   | $581.50    | 0.67
341        | Unknown                      | 4    | 25     |  28.0 |  -0.36 | $-369.00   | $461.50    | 0.82
92         | Unknown                      | 4    | 98     |  23.5 |  -0.22 | $-390.00   | $477.50    | 0.80
150        | Unknown                      | 4    | 44     |  36.4 |  -0.21 | $-428.50   | $455.50    | 0.88
45000      | Unknown                      | 4    | 95     |  33.7 |  -0.13 | $-508.50   | $622.50    | 0.75
91         | Unknown                      | 4    | 23     |   8.7 |  -0.33 | $-598.50   | $586.50    | 0.74
190        | Unknown                      | 4    | 20     |  15.0 |  -0.65 | $-656.00   | $695.00    | 0.97
570        | Unknown                      | 4    | 57     |  17.5 |  -0.18 | $-939.50   | $874.00    | 0.79
750        | Unknown                      | 4    | 20     |  40.0 |  -0.41 | $-1155.00  | $1342.50   | 1.08

Saved 4 Tier 1 strategies to checkpoints\production_playbook.pkl

TIER SUMMARY:
  Tier 1 (PRODUCTION): 4 templates
  Tier 2 (PROMISING): 23 templates
  Tier 3 (UNPROVEN): 271 templates
  Tier 4 (TOXIC): 69 templates

ANCESTRY ANALYSIS (Tier 1):
  Roche-backed: 3
  Structure-backed: 1

================================================================================
PARETO ANALYSIS  (top contributors to gross profit)
================================================================================
  Gross profit from winning trades: $135,073.00  (1,789 wins of 4,837 total)

  -- BY TEMPLATE --
  Key                       PnL  Trades    Cum%
  1                  $29,861.00     142    22.1%
  10                 $18,801.50      54    36.0%
  0                  $15,583.00      92    47.6%
  551                $ 3,668.50      25    50.3%
  11                 $ 3,577.00      14    52.9%
  880                $ 3,519.50      24    55.5%
  572                $ 3,387.00      22    58.0%
  30                 $ 2,721.00      36    60.1%
  751                $ 2,699.00      17    62.1%
  90                 $ 2,255.00      25    63.7%
  => 30 of 211 keys (14%) drive 80% of profit

  -- BY DIRECTION --
  Key                       PnL  Trades    Cum%
  SHORT              $67,645.50     860    50.1%
  LONG               $67,427.50     929   100.0% <-- 80%
  => 2 of 2 keys (100%) drive 80% of profit

  -- BY ORACLE LABEL --
  Key                       PnL  Trades    Cum%
  MEGA_LONG          $44,603.00     605    33.0%
  MEGA_SHORT         $39,731.50     532    62.4%
  SCALP_LONG         $21,938.50     256    78.7%
  SCALP_SHORT        $16,600.50     220    91.0% <-- 80%
  NOISE              $12,169.00     175   100.0%
  WORKER_BYPASS      $    30.50       1   100.0%
  => 4 of 6 keys (67%) drive 80% of profit
