**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,seg_idx,shape_class,cluster_id,ride_pnl_pts,resolved_as_cascade,length_min,peak_abs_z
2025_02_24,0,NOISE,-1,0.0,False,120.0,2.928
2025_02_24,1,LINEAR_UP,0,31.0,False,75.0,1.911
2025_02_24,2,LINEAR_UP,0,9.5,False,210.0,3.536
2025_02_24,3,EXPONENTIAL_DOWN,1,-2.25,False,150.0,3.863
2025_02_24,4,STEP_UP,0,-1.0,False,30.0,1.98
2025_02_24,5,EXPONENTIAL_UP,-1,-17.5,False,135.0,1.311
2025_02_24,6,LOGARITHMIC_DOWN,0,5.0,False,75.0,2.704
2025_02_24,7,EXPONENTIAL_UP,0,10.5,False,60.0,2.641
2025_02_24,8,LINEAR_DOWN,1,118.25,True,210.0,8.626
2025_02_24,9,EXPONENTIAL_UP,0,-57.0,False,90.0,1.698
2025_02_24,10,EXPONENTIAL_DOWN,1,215.0,False,284.92,3.853
2025_02_25,2,EXPONENTIAL_UP,0,10.75,False,45.0,1.846
2025_02_25,3,NOISE,0,-7.75,False,60.0,2.428
2025_02_25,4,STEP_DOWN,0,14.0,False,60.0,2.847
2025_02_25,5,EXPONENTIAL_DOWN,-1,-7.75,False,60.0,2.013
2025_02_25,6,NOISE,0,4.25,False,45.0,1.722
2025_02_25,7,LINEAR_DOWN,1,110.5,True,330.0,7.194
2025_02_25,8,EXPONENTIAL_UP,0,54.75,False,180.0,2.686
2025_02_25,9,LINEAR_DOWN,1,157.0,True,210.0,5.196
2025_02_25,10,LOGARITHMIC_UP,0,-7.5,False,150.0,2.47
2025_02_25,11,EXPONENTIAL_DOWN,1,27.25,False,45.0,2.143
2025_02_25,12,NOISE,0,-45.0,False,105.0,1.702
2025_02_25,13,LOGARITHMIC_UP,-1,-7.75,False,59.92,1.841
2025_02_26,1,EXPONENTIAL_DOWN,0,22.0,False,60.0,2.226
2025_02_26,2,EXPONENTIAL_UP,0,34.75,False,90.0,3.196
2025_02_26,3,LINEAR_UP,0,75.5,False,480.0,3.362
2025_02_26,4,EXPONENTIAL_DOWN,1,23.25,True,90.0,4.261
2025_02_26,5,EXPONENTIAL_DOWN,1,69.0,False,90.0,3.808
2025_02_26,6,EXPONENTIAL_UP,0,99.5,False,30.0,2.278
2025_02_26,7,EXPONENTIAL_UP,0,3.5,False,150.0,2.83
2025_02_26,8,LINEAR_DOWN,1,116.25,False,210.0,3.164
