tier,sub_motif_shape,measure_shape,n_is,n_oos,mean_is,mean_oos,sum_is,sum_oos,sign_match
FADE_AT_BAND,STEEP_CONCAVE_DOWN,STEEP_LINEAR_UP,23,0,6.43,,148.0,0.0,-1
FADE_AT_BAND,STEEP_CONCAVE_UP,FLATLINE,498,148,-0.33,0.15,-165.0,22.0,0
FADE_AT_BAND,STEEP_CONCAVE_UP,GENTLE_CONCAVE_UP,84,13,0.31,0.58,26.0,8.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,GENTLE_CONVEX_DOWN,104,13,0.29,0.54,30.0,7.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,GENTLE_CONVEX_UP,21,7,-0.33,-1.07,-7.0,-8.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,GENTLE_LINEAR_UP,36,2,0.44,11.0,16.0,22.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,NOISE,526,148,1.39,3.71,734.0,548.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,STEEP_CONCAVE_DOWN,57,7,2.68,2.21,152.0,16.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,1471,477,0.61,1.21,903.0,576.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,546,111,0.21,0.54,116.0,60.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,STEEP_CONVEX_UP,116,34,-3.53,-0.74,-409.0,-25.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,281,133,2.37,3.37,667.0,448.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,1064,265,-1.45,-0.42,-1539.0,-112.0,1
FADE_AT_BAND,STEEP_CONVEX_DOWN,FLATLINE,402,94,0.03,6.31,12.0,593.0,1
FADE_AT_BAND,STEEP_CONVEX_DOWN,GENTLE_CONCAVE_UP,36,0,-0.53,,-19.0,0.0,-1
FADE_AT_BAND,STEEP_CONVEX_DOWN,GENTLE_CONVEX_DOWN,31,0,1.31,,40.0,0.0,-1
FADE_AT_BAND,STEEP_CONVEX_DOWN,GENTLE_LINEAR_DOWN,20,0,0.35,,7.0,0.0,-1
FADE_AT_BAND,STEEP_CONVEX_DOWN,NOISE,525,117,1.53,3.6,802.0,422.0,1
FADE_AT_BAND,STEEP_CONVEX_DOWN,STEEP_CONCAVE_DOWN,104,24,0.69,-2.88,72.0,-69.0,0
FADE_AT_BAND,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,394,115,0.9,0.62,354.0,72.0,1
FADE_AT_BAND,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,1297,325,1.6,2.3,2074.0,746.0,1
FADE_AT_BAND,STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,72,14,4.38,2.54,315.0,36.0,1
FADE_AT_BAND,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,989,203,0.07,-0.4,66.0,-81.0,0
FADE_AT_BAND,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,325,87,3.54,3.86,1150.0,336.0,1
FADE_AT_BAND,STEEP_CONVEX_UP,STEEP_CONCAVE_UP,79,12,-0.87,-6.54,-69.0,-78.0,1
FADE_AT_BAND,STEEP_CONVEX_UP,STEEP_CONVEX_DOWN,13,0,-0.27,,-4.0,0.0,-1
FADE_AT_BAND,STEEP_CONVEX_UP,STEEP_CONVEX_UP,12,5,-8.5,-7.3,-102.0,-36.0,1
FADE_AT_BAND,STEEP_CONVEX_UP,STEEP_LINEAR_UP,119,48,-10.29,-5.99,-1224.0,-288.0,1
FADE_AT_BAND,STEEP_LINEAR_DOWN,FLATLINE,445,120,0.42,-2.32,187.0,-278.0,0
FADE_AT_BAND,STEEP_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,20,0,-0.33,,-6.0,0.0,-1
FADE_AT_BAND,STEEP_LINEAR_DOWN,GENTLE_CONCAVE_UP,16,8,-0.03,-1.56,-0.0,-12.0,1
FADE_AT_BAND,STEEP_LINEAR_DOWN,GENTLE_CONVEX_DOWN,18,0,-0.28,,-5.0,0.0,-1
FADE_AT_BAND,STEEP_LINEAR_DOWN,NOISE,585,132,0.08,5.06,45.0,668.0,1
FADE_AT_BAND,STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,208,83,-2.65,-1.59,-551.0,-132.0,1
FADE_AT_BAND,STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,505,122,-0.56,1.62,-282.0,198.0,0
FADE_AT_BAND,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,1399,431,-0.08,1.19,-115.0,512.0,0
FADE_AT_BAND,STEEP_LINEAR_DOWN,STEEP_CONVEX_UP,32,15,3.88,0.97,124.0,14.0,1
FADE_AT_BAND,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,2305,730,-2.84,-3.53,-6556.0,-2578.0,1
FADE_AT_BAND,STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,221,78,3.88,4.02,857.0,314.0,1
FADE_AT_BAND,STEEP_LINEAR_UP,FLATLINE,335,125,0.4,-0.92,135.0,-115.0,0
FADE_AT_BAND,STEEP_LINEAR_UP,GENTLE_CONCAVE_UP,57,5,0.22,0.5,12.0,2.0,1
FADE_AT_BAND,STEEP_LINEAR_UP,GENTLE_CONVEX_DOWN,28,0,0.54,,15.0,0.0,-1
FADE_AT_BAND,STEEP_LINEAR_UP,GENTLE_CONVEX_UP,12,5,-0.25,-1.5,-3.0,-8.0,1
FADE_AT_BAND,STEEP_LINEAR_UP,GENTLE_LINEAR_UP,11,0,0.64,,7.0,0.0,-1
FADE_AT_BAND,STEEP_LINEAR_UP,NOISE,390,145,1.45,1.09,566.0,158.0,1
