**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

date,open,high,low,close,range,body,efficiency,body_signed,strat_pnl,strat_n,strat_wins,eff_q,range_20d_mean,range_ratio,window
2026-02-19,24964.5,25054.25,24748.0,24878.25,306.25,86.25,0.2816326530612245,-86.25,-1191.0000000000002,30,6,Q2,504.1375,0.6074731596042746,WORKING (1/2-2/26)
2026-02-20,24877.25,25139.75,24677.0,25078.5,462.75,201.25,0.43490005402485143,201.25,561.4000000000001,24,13,Q2,499.975,0.9255462773138656,WORKING (1/2-2/26)
2026-02-23,24971.75,25040.0,24667.75,24788.25,372.25,183.5,0.49294828744123576,-183.5,374.69999999999993,12,7,Q2,509.5,0.7306182531894013,WORKING (1/2-2/26)
2026-02-24,24789.0,25080.75,24694.0,25044.25,386.75,255.25,0.6599870717517776,255.25,-236.80000000000007,17,6,Q4 trend,510.475,0.7576276996914638,WORKING (1/2-2/26)
2026-02-25,25044.25,25495.0,24995.0,25316.5,500.0,272.25,0.5445,272.25,510.0000000000001,5,3,Q3,492.575,1.015073846622342,WORKING (1/2-2/26)
2026-02-26,25316.25,25415.5,24862.0,24996.25,553.5,320.0,0.5781391147244805,-320.0,934.6999999999999,12,5,Q3,496.3125,1.1152247827729505,WORKING (1/2-2/26)
2026-02-27,24995.75,25098.75,24780.0,24952.5,318.75,43.25,0.13568627450980392,-43.25,-1085.9000000000003,31,8,Q1 chop,514.1125,0.6200004862748912,BLEED (2/27-4/24)
2026-03-01,24684.75,24816.25,24631.0,24739.0,185.25,54.25,0.29284750337381915,54.25,392.0,5,3,Q2,490.125,0.37796480489671,BLEED (2/27-4/24)
2026-03-02,24740.0,25100.0,24477.0,24971.75,623.0,231.75,0.3719903691813804,231.75,86.40000000000055,29,12,Q2,458.9,1.3575942471126607,BLEED (2/27-4/24)
2026-03-03,24972.5,24983.0,24350.75,24702.5,632.25,270.0,0.42704626334519574,-270.0,-760.1999999999997,43,14,Q2,453.525,1.394079708946585,BLEED (2/27-4/24)
2026-03-04,24702.75,25217.0,24498.5,25171.75,718.5,469.0,0.6527487821851079,469.0,102.2999999999999,28,11,Q4 trend,441.3625,1.62791356311422,BLEED (2/27-4/24)
2026-03-05,25171.0,25243.0,24774.0,25060.5,469.0,110.5,0.23560767590618337,-110.5,-197.0999999999997,34,11,Q1 chop,428.2375,1.0951866662774745,BLEED (2/27-4/24)
2026-03-06,25059.75,25141.5,24605.0,24660.75,536.5,399.0,0.7437092264678472,-399.0,-828.0999999999996,34,9,Q4 trend,444.3375,1.2074155343629562,BLEED (2/27-4/24)
2026-03-08,24500.0,24500.0,24167.0,24214.5,333.0,285.5,0.8573573573573574,-285.5,437.6,6,4,Q4 trend,447.4875,0.744154864661024,BLEED (2/27-4/24)
2026-03-09,24215.25,25055.0,23999.0,24881.75,1056.0,666.5,0.631155303030303,666.5,-232.1999999999995,38,13,Q3,451.6625,2.338028948606537,BLEED (2/27-4/24)
2026-03-10,24881.5,25217.75,24832.5,25015.75,385.25,134.25,0.3484750162232317,134.25,-417.5999999999999,29,9,Q2,484.0875,0.7958272006610375,BLEED (2/27-4/24)
2026-03-11,25016.5,25180.0,24732.5,24788.0,447.5,228.5,0.5106145251396648,-228.5,-475.0999999999999,29,10,Q3,468.425,0.9553290281261675,BLEED (2/27-4/24)
2026-03-12,24787.75,24929.0,24517.0,24528.75,412.0,259.0,0.6286407766990292,-259.0,-1629.600000000001,34,9,Q3,469.9625,0.8766656914115488,BLEED (2/27-4/24)
2026-03-13,24529.0,24805.0,24333.75,24335.25,471.25,193.75,0.41114058355437666,-193.75,-338.29999999999984,27,8,Q2,477.975,0.9859302264762801,BLEED (2/27-4/24)
2026-03-15,24287.75,24495.75,24270.0,24440.5,225.75,152.75,0.6766334440753046,152.75,-78.80000000000001,2,1,Q4 trend,479.525,0.4707783744330327,BLEED (2/27-4/24)
2026-03-16,24440.0,24816.25,24435.0,24666.5,381.25,226.5,0.5940983606557377,226.5,84.79999999999995,13,5,Q3,469.775,0.811558724921505,BLEED (2/27-4/24)
2026-03-17,24666.75,24896.75,24517.5,24784.0,379.25,117.25,0.3091628213579433,117.25,-39.2,13,4,Q2,473.525,0.8009080829945621,BLEED (2/27-4/24)
2026-03-18,24784.25,24990.0,24346.5,24406.0,643.5,378.25,0.5878010878010878,-378.25,229.00000000000043,20,9,Q3,469.35,1.37104506232023,BLEED (2/27-4/24)
2026-03-19,24405.0,24507.75,24113.75,24402.5,394.0,2.5,0.006345177664974619,-2.5,-608.2999999999994,32,15,Q1 chop,482.9125,0.8158827945021095,BLEED (2/27-4/24)
2026-03-20,24529.25,24616.5,23970.75,24217.0,645.75,312.25,0.4835462640340689,-312.25,-211.79999999999984,22,7,Q2,483.275,1.3361957477626611,BLEED (2/27-4/24)
2026-03-22,23914.0,24095.75,23826.5,23855.0,269.25,59.0,0.2191272051996286,-59.0,-213.20000000000002,8,4,Q1 chop,490.5625,0.5488597273538031,BLEED (2/27-4/24)
2026-03-23,23856.0,24763.5,23772.75,24377.5,990.75,521.5,0.5263689124400707,521.5,402.29999999999893,53,17,Q3,476.35,2.0798782407893355,BLEED (2/27-4/24)
2026-03-24,24377.0,24547.75,24134.75,24379.0,413.0,2.0,0.004842615012106538,2.0,-362.19999999999993,38,14,Q1 chop,509.95,0.8098833218943033,BLEED (2/27-4/24)
2026-03-25,24378.0,24540.0,24232.25,24289.5,307.75,88.5,0.2875710804224208,-88.5,-229.19999999999985,28,11,Q2,521.3375,0.5903085812933081,BLEED (2/27-4/24)
2026-03-26,24290.25,24298.0,23762.0,23905.5,536.0,384.75,0.7178171641791045,-384.75,-1126.1000000000004,24,7,Q4 trend,505.575,1.0601790041042378,BLEED (2/27-4/24)
2026-03-27,23905.0,23907.0,23231.0,23255.0,676.0,650.0,0.9615384615384616,-650.0,-222.89999999999995,21,6,Q4 trend,500.7625,1.3499413394573276,BLEED (2/27-4/24)
2026-03-29,23191.5,23416.5,23093.75,23390.0,322.75,198.5,0.6150271107668474,198.5,59.199999999999996,2,1,Q3,498.6375,0.6472637938382091,BLEED (2/27-4/24)
2026-03-30,23390.0,23580.0,22960.5,23292.25,619.5,97.75,0.15778853914447136,-97.75,1322.2999999999997,23,13,Q1 chop,491.325,1.2608762021065487,BLEED (2/27-4/24)
2026-03-31,23292.0,24177.25,23238.0,24169.0,939.25,877.0,0.9337237157306362,877.0,-201.60000000000005,29,9,Q4 trend,495.475,1.895655683939654,BLEED (2/27-4/24)
2026-04-01,24169.5,24349.0,23752.0,23816.0,597.0,353.5,0.5921273031825796,-353.5,648.2,22,11,Q3,525.7875,1.1354396975964625,BLEED (2/27-4/24)
2026-04-02,23815.75,24267.75,23666.5,24153.25,601.25,337.5,0.5613305613305614,337.5,-631.2999999999997,27,6,Q3,502.8375,1.1957143212270367,BLEED (2/27-4/24)
2026-04-03,24152.25,24240.25,24105.75,24132.25,134.5,20.0,0.14869888475836432,-20.0,48.300000000000004,3,2,Q1 chop,513.6375,0.2618578277481687,BLEED (2/27-4/24)
2026-04-05,24093.25,24326.5,23981.0,24256.5,345.5,163.25,0.4725036179450072,163.25,13.599999999999994,6,3,Q2,497.9875,0.6937925148723613,BLEED (2/27-4/24)
2026-04-06,24256.25,24453.0,24152.5,24242.0,300.5,14.25,0.04742096505823627,-14.25,-483.9999999999999,20,7,Q1 chop,494.6625,0.6074849013216082,BLEED (2/27-4/24)
2026-04-07,24242.5,25203.0,23941.5,25171.25,1261.5,928.75,0.7362267142290924,928.75,750.5000000000001,20,10,Q4 trend,486.125,2.5950115710979684,BLEED (2/27-4/24)
2026-04-08,25171.25,25257.25,24926.5,25039.5,330.75,131.75,0.3983371126228269,-131.75,-265.1000000000001,19,6,Q2,537.9125,0.6148769548950805,BLEED (2/27-4/24)
2026-04-09,25040.0,25304.0,24953.0,25228.75,351.0,188.75,0.5377492877492878,188.75,5.800000000000004,13,4,Q3,535.3875,0.6555999159487287,BLEED (2/27-4/24)
2026-04-10,25228.75,25393.5,25203.25,25333.0,190.25,104.25,0.5479632063074902,104.25,15.299999999999983,8,3,Q3,533.975,0.3562900884872887,BLEED (2/27-4/24)
