day,pivot_ts,pivot_bar,n_bars,entry_ts,entry_bar,dir,entry_px,exit_ts,exit_bar,exit_px,exit_reason,pnl_pts,pnl_usd,combiner_P
2026_06_26,1782488640.0,134,15,1782489540,149,-1,29620.0,1782491640,184,29634.0,R_TRIGGER,-14.0,-29.0,0.7878
2026_06_26,1782490860.0,171,13,1782491640,184,1,29634.0,1782492365,,29584.0,CAT_STOP,-50.0,-101.0,0.9644
2026_06_26,1782490860.0,171,26,1782492420,197,1,29603.0,1782495600,250,29573.75,R_TRIGGER,-29.25,-59.5,0.8035
2026_06_26,1782493800.0,220,30,1782495600,250,-1,29573.75,1782502980,373,29529.25,R_TRIGGER,44.5,88.0,0.7609
2026_06_26,1782500220.0,327,49,1782503160,376,1,29554.5,1782503400,380,29504.5,CAT_STOP,-50.0,-101.0,0.7551
2026_06_26,1782503160.0,376,4,1782503400,380,-1,29439.25,1782504900,405,29362.0,SESSION_CLOSE,77.25,153.5,0.9862
2026_06_29,,-150,150,1782739800,0,-1,29622.75,1782739805,,29672.75,CAT_STOP,-50.0,-101.0,0.8685
2026_06_29,,-150,151,1782739860,1,-1,29663.25,1782739970,,29713.25,CAT_STOP,-50.0,-101.0,0.8534
2026_06_29,1782739800.0,0,3,1782739980,3,1,29721.5,1782740195,,29671.5,CAT_STOP,-50.0,-101.0,0.8372
2026_06_29,1782739800.0,0,7,1782740220,7,1,29679.0,1782740280,8,29657.75,R_TRIGGER,-21.25,-43.5,0.7935
2026_06_29,1782740100.0,5,3,1782740280,8,-1,29657.75,1782740395,,29707.75,CAT_STOP,-50.0,-101.0,0.9026
2026_06_29,1782740100.0,5,5,1782740400,10,1,29733.75,1782740405,,29683.75,CAT_STOP,-50.0,-101.0,0.8576
2026_06_29,1782740280.0,8,3,1782740460,11,-1,29719.25,1782740700,15,29769.25,CAT_STOP,-50.0,-101.0,0.7845
2026_06_29,1782740280.0,8,7,1782740700,15,1,29817.25,1782740820,17,29767.25,CAT_STOP,-50.0,-101.0,0.9191
2026_06_29,1782740280.0,8,9,1782740820,17,1,29809.5,1782740825,,29759.5,CAT_STOP,-50.0,-101.0,0.8148
2026_06_29,1782740280.0,8,10,1782740880,18,1,29813.0,1782741000,20,29763.0,CAT_STOP,-50.0,-101.0,0.9076
2026_06_29,1782740700.0,15,5,1782741000,20,1,29779.0,1782741010,,29729.0,CAT_STOP,-50.0,-101.0,0.7994
2026_06_29,1782740700.0,15,6,1782741060,21,1,29812.5,1782741290,,29762.5,CAT_STOP,-50.0,-101.0,0.7994
2026_06_29,1782741000.0,20,5,1782741300,25,-1,29675.5,1782741305,,29725.5,CAT_STOP,-50.0,-101.0,0.8221
2026_06_29,1782741180.0,23,3,1782741360,26,1,29645.5,1782741440,,29595.5,CAT_STOP,-50.0,-101.0,0.8478
2026_06_29,1782741180.0,23,5,1782741480,28,-1,29603.75,1782742740,49,29382.0,R_TRIGGER,221.75,442.5,0.8674
2026_06_29,1782742500.0,45,4,1782742740,49,-1,29382.0,1782742955,,29432.0,CAT_STOP,-50.0,-101.0,0.9021
2026_06_29,1782742500.0,45,8,1782742980,53,-1,29360.5,1782743160,56,29410.5,CAT_STOP,-50.0,-101.0,0.8016
2026_06_29,1782742500.0,45,13,1782743280,58,1,29529.75,1782743315,,29479.75,CAT_STOP,-50.0,-101.0,0.9833
2026_06_29,1782742500.0,45,14,1782743340,59,1,29545.5,1782744300,75,29558.5,R_TRIGGER,13.0,25.0,0.7385
2026_06_29,1782743640.0,64,11,1782744300,75,1,29558.5,1782744480,78,29508.5,CAT_STOP,-50.0,-101.0,0.8462
2026_06_29,1782743640.0,64,15,1782744540,79,1,29571.5,1782744545,,29521.5,CAT_STOP,-50.0,-101.0,0.8185
2026_06_29,1782743640.0,64,16,1782744600,80,1,29623.5,1782762660,381,29980.25,R_TRIGGER,356.75,712.5,0.8111
2026_06_29,1782758760.0,316,65,1782762660,381,-1,29980.25,1782763140,389,30030.25,CAT_STOP,-50.0,-101.0,0.8241
2026_06_29,1782762720.0,382,7,1782763140,389,1,30046.5,1782763240,,29996.5,CAT_STOP,-50.0,-101.0,0.9721
2026_06_29,1782762720.0,382,13,1782763500,395,1,30024.25,1782764100,405,30025.25,SESSION_CLOSE,1.0,1.0,0.7746
2026_06_30,,-6,6,1782826200,0,1,30086.75,1782826225,,30036.75,CAT_STOP,-50.0,-101.0,0.9494
2026_06_30,,-6,11,1782826500,5,1,30248.5,1782826505,,30198.5,CAT_STOP,-50.0,-101.0,0.7752
2026_06_30,,-6,13,1782826620,7,1,30256.5,1782826740,9,30206.5,CAT_STOP,-50.0,-101.0,0.7992
2026_06_30,,-6,15,1782826740,9,-1,30187.5,1782826925,,30237.5,CAT_STOP,-50.0,-101.0,0.7771
2026_06_30,1782826620.0,7,6,1782826980,13,-1,30197.0,1782827100,15,30247.0,CAT_STOP,-50.0,-101.0,0.803
2026_06_30,1782827040.0,14,3,1782827220,17,1,30218.5,1782828600,40,30327.0,R_TRIGGER,108.5,216.0,0.8418
2026_06_30,1782828240.0,34,6,1782828600,40,1,30327.0,1782830760,76,30352.0,R_TRIGGER,25.0,49.0,0.7688
2026_06_30,1782830040.0,64,16,1782831000,80,-1,30364.25,1782831720,92,30368.75,R_TRIGGER,-4.5,-10.0,0.7892
