trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,exit_reason,chain_idx,day
4,14:20,1759326660.0,long,24755.5,24859.5,208.0,29,208.0,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_10_01
5,19:45,1759328580.0,short,24868.25,25008.0,-279.5,322,0.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_01
6,22:59,1759351380.0,long,25006.25,25012.25,12.0,136,26.0,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_10_01
0,09:05,1759364760.0,short,25043.75,25104.75,-122.0,519,9.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_02
1,20:35,1759435320.0,short,25119.5,25104.75,29.5,33,29.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_10_02
2,23:12,1759437420.0,long,25108.25,25113.25,10.0,155,10.0,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_10_02
0,05:50,1759454045.0,short,25142.5,25180.75,-76.5,275,5.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_03
1,10:35,1759472040.0,short,25174.25,25165.5,17.5,261,17.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_10_03
2,18:15,1759514160.0,long,24969.0,24980.5,23.0,19,25.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_03
0,06:38,1759727765.0,long,25087.5,25102.5,30.0,81,30.0,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_10_06
1,07:53,1759736520.0,long,25061.75,25085.0,46.5,11,48.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_06
2,14:54,1759762260.0,short,25142.0,25137.0,10.0,3,10.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_06
3,20:00,1759780080.0,long,25198.0,25180.75,-34.5,12,20.0,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_10_06
0,02:27,1759803840.0,long,25143.25,25143.0,-0.5,3,2.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_07
1,07:56,1759818360.0,long,25153.25,25163.0,19.5,90,20.0,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_10_07
2,10:05,1759828560.0,short,25181.5,25173.75,15.5,49,15.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_07
3,13:31,1759841640.0,short,25243.25,25234.75,17.0,37,26.0,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_10_07
4,14:40,1759847700.0,short,25204.25,25208.25,-8.0,5,17.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_07
5,16:35,1759854420.0,short,25047.0,25069.5,-45.0,8,18.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_10_07
0,00:28,1759883220.0,short,25039.0,25040.25,-2.5,1,0.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_08
1,09:18,1759913820.0,long,25084.25,25087.25,6.0,21,25.0,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_10_08
2,13:18,1759925760.0,long,25052.25,25082.5,60.5,62,60.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_10_08
0,05:05,1759968120.0,long,25373.0,25343.5,-59.0,303,0.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_09
1,05:43,1759987980.0,short,25359.0,25355.5,7.0,10,7.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_09
2,08:35,1759997820.0,long,25317.0,25312.75,-8.5,18,28.0,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_10_09
0,06:45,1760078280.0,long,25315.25,25325.75,21.0,7,27.0,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_10_10
1,15:18,1760108580.0,long,25067.0,24942.0,-250.0,15,16.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_10_10
0,22:05,1760306520.0,short,24696.0,24666.0,60.0,3,60.0,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_10_12
0,04:20,1760327640.0,long,24779.75,24792.0,24.5,26,35.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_10_13
1,04:54,1760329500.0,long,24793.25,24821.75,57.0,29,57.0,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_10_13
2,06:35,1760335980.0,long,24805.25,24831.25,52.0,22,57.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_10_13
0,00:35,1760402040.0,short,25033.0,25027.0,12.0,1,12.0,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_10_14
1,02:05,1760403960.0,long,24990.5,25015.0,49.0,59,49.0,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_10_14
