bar,date,direction,pnl_ticks,pnl_dollars,reason,confidence,sight,month
2011,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
2013,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
2015,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
2018,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
2034,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
2038,2026-03-25,long,384.0,192.0,1m_disagree=0.23,0.95662522315979,0,2026-03
2040,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
2043,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
2045,2026-03-25,long,88.0,44.0,1m_disagree=0.23,0.9613637924194336,0,2026-03
2048,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
2051,2026-03-25,long,-8.0,-4.0,1m_disagree=0.27,0.9173665046691895,0,2026-03
2055,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
2057,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
2060,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
