================================================================================
PEAK EXIT SENSOR FUSION ANALYSIS
15s peak state + 1m volume + 1s velocity
Generated: 2026-03-18 15:37
================================================================================

  Trades: 500 (376 W, 124 L)

  SENSOR FUSION (vel_1s agrees with trade AND vol_1m against trade):
    bar +0: WIN both_bad= 23.7%  LOSS both_bad= 27.4%  sep= +3.7pp
    bar +1: WIN both_bad= 20.5%  LOSS both_bad= 20.2%  sep= -0.3pp
    bar +2: WIN both_bad= 16.8%  LOSS both_bad= 25.7%  sep= +8.8pp
    bar +3: WIN both_bad= 17.4%  LOSS both_bad= 25.8%  sep= +8.4pp
    bar +4: WIN both_bad= 13.4%  LOSS both_bad= 47.1%  sep=+33.8pp
    bar +5: WIN both_bad= 17.8%  LOSS both_bad= 39.5%  sep=+21.8pp
    bar +6: WIN both_bad= 17.1%  LOSS both_bad= 35.7%  sep=+18.6pp
    bar +7: WIN both_bad=  8.9%  LOSS both_bad= 47.8%  sep=+38.9pp
    bar +8: WIN both_bad= 15.9%  LOSS both_bad= 44.4%  sep=+28.5pp
    bar +9: WIN both_bad= 12.9%  LOSS both_bad= 43.8%  sep=+30.8pp
    bar +10: WIN both_bad= 17.4%  LOSS both_bad= 61.5%  sep=+44.1pp

  P_at_center BY BAR OFFSET:
   Off |     W mean      W std |     L mean      L std |      Sep
     8 |     -50.80     845.20 |      +7.56     320.81 |   -58.36
     9 |     -40.30     978.59 |     +12.07     341.24 |   -52.37
    10 |    -210.45     798.57 |     +43.58     368.61 |  -254.03

  F_momentum 1s BY BAR OFFSET:
   Off |     W mean      W std |     L mean      L std |      Sep
  ---- | ---------- ---------- | ---------- ---------- | --------
     0 |      -2.54      65.50 |      -0.77      53.24 |    -1.77
     1 |      -3.95      70.37 |      +6.80      59.61 |   -10.74
     2 |      +0.27      30.04 |      -2.01      37.42 |    +2.28
     3 |     -18.36     204.98 |      -1.98      20.63 |   -16.37
     4 |      -0.61      63.39 |      +5.03      30.59 |    -5.64
     5 |      +1.44      10.19 |      -8.22      52.76 |    +9.66
     6 |      -6.20      52.57 |      -2.23       7.50 |    -3.97
     7 |      -5.37      37.26 |      +3.34      34.05 |    -8.71
     8 |      +3.53      31.85 |     -16.36      34.16 |   +19.89
     9 |      -4.58      29.84 |     -11.51      32.64 |    +6.92
    10 |      -3.70       6.35 |      +5.57      15.78 |    -9.27

  1m VOLUME AT ENTRY vs EXIT:
    WIN entry   : vol_1m=   -57.5  vel_1s= -0.29  vel_1m= -0.48
    LOSS entry  : vol_1m=  +126.6  vel_1s= +5.38  vel_1m= -0.11
    WIN exit    : vol_1m=  -145.5  vel_1s= -0.23  vel_1m= -1.05
    LOSS exit   : vol_1m=   -24.0  vel_1s= +2.11  vel_1m= -0.14
