p10,p25,p50,p75,p90,predicted_dir,actual_dir,actual_signed_mfe,consensus,ci_width
-74.7,-39.5,-13.375,40.9375,86.45000000000002,SHORT,SHORT,-424.0,0.56,80.4375
-74.65,-50.4375,-18.375,17.8125,55.92500000000007,SHORT,SHORT,-331.5,0.6,68.25
-81.025,-47.4375,-20.75,20.375,44.225,SHORT,SHORT,-224.0,0.64,67.8125
-97.225,-60.875,-2.0,64.375,130.15000000000003,SHORT,SHORT,-187.5,0.5,125.25
-74.65,-48.5,-21.875,22.0,60.375000000000014,SHORT,SHORT,-97.5,0.62,70.5
-106.89999999999999,-76.0,-23.375,24.0,70.35,SHORT,SHORT,-101.25,0.62,100.0
-113.69999999999999,-73.5625,-37.0,11.4375,52.1,SHORT,LONG,189.0,0.6799999999999999,85.0
-84.5,-48.1875,-17.375,35.75,68.47500000000001,SHORT,LONG,123.0,0.5800000000000001,83.9375
-101.225,-48.1875,-7.625,41.4375,70.625,SHORT,LONG,119.5,0.56,89.625
-93.45,-60.375,-22.25,26.25,60.375000000000014,SHORT,LONG,173.5,0.62,86.625
-87.27499999999998,-60.8125,-2.0,62.8125,99.55000000000003,SHORT,LONG,1021.5,0.52,123.625
-195.375,-73.3125,4.875,53.125,196.85000000000002,LONG,LONG,134.75,0.52,126.4375
-232.25,-117.125,-26.375,16.0625,67.525,SHORT,LONG,126.25,0.64,133.1875
-242.64999999999998,-184.9375,-26.0,13.4375,41.425000000000004,SHORT,LONG,119.25,0.6,198.375
-249.5,-161.5,-44.75,34.75,77.25000000000001,SHORT,LONG,127.75,0.6,196.25
-270.775,-172.0625,-60.875,26.3125,55.475,SHORT,LONG,120.5,0.6,198.375
-240.3,-91.5625,-12.5,40.5,64.00000000000001,SHORT,LONG,106.5,0.56,132.0625
-249.45,-193.6875,-46.75,17.9375,45.025000000000006,SHORT,LONG,107.5,0.6,211.625
-251.575,-225.75,-66.75,14.8125,55.12500000000001,SHORT,LONG,40.25,0.64,240.5625
-99.2,-42.6875,3.125,39.375,64.025,LONG,LONG,53.5,0.52,82.0625
-98.82499999999999,-26.875,18.375,44.3125,73.15,LONG,LONG,43.0,0.56,71.1875
-69.1,-25.0625,21.625,59.1875,82.32500000000002,LONG,SHORT,-1.5,0.58,84.25
-96.25,-30.6875,16.25,49.125,95.2,LONG,SHORT,-35.5,0.52,79.8125
-120.52499999999999,-45.5,-0.75,39.3125,67.85000000000002,SHORT,SHORT,-30.5,0.52,84.8125
-49.35,-25.875,16.0,46.25,74.07500000000003,LONG,SHORT,-61.0,0.6,72.125
-50.125,-22.125,17.25,52.25,76.67500000000001,LONG,SHORT,-75.0,0.62,74.375
-50.625,-27.375,10.125,49.125,97.675,LONG,SHORT,-86.25,0.56,76.5
-62.574999999999996,-33.1875,4.25,48.25,82.35000000000002,LONG,SHORT,-66.75,0.52,81.4375
-54.55,-9.875,29.75,52.25,72.60000000000001,LONG,SHORT,-79.25,0.64,62.125
-51.175,-23.1875,27.75,61.125,92.72500000000001,LONG,SHORT,-60.5,0.64,84.3125
-55.25,-17.625,35.875,62.125,82.82500000000002,LONG,LONG,3.25,0.68,79.75
-95.92499999999995,-44.8125,24.125,67.8125,116.35000000000001,LONG,SHORT,-11.0,0.58,112.625
-96.725,-30.125,10.25,52.1875,115.35000000000002,LONG,LONG,60.0,0.64,82.3125
-333.25,-37.4375,10.375,46.6875,62.900000000000006,LONG,LONG,116.25,0.56,84.125
-204.375,-33.375,20.625,52.875,80.92500000000001,LONG,LONG,164.5,0.6,86.25
-59.375,-43.0625,4.25,48.9375,72.22500000000001,LONG,LONG,143.75,0.58,92.0
-112.55,-39.25,20.0,46.1875,75.32500000000002,LONG,LONG,135.75,0.6,85.4375
-62.09999999999999,-21.3125,20.0,35.875,48.85,LONG,LONG,135.75,0.64,57.1875
-50.65,-8.0,25.75,46.75,124.72500000000001,LONG,LONG,95.25,0.68,54.75
-76.6,-29.625,8.25,40.0,54.30000000000001,LONG,LONG,86.75,0.54,69.625
-77.225,-34.875,13.375,31.375,110.97500000000002,LONG,LONG,81.25,0.54,66.25
-60.775,-25.375,9.5,30.8125,67.97500000000002,LONG,LONG,88.75,0.52,56.1875
-76.1,-37.125,-4.5,33.75,69.0,SHORT,LONG,59.25,0.54,70.875
-73.39999999999999,-31.9375,5.25,33.75,86.02500000000006,LONG,LONG,143.25,0.56,65.6875
-87.14999999999999,-29.4375,8.625,35.875,80.82500000000002,LONG,LONG,131.25,0.58,65.3125
-81.39999999999999,-39.375,6.5,55.875,129.00000000000006,LONG,LONG,103.5,0.54,95.25
-81.525,-42.0,-6.0,46.5,62.70000000000002,SHORT,LONG,69.5,0.54,88.5
-91.975,-50.8125,17.625,76.1875,161.22500000000002,LONG,SHORT,-106.25,0.58,127.0
-93.32499999999999,-57.9375,-7.625,23.625,52.75,SHORT,SHORT,-187.25,0.5800000000000001,81.5625
-70.375,-33.875,-2.0,30.375,62.00000000000001,SHORT,SHORT,-176.25,0.52,64.25
-59.55,-31.625,-12.75,25.1875,46.10000000000001,SHORT,SHORT,-167.0,0.6599999999999999,56.8125
-102.15,-62.0625,-6.625,58.4375,108.2,SHORT,SHORT,-136.0,0.52,120.5
