concept,tf,n_regimes,n_pos,n_neg,has_inversion,min_corr,max_corr,corr_range
price_accel_1b,15m,6,3,3,True,-0.09172417513742895,0.015527743966188208,0.10725191910361716
price_velocity_w,5s,6,4,2,True,-0.024968317808352618,0.08228270145287377,0.10725101926122638
body,1m,6,4,2,True,-0.019765610279477586,0.08378862554532174,0.10355423582479932
price_velocity_w,15s,6,3,3,True,-0.03942023465081774,0.0638434603079097,0.10326369495872745
price_velocity_1b,1m,6,4,2,True,-0.02023403734023665,0.08231131829879745,0.10254535563903411
vol_sigma_w,1h,6,3,3,True,-0.05950122382241551,0.03534382632054566,0.09484505014296117
vol_mean_w,1h,6,3,3,True,-0.04783366991404334,0.04434359256802254,0.09217726248206588
price_accel_w,1m,6,4,2,True,-0.013839757440279746,0.0755650847799367,0.08940484222021645
vol_accel_w,5s,6,2,4,True,-0.059845723369698185,0.02894136015454903,0.08878708352424722
price_accel_w,5m,6,3,3,True,-0.058839554679399664,0.029553198946795107,0.08839275362619477
vol_accel_1b,4h,6,4,2,True,-0.039270013866261416,0.04896593276204822,0.08823594662830964
vol_velocity_1b,5s,6,2,4,True,-0.04898154749164127,0.03719750368028834,0.08617905117192962
vol_accel_w,15m,6,4,2,True,-0.03133558057245385,0.053486440020774705,0.08482202059322855
vol_velocity_w,15s,6,2,4,True,-0.07357012559299825,0.011128210036505028,0.08469833562950327
vol_velocity_w,1m,6,4,2,True,-0.03423579292684871,0.04942448959049988,0.08366028251734858
vol_accel_1b,5s,6,1,5,True,-0.0366420893048203,0.04131157262599586,0.07795366193081615
vol_accel_w,15s,6,1,5,True,-0.06702044494129457,0.010497971975439219,0.07751841691673379
price_accel_1b,5s,6,2,4,True,-0.0361433053258904,0.03869589971706385,0.07483920504295424
vol_velocity_w,5s,6,2,4,True,-0.055921119298914974,0.018759754869828362,0.07468087416874333
vol_accel_1b,15m,6,5,1,True,-0.0412241813921711,0.03229084679884692,0.07351502819101802
vol_accel_w,1h,6,1,5,True,-0.05619666910113409,0.014053312329913916,0.070249981431048
vol_velocity_1b,15s,6,2,4,True,-0.06339249804864586,0.006210463155409617,0.06960296120405547
price_accel_1b,15s,6,2,4,True,-0.05165179085795933,0.016430459537611936,0.06808225039557127
body,5s,6,3,3,True,-0.03184935729719784,0.029623169065392384,0.06147252636259022
price_velocity_1b,5s,6,3,3,True,-0.03402562364290208,0.02230251326635232,0.056328136909254395
vol_velocity_1b,5m,6,4,2,True,-0.016344131392407122,0.03907826255225765,0.05542239394466478
vol_accel_1b,15s,6,1,5,True,-0.038645353494040816,0.015096220289056179,0.05374157378309699
body,15s,6,5,1,True,-0.024944479487402613,0.028732579663572216,0.05367705915097483
price_accel_w,15s,6,3,3,True,-0.00537479605804599,0.04824282378279412,0.05361761984084011
vol_velocity_w,1D,6,1,5,True,-0.04285689537562885,0.010574189072309568,0.05343108444793842
price_velocity_1b,15s,6,3,3,True,-0.021134584163247868,0.0317245560833643,0.052859140246612174
vol_velocity_1b,1m,6,0,6,False,-0.04171997224079168,-0.0013236598424256312,0.040396312398366045
price_accel_w,5s,6,2,4,True,-0.031202882978147252,0.007607523162251119,0.03881040614039837
vol_accel_w,5m,6,4,2,True,-0.012042492741878623,0.02341330772304805,0.035455800464926676
vol_accel_1b,1m,6,2,4,True,-0.020412931475217125,0.008470207008691921,0.028883138483909047
price_accel_1b,5m,6,5,1,True,-0.010110151500524849,0.014750841349424119,0.024860992849948967
vol_accel_w,1m,6,2,4,True,-0.009002581072816157,0.006793918238917927,0.01579649931173408
vol_accel_1b,5m,6,2,4,True,-0.009105222921025186,0.0019696947284461243,0.01107491764947131
