trade_idx,day,tier,direction,actual_pnl,best_pnl,best_action,early_bars,timestamp,pattern,pattern_label
7391,2025_09_18,PEAK,long,-1.5,333.5,same_extended,13,1758176880.0,0,PEAK.0
7427,2025_10_01,PEAK,long,-8.5,254.5,counter_extended,118,1759290060.0,0,PEAK.0
7450,2025_10_01,PEAK,short,10.5,50.0,same_extended,117,1759342800.0,2,PEAK.2
7504,2025_10_02,PEAK,short,-6.0,17.0,counter_extended,59,1759448040.0,2,PEAK.2
7505,2025_10_02,PEAK,short,5.0,9.5,counter_extended,71,1759448760.0,2,PEAK.2
7517,2025_10_03,PEAK,short,8.5,158.0,same_extended,3,1759473720.0,0,PEAK.0
7593,2025_10_06,PEAK,long,3.5,28.0,same_extended,47,1759792260.0,0,PEAK.0
7635,2025_10_08,PEAK,short,0.0,95.0,same_extended,75,1759886100.0,2,PEAK.2
7671,2025_10_08,PEAK,short,3.5,66.0,counter_extended,108,1759956300.0,2,PEAK.2
7674,2025_10_08,PEAK,short,7.0,25.5,same_extended,85,1759965900.0,2,PEAK.2
7734,2025_10_10,PEAK,long,0.0,109.5,counter_extended,29,1760072400.0,0,PEAK.0
7735,2025_10_10,PEAK,long,9.5,102.5,counter_extended,36,1760072820.0,0,PEAK.0
7763,2025_10_12,PEAK,short,11.0,196.5,counter_extended,9,1760307240.0,3,PEAK.3
7886,2025_10_15,PEAK,short,-11.5,845.5,same_extended,5,1760537700.0,2,PEAK.2
7899,2025_10_15,PEAK,short,-16.5,107.5,same_extended,80,1760566500.0,2,PEAK.2
7918,2025_10_16,PEAK,long,19.0,289.5,same_extended,2,1760600460.0,0,PEAK.0
7988,2025_10_20,PEAK,short,-19.0,183.5,counter_extended,28,1760921460.0,2,PEAK.2
8082,2025_10_22,PEAK,long,8.0,413.5,counter_extended,11,1761121500.0,0,PEAK.0
8168,2025_10_24,PEAK,short,-4.5,276.5,counter_extended,12,1761286980.0,2,PEAK.2
8177,2025_10_24,PEAK,short,15.5,304.0,counter_extended,99,1761299100.0,2,PEAK.2
8212,2025_10_27,PEAK,short,-4.5,180.5,counter_extended,104,1761533880.0,2,PEAK.2
8214,2025_10_27,PEAK,short,8.5,128.5,counter_extended,89,1761536220.0,2,PEAK.2
8303,2025_10_29,PEAK,short,-3.5,120.0,counter_extended,94,1761705000.0,2,PEAK.2
8304,2025_10_29,PEAK,short,11.5,117.5,counter_extended,98,1761705240.0,2,PEAK.2
8321,2025_10_29,PEAK,long,11.5,362.0,counter_extended,15,1761741900.0,0,PEAK.0
8338,2025_10_29,PEAK,long,37.5,127.0,same_early,115,1761781560.0,0,PEAK.0
8429,2025_11_02,PEAK,short,-1.0,48.5,counter_extended,18,1762125480.0,2,PEAK.2
8469,2025_11_03,PEAK,short,40.0,172.5,same_extended,6,1762204260.0,2,PEAK.2
8502,2025_11_04,PEAK,short,44.0,709.0,same_extended,5,1762268760.0,3,PEAK.3
8518,2025_11_04,PEAK,long,-10.0,96.5,same_early,118,1762291920.0,0,PEAK.0
8562,2025_11_05,PEAK,long,36.5,140.0,same_extended,76,1762377420.0,3,PEAK.3
8583,2025_11_06,PEAK,short,-24.5,835.5,same_extended,2,1762420680.0,2,PEAK.2
8762,2025_11_12,PEAK,short,-15.5,119.0,counter_extended,42,1762913700.0,2,PEAK.2
8808,2025_11_13,PEAK,short,-5.0,298.0,same_extended,7,1763005020.0,2,PEAK.2
9179,2025_11_25,PEAK,short,2.5,210.0,same_extended,114,1764092700.0,2,PEAK.2
9213,2025_11_26,PEAK,short,5.5,388.0,counter_extended,40,1764162120.0,2,PEAK.2
9244,2025_11_27,PEAK,long,-6.5,34.0,counter_extended,56,1764224400.0,0,PEAK.0
9260,2025_11_27,PEAK,long,9.5,66.5,same_extended,57,1764252960.0,0,PEAK.0
9271,2025_11_28,PEAK,short,-14.5,218.5,counter_extended,78,1764337560.0,2,PEAK.2
